Year,UNIT_MEASURE,Pol,Uzrok smrti (prema šiframa bolesti po MKB-10),Value
2014,Broj,Oba pola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",1445
2015,Broj,Oba pola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",1556
2016,Broj,Oba pola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",1198
2017,Broj,Oba pola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",1435
2018,Broj,Oba pola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",1650
2019,Broj,Oba pola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",1961
2020,Broj,Oba pola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",1599
2003,Broj,Oba pola,"(S00-T98) Povrede, trovanja i druge posljedice dejstava spoljnih faktora",580
2004,Broj,Oba pola,"(S00-T98) Povrede, trovanja i druge posljedice dejstava spoljnih faktora",552
2005,Broj,Oba pola,"(S00-T98) Povrede, trovanja i druge posljedice dejstava spoljnih faktora",618
2006,Broj,Oba pola,"(S00-T98) Povrede, trovanja i druge posljedice dejstava spoljnih faktora",615
2007,Broj,Oba pola,"(S00-T98) Povrede, trovanja i druge posljedice dejstava spoljnih faktora",634
2008,Broj,Oba pola,"(S00-T98) Povrede, trovanja i druge posljedice dejstava spoljnih faktora",584
2009,Broj,Oba pola,"(S00-T98) Povrede, trovanja i druge posljedice dejstava spoljnih faktora",581
2010,Broj,Oba pola,"(S00-T98) Povrede, trovanja i druge posljedice dejstava spoljnih faktora",511
2011,Broj,Oba pola,"(S00-T98) Povrede, trovanja i druge posljedice dejstava spoljnih faktora",600
2012,Broj,Oba pola,"(S00-T98) Povrede, trovanja i druge posljedice dejstava spoljnih faktora",538
2013,Broj,Oba pola,"(S00-T98) Povrede, trovanja i druge posljedice dejstava spoljnih faktora",504
2014,Broj,Oba pola,"(S00-T98) Povrede, trovanja i druge posljedice dejstava spoljnih faktora",532
2015,Broj,Oba pola,"(S00-T98) Povrede, trovanja i druge posljedice dejstava spoljnih faktora",559
2016,Broj,Oba pola,"(S00-T98) Povrede, trovanja i druge posljedice dejstava spoljnih faktora",491
2017,Broj,Oba pola,"(S00-T98) Povrede, trovanja i druge posljedice dejstava spoljnih faktora",474
2018,Broj,Oba pola,"(S00-T98) Povrede, trovanja i druge posljedice dejstava spoljnih faktora",482
2019,Broj,Oba pola,"(S00-T98) Povrede, trovanja i druge posljedice dejstava spoljnih faktora",430
2020,Broj,Oba pola,"(S00-T98) Povrede, trovanja i druge posljedice dejstava spoljnih faktora",405
2003,Broj,Oba pola,special_purpose_codes,0
2004,Broj,Oba pola,special_purpose_codes,0
2005,Broj,Oba pola,special_purpose_codes,0
2006,Broj,Oba pola,special_purpose_codes,0
2007,Broj,Oba pola,special_purpose_codes,0
2008,Broj,Oba pola,special_purpose_codes,0
2009,Broj,Oba pola,special_purpose_codes,0
2010,Broj,Oba pola,special_purpose_codes,0
2011,Broj,Oba pola,special_purpose_codes,0
2012,Broj,Oba pola,special_purpose_codes,0
2013,Broj,Oba pola,special_purpose_codes,0
2014,Broj,Oba pola,special_purpose_codes,0
2015,Broj,Oba pola,special_purpose_codes,0
2016,Broj,Oba pola,special_purpose_codes,0
2017,Broj,Oba pola,special_purpose_codes,0
2018,Broj,Oba pola,special_purpose_codes,0
2019,Broj,Oba pola,special_purpose_codes,0
2020,Broj,Oba pola,special_purpose_codes,1592
2003,Broj,M,Ukupno,6804
2004,Broj,M,Ukupno,6735
2005,Broj,M,Ukupno,7239
2006,Broj,M,Ukupno,6904
2007,Broj,M,Ukupno,7302
2008,Broj,M,Ukupno,7058
2009,Broj,M,Ukupno,7099
2010,Broj,M,Ukupno,6935
2011,Broj,M,Ukupno,7001
2012,Broj,M,Ukupno,7064
2013,Broj,M,Ukupno,7237
2014,Broj,M,Ukupno,7386
2015,Broj,M,Ukupno,7640
2016,Broj,M,Ukupno,7198
2017,Broj,M,Ukupno,7363
2018,Broj,M,Ukupno,7449
2019,Broj,M,Ukupno,7753
2020,Broj,M,Ukupno,8613
2003,Broj,M,(A00-B99) Zarazne i parazitske bolesti,59
2004,Broj,M,(A00-B99) Zarazne i parazitske bolesti,75
2005,Broj,M,(A00-B99) Zarazne i parazitske bolesti,78
2006,Broj,M,(A00-B99) Zarazne i parazitske bolesti,73
2007,Broj,M,(A00-B99) Zarazne i parazitske bolesti,70
2008,Broj,M,(A00-B99) Zarazne i parazitske bolesti,72
2009,Broj,M,(A00-B99) Zarazne i parazitske bolesti,75
2010,Broj,M,(A00-B99) Zarazne i parazitske bolesti,72
2011,Broj,M,(A00-B99) Zarazne i parazitske bolesti,79
2012,Broj,M,(A00-B99) Zarazne i parazitske bolesti,69
2013,Broj,M,(A00-B99) Zarazne i parazitske bolesti,73
2014,Broj,M,(A00-B99) Zarazne i parazitske bolesti,80
2015,Broj,M,(A00-B99) Zarazne i parazitske bolesti,92
2016,Broj,M,(A00-B99) Zarazne i parazitske bolesti,104
2017,Broj,M,(A00-B99) Zarazne i parazitske bolesti,85
2018,Broj,M,(A00-B99) Zarazne i parazitske bolesti,109
2019,Broj,M,(A00-B99) Zarazne i parazitske bolesti,119
2020,Broj,M,(A00-B99) Zarazne i parazitske bolesti,87
2003,Broj,M,"(C00-C97,D00-D48) Neoplazme",1461
2004,Broj,M,"(C00-C97,D00-D48) Neoplazme",1402
2005,Broj,M,"(C00-C97,D00-D48) Neoplazme",1581
2006,Broj,M,"(C00-C97,D00-D48) Neoplazme",1536
2007,Broj,M,"(C00-C97,D00-D48) Neoplazme",1624
2008,Broj,M,"(C00-C97,D00-D48) Neoplazme",1658
2009,Broj,M,"(C00-C97,D00-D48) Neoplazme",1661
2010,Broj,M,"(C00-C97,D00-D48) Neoplazme",1595
2011,Broj,M,"(C00-C97,D00-D48) Neoplazme",1684
2012,Broj,M,"(C00-C97,D00-D48) Neoplazme",1754
2013,Broj,M,"(C00-C97,D00-D48) Neoplazme",1859
2014,Broj,M,"(C00-C97,D00-D48) Neoplazme",1801
2015,Broj,M,"(C00-C97,D00-D48) Neoplazme",1783
2016,Broj,M,"(C00-C97,D00-D48) Neoplazme",1739
2017,Broj,M,"(C00-C97,D00-D48) Neoplazme",1759
2018,Broj,M,"(C00-C97,D00-D48) Neoplazme",1729
2019,Broj,M,"(C00-C97,D00-D48) Neoplazme",1705
2020,Broj,M,"(C00-C97,D00-D48) Neoplazme",1622
2003,Broj,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",6
2004,Broj,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",2
2005,Broj,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",5
2006,Broj,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",2
2007,Broj,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",6
2008,Broj,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",3
2009,Broj,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",4
2010,Broj,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",5
2011,Broj,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",7
2012,Broj,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",9
2013,Broj,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",8
2014,Broj,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",2
2015,Broj,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",9
2016,Broj,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",9
2017,Broj,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",3
2018,Broj,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",18
2019,Broj,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",8
2020,Broj,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",12
2003,Broj,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",71
2004,Broj,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",68
2005,Broj,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",286
2006,Broj,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",306
2007,Broj,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",349
2008,Broj,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",310
2009,Broj,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",361
2010,Broj,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",289
2011,Broj,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",257
2012,Broj,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",211
2013,Broj,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",341
2014,Broj,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",411
2015,Broj,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",362
2016,Broj,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",313
2017,Broj,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",373
2018,Broj,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",386
2019,Broj,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",261
2020,Broj,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",340
2003,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,24
2004,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,46
2005,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,64
2006,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,67
2007,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,87
2008,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,82
2009,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,92
2010,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,73
2011,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,58
2012,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,46
2013,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,64
2014,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,63
2015,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,44
2016,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,72
2017,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,70
2018,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,55
2019,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,50
2020,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,43
2003,Broj,M,(G00-G99) Bolesti nervnog sistema,39
2004,Broj,M,(G00-G99) Bolesti nervnog sistema,53
2005,Broj,M,(G00-G99) Bolesti nervnog sistema,86
2006,Broj,M,(G00-G99) Bolesti nervnog sistema,111
2007,Broj,M,(G00-G99) Bolesti nervnog sistema,85
2008,Broj,M,(G00-G99) Bolesti nervnog sistema,91
2009,Broj,M,(G00-G99) Bolesti nervnog sistema,78
2010,Broj,M,(G00-G99) Bolesti nervnog sistema,76
2011,Broj,M,(G00-G99) Bolesti nervnog sistema,112
2012,Broj,M,(G00-G99) Bolesti nervnog sistema,105
2013,Broj,M,(G00-G99) Bolesti nervnog sistema,98
2014,Broj,M,(G00-G99) Bolesti nervnog sistema,97
2015,Broj,M,(G00-G99) Bolesti nervnog sistema,106
2016,Broj,M,(G00-G99) Bolesti nervnog sistema,96
2017,Broj,M,(G00-G99) Bolesti nervnog sistema,102
2018,Broj,M,(G00-G99) Bolesti nervnog sistema,82
2019,Broj,M,(G00-G99) Bolesti nervnog sistema,84
2020,Broj,M,(G00-G99) Bolesti nervnog sistema,91
2003,Broj,M,"(H00-H93) Bolesti oka, uha i adneksa",0
2004,Broj,M,"(H00-H93) Bolesti oka, uha i adneksa",0
2005,Broj,M,"(H00-H93) Bolesti oka, uha i adneksa",0
2006,Broj,M,"(H00-H93) Bolesti oka, uha i adneksa",0
2007,Broj,M,"(H00-H93) Bolesti oka, uha i adneksa",0
2008,Broj,M,"(H00-H93) Bolesti oka, uha i adneksa",0
2009,Broj,M,"(H00-H93) Bolesti oka, uha i adneksa",0
2010,Broj,M,"(H00-H93) Bolesti oka, uha i adneksa",0
2011,Broj,M,"(H00-H93) Bolesti oka, uha i adneksa",0
2012,Broj,M,"(H00-H93) Bolesti oka, uha i adneksa",0
2013,Broj,M,"(H00-H93) Bolesti oka, uha i adneksa",0
2014,Broj,M,"(H00-H93) Bolesti oka, uha i adneksa",0
2015,Broj,M,"(H00-H93) Bolesti oka, uha i adneksa",0
2016,Broj,M,"(H00-H93) Bolesti oka, uha i adneksa",0
2017,Broj,M,"(H00-H93) Bolesti oka, uha i adneksa",0
2018,Broj,M,"(H00-H93) Bolesti oka, uha i adneksa",0
2019,Broj,M,"(H00-H93) Bolesti oka, uha i adneksa",0
2020,Broj,M,"(H00-H93) Bolesti oka, uha i adneksa",0
2003,Broj,M,diseases_of_the_ear,0
2004,Broj,M,diseases_of_the_ear,0
2005,Broj,M,diseases_of_the_ear,1
2006,Broj,M,diseases_of_the_ear,0
2007,Broj,M,diseases_of_the_ear,1
2008,Broj,M,diseases_of_the_ear,0
2009,Broj,M,diseases_of_the_ear,0
2010,Broj,M,diseases_of_the_ear,0
2011,Broj,M,diseases_of_the_ear,0
2012,Broj,M,diseases_of_the_ear,0
2013,Broj,M,diseases_of_the_ear,0
2014,Broj,M,diseases_of_the_ear,0
2015,Broj,M,diseases_of_the_ear,0
2016,Broj,M,diseases_of_the_ear,0
2017,Broj,M,diseases_of_the_ear,0
2018,Broj,M,diseases_of_the_ear,0
2019,Broj,M,diseases_of_the_ear,0
2020,Broj,M,diseases_of_the_ear,0
2003,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3323
2004,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3383
2005,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3325
2006,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3005
2007,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3233
2008,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3209
2009,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3271
2010,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3285
2011,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3330
2012,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3516
2013,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3062
2014,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3142
2015,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3311
2016,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3177
2017,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3220
2018,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3084
2019,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3440
2020,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3452
2003,Broj,M,(J00-J99) Bolesti respiratornog sistema,184
2004,Broj,M,(J00-J99) Bolesti respiratornog sistema,211
2005,Broj,M,(J00-J99) Bolesti respiratornog sistema,284
2006,Broj,M,(J00-J99) Bolesti respiratornog sistema,292
2007,Broj,M,(J00-J99) Bolesti respiratornog sistema,282
2008,Broj,M,(J00-J99) Bolesti respiratornog sistema,276
2009,Broj,M,(J00-J99) Bolesti respiratornog sistema,254
2010,Broj,M,(J00-J99) Bolesti respiratornog sistema,277
2011,Broj,M,(J00-J99) Bolesti respiratornog sistema,303
2012,Broj,M,(J00-J99) Bolesti respiratornog sistema,263
2013,Broj,M,(J00-J99) Bolesti respiratornog sistema,334
2014,Broj,M,(J00-J99) Bolesti respiratornog sistema,315
2015,Broj,M,(J00-J99) Bolesti respiratornog sistema,370
2016,Broj,M,(J00-J99) Bolesti respiratornog sistema,306
2017,Broj,M,(J00-J99) Bolesti respiratornog sistema,333
2018,Broj,M,(J00-J99) Bolesti respiratornog sistema,344
2019,Broj,M,(J00-J99) Bolesti respiratornog sistema,338
2020,Broj,M,(J00-J99) Bolesti respiratornog sistema,377
2003,Broj,M,(K00-K93) Bolesti digestivnog sistema,216
2004,Broj,M,(K00-K93) Bolesti digestivnog sistema,206
2005,Broj,M,(K00-K93) Bolesti digestivnog sistema,219
2006,Broj,M,(K00-K93) Bolesti digestivnog sistema,233
2007,Broj,M,(K00-K93) Bolesti digestivnog sistema,249
2008,Broj,M,(K00-K93) Bolesti digestivnog sistema,235
2009,Broj,M,(K00-K93) Bolesti digestivnog sistema,223
2010,Broj,M,(K00-K93) Bolesti digestivnog sistema,242
2011,Broj,M,(K00-K93) Bolesti digestivnog sistema,255
2012,Broj,M,(K00-K93) Bolesti digestivnog sistema,248
2013,Broj,M,(K00-K93) Bolesti digestivnog sistema,219
2014,Broj,M,(K00-K93) Bolesti digestivnog sistema,241
2015,Broj,M,(K00-K93) Bolesti digestivnog sistema,249
2016,Broj,M,(K00-K93) Bolesti digestivnog sistema,265
2017,Broj,M,(K00-K93) Bolesti digestivnog sistema,229
2018,Broj,M,(K00-K93) Bolesti digestivnog sistema,290
2019,Broj,M,(K00-K93) Bolesti digestivnog sistema,239
2020,Broj,M,(K00-K93) Bolesti digestivnog sistema,269
2003,Broj,M,(L00-L99) Bolesti kože i potkožnog tkiva,0
2004,Broj,M,(L00-L99) Bolesti kože i potkožnog tkiva,0
2005,Broj,M,(L00-L99) Bolesti kože i potkožnog tkiva,0
2006,Broj,M,(L00-L99) Bolesti kože i potkožnog tkiva,0
2007,Broj,M,(L00-L99) Bolesti kože i potkožnog tkiva,0
2008,Broj,M,(L00-L99) Bolesti kože i potkožnog tkiva,0
2009,Broj,M,(L00-L99) Bolesti kože i potkožnog tkiva,1
2010,Broj,M,(L00-L99) Bolesti kože i potkožnog tkiva,4
2011,Broj,M,(L00-L99) Bolesti kože i potkožnog tkiva,0
2012,Broj,M,(L00-L99) Bolesti kože i potkožnog tkiva,3
2013,Broj,M,(L00-L99) Bolesti kože i potkožnog tkiva,9
2014,Broj,M,(L00-L99) Bolesti kože i potkožnog tkiva,13
2015,Broj,M,(L00-L99) Bolesti kože i potkožnog tkiva,7
2016,Broj,M,(L00-L99) Bolesti kože i potkožnog tkiva,7
2017,Broj,M,(L00-L99) Bolesti kože i potkožnog tkiva,5
2018,Broj,M,(L00-L99) Bolesti kože i potkožnog tkiva,12
2019,Broj,M,(L00-L99) Bolesti kože i potkožnog tkiva,7
2020,Broj,M,(L00-L99) Bolesti kože i potkožnog tkiva,13
2003,Broj,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,3
2004,Broj,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,1
2005,Broj,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,5
2006,Broj,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,1
2007,Broj,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,4
2008,Broj,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,3
2009,Broj,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,2
2010,Broj,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,3
2011,Broj,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,4
2012,Broj,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,4
2013,Broj,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,9
2014,Broj,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,8
2015,Broj,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,12
2016,Broj,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,6
2017,Broj,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,8
2018,Broj,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,4
2019,Broj,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,4
2020,Broj,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,7
2003,Broj,M,(N00-N99) Bolesti genitourinarnog sistema,123
2004,Broj,M,(N00-N99) Bolesti genitourinarnog sistema,113
2005,Broj,M,(N00-N99) Bolesti genitourinarnog sistema,160
2006,Broj,M,(N00-N99) Bolesti genitourinarnog sistema,152
2007,Broj,M,(N00-N99) Bolesti genitourinarnog sistema,163
2008,Broj,M,(N00-N99) Bolesti genitourinarnog sistema,155
2009,Broj,M,(N00-N99) Bolesti genitourinarnog sistema,139
2010,Broj,M,(N00-N99) Bolesti genitourinarnog sistema,140
2011,Broj,M,(N00-N99) Bolesti genitourinarnog sistema,101
2012,Broj,M,(N00-N99) Bolesti genitourinarnog sistema,116
2013,Broj,M,(N00-N99) Bolesti genitourinarnog sistema,121
2014,Broj,M,(N00-N99) Bolesti genitourinarnog sistema,73
2015,Broj,M,(N00-N99) Bolesti genitourinarnog sistema,93
2016,Broj,M,(N00-N99) Bolesti genitourinarnog sistema,117
2017,Broj,M,(N00-N99) Bolesti genitourinarnog sistema,96
2018,Broj,M,(N00-N99) Bolesti genitourinarnog sistema,117
2019,Broj,M,(N00-N99) Bolesti genitourinarnog sistema,104
2020,Broj,M,(N00-N99) Bolesti genitourinarnog sistema,113
2003,Broj,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,23
2004,Broj,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,28
2005,Broj,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,17
2006,Broj,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,26
2007,Broj,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,15
2008,Broj,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,12
2009,Broj,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,22
2010,Broj,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,13
2011,Broj,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,20
2012,Broj,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,18
2013,Broj,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,13
2014,Broj,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,7
2015,Broj,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,2
2016,Broj,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,13
2017,Broj,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,7
2018,Broj,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,3
2019,Broj,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,6
2020,Broj,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,16
2003,Broj,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",7
2004,Broj,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",10
2005,Broj,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",6
2006,Broj,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",7
2007,Broj,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",8
2008,Broj,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",5
2009,Broj,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",7
2010,Broj,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",10
2011,Broj,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",7
2012,Broj,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",5
2013,Broj,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",7
2014,Broj,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",3
2015,Broj,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",3
2016,Broj,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",3
2017,Broj,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",4
2018,Broj,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",2
2019,Broj,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",0
2020,Broj,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",3
2003,Broj,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",821
2004,Broj,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",726
2005,Broj,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",659
2006,Broj,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",627
2007,Broj,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",638
2008,Broj,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",496
2009,Broj,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",485
2010,Broj,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",446
2011,Broj,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",302
2012,Broj,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",277
2013,Broj,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",643
2014,Broj,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",718
2015,Broj,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",780
2016,Broj,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",598
