Year,UNIT_MEASURE,Naučna oblast,Vrsta obrazovanja,Pol,Value
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,M,0
2020,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,M,0
2020,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,M,0
2020,Broj,Obrazovanje,Specijalističke studije,M,0
2020,Broj,Umjetnost i humanističke nauke,Specijalističke studije,M,0
2020,Broj,Usluge,Specijalističke studije,M,0
2020,Broj,Ukupno,Specijalističke studije,Ž,131
2020,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,Ž,0
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,Ž,0
2020,Broj,Informacione i komunikacione tehnologije,Specijalističke studije,Ž,0
2020,Broj,Zdravstvo i socijalna zaštita,Specijalističke studije,Ž,131
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,Ž,0
2020,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,Ž,0
2020,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,Ž,0
2020,Broj,Obrazovanje,Specijalističke studije,Ž,0
2020,Broj,Umjetnost i humanističke nauke,Specijalističke studije,Ž,0
2020,Broj,Usluge,Specijalističke studije,Ž,0
