Year,UNIT_MEASURE,Административно подручје,Пол,Nationality,Value
2013,Број,SIPOVO,M,croats,7
2013,Број,SIPOVO,Ж,croats,19
2013,Број,REPUBLIKA SRPSKA,Оба пола,serbs,970857
2013,Број,REPUBLIKA SRPSKA,M,serbs,477334
2013,Број,REPUBLIKA SRPSKA,Ж,serbs,493523
2013,Број,BANJA LUKA,Оба пола,serbs,162057
2013,Број,BANJA LUKA,M,serbs,78827
2013,Број,BANJA LUKA,Ж,serbs,83230
2013,Број,BERKOVICI,Оба пола,serbs,1873
2013,Број,BERKOVICI,M,serbs,943
2013,Број,BERKOVICI,Ж,serbs,930
2013,Број,BIJELJINA,Оба пола,serbs,89474
2013,Број,BIJELJINA,M,serbs,43861
2013,Број,BIJELJINA,Ж,serbs,45613
2013,Број,BILECA,Оба пола,serbs,10447
2013,Број,BILECA,M,serbs,5276
2013,Број,BILECA,Ж,serbs,5171
2013,Број,BRATUNAC,Оба пола,serbs,11897
2013,Број,BRATUNAC,M,serbs,5915
2013,Број,BRATUNAC,Ж,serbs,5982
2013,Број,BROD,Оба пола,serbs,11065
2013,Број,BROD,M,serbs,5486
2013,Број,BROD,Ж,serbs,5579
2013,Број,VISEGRAD,Оба пола,serbs,8942
2013,Број,VISEGRAD,M,serbs,4337
2013,Број,VISEGRAD,Ж,serbs,4605
2013,Број,VLASENICA,Оба пола,serbs,7190
2013,Број,VLASENICA,M,serbs,3505
2013,Број,VLASENICA,Ж,serbs,3685
2013,Број,VUKOSAVLJE,Оба пола,serbs,1448
2013,Број,VUKOSAVLJE,M,serbs,720
2013,Број,VUKOSAVLJE,Ж,serbs,728
2013,Број,GACKO,Оба пола,serbs,8316
2013,Број,GACKO,M,serbs,4211
2013,Број,GACKO,Ж,serbs,4105
2013,Број,GRADISKA,Оба пола,serbs,40707
2013,Број,GRADISKA,M,serbs,19960
2013,Број,GRADISKA,Ж,serbs,20747
2013,Број,DERVENTA,Оба пола,serbs,21495
2013,Број,DERVENTA,M,serbs,10524
2013,Број,DERVENTA,Ж,serbs,10971
2013,Број,DOBOJ,Оба пола,serbs,50968
2013,Број,DOBOJ,M,serbs,24968
2013,Број,DOBOJ,Ж,serbs,26000
2013,Број,DONJI ZABAR,Оба пола,serbs,2658
2013,Број,DONJI ZABAR,M,serbs,1352
2013,Број,DONJI ZABAR,Ж,serbs,1306
2013,Број,ZVORNIK,Оба пола,serbs,37242
2013,Број,ZVORNIK,M,serbs,18452
2013,Број,ZVORNIK,Ж,serbs,18790
2013,Број,ISTOCNA ILIDZA,Оба пола,serbs,13455
2013,Број,ISTOCNA ILIDZA,M,serbs,6486
2013,Број,ISTOCNA ILIDZA,Ж,serbs,6969
2013,Број,ISTOCNI DRVAR,Оба пола,serbs,65
2013,Број,ISTOCNI DRVAR,M,serbs,44
2013,Број,ISTOCNI DRVAR,Ж,serbs,21
2013,Број,ISTOCNI MOSTAR,Оба пола,serbs,153
2013,Број,ISTOCNI MOSTAR,M,serbs,84
2013,Број,ISTOCNI MOSTAR,Ж,serbs,69
2013,Број,ISTOCNI STARI GRAD,Оба пола,serbs,1059
2013,Број,ISTOCNI STARI GRAD,M,serbs,519
2013,Број,ISTOCNI STARI GRAD,Ж,serbs,540
2013,Број,ISTOCNO NOVO SARAJEVO,Оба пола,serbs,10028
2013,Број,ISTOCNO NOVO SARAJEVO,M,serbs,4801
2013,Број,ISTOCNO NOVO SARAJEVO,Ж,serbs,5227
2013,Број,JEZERO,Оба пола,serbs,779
2013,Број,JEZERO,M,serbs,410
2013,Број,JEZERO,Ж,serbs,369
2013,Број,KALINOVIK,Оба пола,serbs,1895
2013,Број,KALINOVIK,M,serbs,920
2013,Број,KALINOVIK,Ж,serbs,975
2013,Број,KNEZEVO,Оба пола,serbs,8886
2013,Број,KNEZEVO,M,serbs,4414
2013,Број,KNEZEVO,Ж,serbs,4472
2013,Број,KOZARSKA DUBICA,Оба пола,serbs,18144
2013,Број,KOZARSKA DUBICA,M,serbs,8939
2013,Број,KOZARSKA DUBICA,Ж,serbs,9205
2013,Број,KOSTAJNICA,Оба пола,serbs,4177
2013,Број,KOSTAJNICA,M,serbs,2077
2013,Број,KOSTAJNICA,Ж,serbs,2100
2013,Број,KOTOR VAROS,Оба пола,serbs,12730
2013,Број,KOTOR VAROS,M,serbs,6305
2013,Број,KOTOR VAROS,Ж,serbs,6425
2013,Број,KRUPA NA UNI,Оба пола,serbs,1555
2013,Број,KRUPA NA UNI,M,serbs,840
2013,Број,KRUPA NA UNI,Ж,serbs,715
2013,Број,KUPRES,Оба пола,serbs,292
2013,Број,KUPRES,M,serbs,156
2013,Број,KUPRES,Ж,serbs,136
2013,Број,LAKTASI,Оба пола,serbs,32761
2013,Број,LAKTASI,M,serbs,16275
2013,Број,LAKTASI,Ж,serbs,16486
2013,Број,LOPARE,Оба пола,serbs,13267
2013,Број,LOPARE,M,serbs,6695
2013,Број,LOPARE,Ж,serbs,6572
2013,Број,LJUBINJE,Оба пола,serbs,3280
2013,Број,LJUBINJE,M,serbs,1615
2013,Број,LJUBINJE,Ж,serbs,1665
2013,Број,MILICI,Оба пола,serbs,6857
2013,Број,MILICI,M,serbs,3486
2013,Број,MILICI,Ж,serbs,3371
2013,Број,MODRICA,Оба пола,serbs,19530
2013,Број,MODRICA,M,serbs,9611
2013,Број,MODRICA,Ж,serbs,9919
2013,Број,MRKONJIC GRAD,Оба пола,serbs,15340
2013,Број,MRKONJIC GRAD,M,serbs,7388
2013,Број,MRKONJIC GRAD,Ж,serbs,7952
2013,Број,NEVESINJE,Оба пола,serbs,11964
2013,Број,NEVESINJE,M,serbs,5951
2013,Број,NEVESINJE,Ж,serbs,6013
2013,Број,NOVI GRAD,Оба пола,serbs,19491
2013,Број,NOVI GRAD,M,serbs,9747
2013,Број,NOVI GRAD,Ж,serbs,9744
2013,Број,NOVO GORAZDE,Оба пола,serbs,1561
2013,Број,NOVO GORAZDE,M,serbs,821
2013,Број,NOVO GORAZDE,Ж,serbs,740
2013,Број,OSMACI,Оба пола,serbs,2852
2013,Број,OSMACI,M,serbs,1450
2013,Број,OSMACI,Ж,serbs,1402
2013,Број,OSTRA LUKA,Оба пола,serbs,2510
2013,Број,OSTRA LUKA,M,serbs,1296
2013,Број,OSTRA LUKA,Ж,serbs,1214
2013,Број,PALE,Оба пола,serbs,19932
2013,Број,PALE,M,serbs,9561
2013,Број,PALE,Ж,serbs,10371
2013,Број,PELAGICEVO,Оба пола,serbs,3146
2013,Број,PELAGICEVO,M,serbs,1563
2013,Број,PELAGICEVO,Ж,serbs,1583
2013,Број,PETROVAC,Оба пола,serbs,351
2013,Број,PETROVAC,M,serbs,168
2013,Број,PETROVAC,Ж,serbs,183
2013,Број,PETROVO,Оба пола,serbs,6222
2013,Број,PETROVO,M,serbs,3002
2013,Број,PETROVO,Ж,serbs,3220
2013,Број,PRIJEDOR,Оба пола,serbs,54365
2013,Број,PRIJEDOR,M,serbs,26834
2013,Број,PRIJEDOR,Ж,serbs,27531
2013,Број,PRNJAVOR,Оба пола,serbs,29478
2013,Број,PRNJAVOR,M,serbs,14352
2013,Број,PRNJAVOR,Ж,serbs,15126
2013,Број,RIBNIK,Оба пола,serbs,5825
2013,Број,RIBNIK,M,serbs,2891
2013,Број,RIBNIK,Ж,serbs,2934
2013,Број,ROGATICA,Оба пола,serbs,9217
2013,Број,ROGATICA,M,serbs,4502
2013,Број,ROGATICA,Ж,serbs,4715
2013,Број,RUDO,Оба пола,serbs,6963
2013,Број,RUDO,M,serbs,3517
2013,Број,RUDO,Ж,serbs,3446
2013,Број,SOKOLAC,Оба пола,serbs,10894
2013,Број,SOKOLAC,M,serbs,5357
2013,Број,SOKOLAC,Ж,serbs,5537
2013,Број,SRBAC,Оба пола,serbs,16013
2013,Број,SRBAC,M,serbs,7888
2013,Број,SRBAC,Ж,serbs,8125
2013,Број,SREBRENICA,Оба пола,serbs,5467
2013,Број,SREBRENICA,M,serbs,2743
2013,Број,SREBRENICA,Ж,serbs,2724
2013,Број,TESLIC,Оба пола,serbs,28166
2013,Број,TESLIC,M,serbs,13545
2013,Број,TESLIC,Ж,serbs,14621
2013,Број,TREBINJE,Оба пола,serbs,26484
2013,Број,TREBINJE,M,serbs,12943
2013,Број,TREBINJE,Ж,serbs,13541
2013,Број,TRNOVO,Оба пола,serbs,1131
2013,Број,TRNOVO,M,serbs,534
2013,Број,TRNOVO,Ж,serbs,597
2013,Број,UGLJEVIK,Оба пола,serbs,13007
2013,Број,UGLJEVIK,M,serbs,6606
2013,Број,UGLJEVIK,Ж,serbs,6401
2013,Број,FOCA,Оба пола,serbs,16157
2013,Број,FOCA,M,serbs,8133
2013,Број,FOCA,Ж,serbs,8024
2013,Број,HAN PIJESAK,Оба пола,serbs,2994
2013,Број,HAN PIJESAK,M,serbs,1412
2013,Број,HAN PIJESAK,Ж,serbs,1582
2013,Број,CAJNICE,Оба пола,serbs,3806
2013,Број,CAJNICE,M,serbs,1891
2013,Број,CAJNICE,Ж,serbs,1915
2013,Број,CELINAC,Оба пола,serbs,14508
2013,Број,CELINAC,M,serbs,7194
2013,Број,CELINAC,Ж,serbs,7314
2013,Број,SAMAC,Оба пола,serbs,12832
2013,Број,SAMAC,M,serbs,6277
2013,Број,SAMAC,Ж,serbs,6555
2013,Број,SEKOVICI,Оба пола,serbs,6187
2013,Број,SEKOVICI,M,serbs,3038
2013,Број,SEKOVICI,Ж,serbs,3149
2013,Број,SIPOVO,Оба пола,serbs,9302
2013,Број,SIPOVO,M,serbs,4716
2013,Број,SIPOVO,Ж,serbs,4586
2013,Број,REPUBLIKA SRPSKA,Оба пола,Друго,14641
2013,Број,REPUBLIKA SRPSKA,M,Друго,7207
2013,Број,REPUBLIKA SRPSKA,Ж,Друго,7434
2013,Број,BANJA LUKA,Оба пола,Друго,3324
2013,Број,BANJA LUKA,M,Друго,1617
2013,Број,BANJA LUKA,Ж,Друго,1707
2013,Број,BERKOVICI,Оба пола,Друго,1
2013,Број,BERKOVICI,M,Друго,1
2013,Број,BIJELJINA,Оба пола,Друго,1478
2013,Број,BIJELJINA,M,Друго,717
2013,Број,BIJELJINA,Ж,Друго,761
2013,Број,BILECA,Оба пола,Друго,72
2013,Број,BILECA,M,Друго,38
2013,Број,BILECA,Ж,Друго,34
2013,Број,BRATUNAC,Оба пола,Друго,79
2013,Број,BRATUNAC,M,Друго,45
2013,Број,BRATUNAC,Ж,Друго,34
2013,Број,BROD,Оба пола,Друго,151
2013,Број,BROD,M,Друго,69
2013,Број,BROD,Ж,Друго,82
2013,Број,VISEGRAD,Оба пола,Друго,53
2013,Број,VISEGRAD,M,Друго,26
2013,Број,VISEGRAD,Ж,Друго,27
2013,Број,VLASENICA,Оба пола,Друго,29
2013,Број,VLASENICA,M,Друго,13
2013,Број,VLASENICA,Ж,Друго,16
2013,Број,VUKOSAVLJE,Оба пола,Друго,146
2013,Број,VUKOSAVLJE,M,Друго,81
2013,Број,VUKOSAVLJE,Ж,Друго,65
2013,Број,GACKO,Оба пола,Друго,40
2013,Број,GACKO,M,Друго,27
2013,Број,GACKO,Ж,Друго,13
2013,Број,GRADISKA,Оба пола,Друго,970
2013,Број,GRADISKA,M,Друго,468
2013,Број,GRADISKA,Ж,Друго,502
2013,Број,DERVENTA,Оба пола,Друго,264
2013,Број,DERVENTA,M,Друго,116
2013,Број,DERVENTA,Ж,Друго,148
2013,Број,DOBOJ,Оба пола,Друго,949
2013,Број,DOBOJ,M,Друго,486
2013,Број,DOBOJ,Ж,Друго,463
2013,Број,DONJI ZABAR,Оба пола,Друго,9
2013,Број,DONJI ZABAR,M,Друго,1
2013,Број,DONJI ZABAR,Ж,Друго,8
2013,Број,ZVORNIK,Оба пола,Друго,120
2013,Број,ZVORNIK,M,Друго,55
2013,Број,ZVORNIK,Ж,Друго,65
2013,Број,ISTOCNA ILIDZA,Оба пола,Друго,96
2013,Број,ISTOCNA ILIDZA,M,Друго,44
2013,Број,ISTOCNA ILIDZA,Ж,Друго,52
2013,Број,ISTOCNI STARI GRAD,Оба пола,Друго,7
2013,Број,ISTOCNI STARI GRAD,M,Друго,5
2013,Број,ISTOCNI STARI GRAD,Ж,Друго,2
2013,Број,ISTOCNO NOVO SARAJEVO,Оба пола,Друго,163
2013,Број,ISTOCNO NOVO SARAJEVO,M,Друго,72
2013,Број,ISTOCNO NOVO SARAJEVO,Ж,Друго,91
2013,Број,JEZERO,Оба пола,Друго,1
2013,Број,JEZERO,M,Друго,1
2013,Број,KALINOVIK,Оба пола,Друго,15
2013,Број,KALINOVIK,M,Друго,8
2013,Број,KALINOVIK,Ж,Друго,7
2013,Број,KNEZEVO,Оба пола,Друго,37
2013,Број,KNEZEVO,M,Друго,21
2013,Број,KNEZEVO,Ж,Друго,16
2013,Број,KOZARSKA DUBICA,Оба пола,Друго,219
2013,Број,KOZARSKA DUBICA,M,Друго,102
2013,Број,KOZARSKA DUBICA,Ж,Друго,117
2013,Број,KOSTAJNICA,Оба пола,Друго,42
2013,Број,KOSTAJNICA,M,Друго,20
2013,Број,KOSTAJNICA,Ж,Друго,22
2013,Број,KOTOR VAROS,Оба пола,Друго,129
2013,Број,KOTOR VAROS,M,Друго,63
2013,Број,KOTOR VAROS,Ж,Друго,66
2013,Број,LAKTASI,Оба пола,Друго,562
2013,Број,LAKTASI,M,Друго,285
2013,Број,LAKTASI,Ж,Друго,277
2013,Број,LOPARE,Оба пола,Друго,31
2013,Број,LOPARE,M,Друго,16
2013,Број,LOPARE,Ж,Друго,15
2013,Број,LJUBINJE,Оба пола,Друго,13
2013,Број,LJUBINJE,M,Друго,7
2013,Број,LJUBINJE,Ж,Друго,6
2013,Број,MILICI,Оба пола,Друго,19
2013,Број,MILICI,M,Друго,7
2013,Број,MILICI,Ж,Друго,12
2013,Број,MODRICA,Оба пола,Друго,412
2013,Број,MODRICA,M,Друго,207
2013,Број,MODRICA,Ж,Друго,205
2013,Број,MRKONJIC GRAD,Оба пола,Друго,37
2013,Број,MRKONJIC GRAD,M,Друго,17
2013,Број,MRKONJIC GRAD,Ж,Друго,20
2013,Број,NEVESINJE,Оба пола,Друго,18
2013,Број,NEVESINJE,M,Друго,5
2013,Број,NEVESINJE,Ж,Друго,13
2013,Број,NOVI GRAD,Оба пола,Друго,200
2013,Број,NOVI GRAD,M,Друго,100
2013,Број,NOVI GRAD,Ж,Друго,100
2013,Број,NOVO GORAZDE,Оба пола,Друго,22
2013,Број,NOVO GORAZDE,M,Друго,11
2013,Број,NOVO GORAZDE,Ж,Друго,11
2013,Број,OSMACI,Оба пола,Друго,5
2013,Број,OSMACI,M,Друго,2
2013,Број,OSMACI,Ж,Друго,3
2013,Број,OSTRA LUKA,Оба пола,Друго,8
2013,Број,OSTRA LUKA,M,Друго,3
2013,Број,OSTRA LUKA,Ж,Друго,5
2013,Број,PALE,Оба пола,Друго,70
2013,Број,PALE,M,Друго,31
2013,Број,PALE,Ж,Друго,39
2013,Број,PELAGICEVO,Оба пола,Друго,9
2013,Број,PELAGICEVO,M,Друго,4
2013,Број,PELAGICEVO,Ж,Друго,5
2013,Број,PETROVAC,Оба пола,Друго,3
2013,Број,PETROVAC,M,Друго,1
2013,Број,PETROVAC,Ж,Друго,2
2013,Број,PETROVO,Оба пола,Друго,30
2013,Број,PETROVO,M,Друго,19
2013,Број,PETROVO,Ж,Друго,11
2013,Број,PRIJEDOR,Оба пола,Друго,1495
2013,Број,PRIJEDOR,M,Друго,712
2013,Број,PRIJEDOR,Ж,Друго,783
2013,Број,PRNJAVOR,Оба пола,Друго,1452
2013,Број,PRNJAVOR,M,Друго,738
2013,Број,PRNJAVOR,Ж,Друго,714
2013,Број,RIBNIK,Оба пола,Друго,11
2013,Број,RIBNIK,M,Друго,3
2013,Број,RIBNIK,Ж,Друго,8
2013,Број,ROGATICA,Оба пола,Друго,41
2013,Број,ROGATICA,M,Друго,20
2013,Број,ROGATICA,Ж,Друго,21
2013,Број,RUDO,Оба пола,Друго,26
2013,Број,RUDO,M,Друго,14
2013,Број,RUDO,Ж,Друго,12
2013,Број,SOKOLAC,Оба пола,Друго,38
2013,Број,SOKOLAC,M,Друго,19
2013,Број,SOKOLAC,Ж,Друго,19
2013,Број,SRBAC,Оба пола,Друго,280
2013,Број,SRBAC,M,Друго,146
2013,Број,SRBAC,Ж,Друго,134
2013,Број,SREBRENICA,Оба пола,Друго,59
2013,Број,SREBRENICA,M,Друго,34
2013,Број,SREBRENICA,Ж,Друго,25
2013,Број,TESLIC,Оба пола,Друго,454
2013,Број,TESLIC,M,Друго,222
2013,Број,TESLIC,Ж,Друго,232
2013,Број,TREBINJE,Оба пола,Друго,398
2013,Број,TREBINJE,M,Друго,204
2013,Број,TREBINJE,Ж,Друго,194
2013,Број,TRNOVO,Оба пола,Друго,10
2013,Број,TRNOVO,M,Друго,7
2013,Број,TRNOVO,Ж,Друго,3
2013,Број,UGLJEVIK,Оба пола,Друго,36
2013,Број,UGLJEVIK,M,Друго,17
2013,Број,UGLJEVIK,Ж,Друго,19
2013,Број,FOCA,Оба пола,Друго,160
2013,Број,FOCA,M,Друго,90
2013,Број,FOCA,Ж,Друго,70
2013,Број,HAN PIJESAK,Оба пола,Друго,21
2013,Број,HAN PIJESAK,M,Друго,14
2013,Број,HAN PIJESAK,Ж,Друго,7
2013,Број,CAJNICE,Оба пола,Друго,24
2013,Број,CAJNICE,M,Друго,13
2013,Број,CAJNICE,Ж,Друго,11
2013,Број,CELINAC,Оба пола,Друго,122
2013,Број,CELINAC,M,Друго,55
2013,Број,CELINAC,Ж,Друго,67
2013,Број,SAMAC,Оба пола,Друго,135
2013,Број,SAMAC,M,Друго,67
2013,Број,SAMAC,Ж,Друго,68
2013,Број,SEKOVICI,Оба пола,Друго,12
2013,Број,SEKOVICI,M,Друго,7
2013,Број,SEKOVICI,Ж,Друго,5
2013,Број,SIPOVO,Оба пола,Друго,34
2013,Број,SIPOVO,M,Друго,14
2013,Број,SIPOVO,Ж,Друго,20
2013,Број,REPUBLIKA SRPSKA,Оба пола,does_not_declare,7861
2013,Број,REPUBLIKA SRPSKA,M,does_not_declare,3202
2013,Број,REPUBLIKA SRPSKA,Ж,does_not_declare,4659
2013,Број,BANJA LUKA,Оба пола,does_not_declare,2641
2013,Број,BANJA LUKA,M,does_not_declare,1044
2013,Број,BANJA LUKA,Ж,does_not_declare,1597
2013,Број,BIJELJINA,Оба пола,does_not_declare,654
2013,Број,BIJELJINA,M,does_not_declare,272
2013,Број,BIJELJINA,Ж,does_not_declare,382
2013,Број,BILECA,Оба пола,does_not_declare,30
2013,Број,BILECA,M,does_not_declare,10
2013,Број,BILECA,Ж,does_not_declare,20
2013,Број,BRATUNAC,Оба пола,does_not_declare,22
2013,Број,BRATUNAC,M,does_not_declare,11
2013,Број,BRATUNAC,Ж,does_not_declare,11
2013,Број,BROD,Оба пола,does_not_declare,142
2013,Број,BROD,M,does_not_declare,50
2013,Број,BROD,Ж,does_not_declare,92
2013,Број,VISEGRAD,Оба пола,does_not_declare,19
2013,Број,VISEGRAD,M,does_not_declare,10
2013,Број,VISEGRAD,Ж,does_not_declare,9
2013,Број,VLASENICA,Оба пола,does_not_declare,20
2013,Број,VLASENICA,M,does_not_declare,11
2013,Број,VLASENICA,Ж,does_not_declare,9
2013,Број,VUKOSAVLJE,Оба пола,does_not_declare,32
2013,Број,VUKOSAVLJE,M,does_not_declare,15
2013,Број,VUKOSAVLJE,Ж,does_not_declare,17
2013,Број,GACKO,Оба пола,does_not_declare,3
2013,Број,GACKO,Ж,does_not_declare,3
2013,Број,GRADISKA,Оба пола,does_not_declare,411
2013,Број,GRADISKA,M,does_not_declare,174
2013,Број,GRADISKA,Ж,does_not_declare,237
2013,Број,DERVENTA,Оба пола,does_not_declare,242
2013,Број,DERVENTA,M,does_not_declare,113
2013,Број,DERVENTA,Ж,does_not_declare,129
2013,Број,DOBOJ,Оба пола,does_not_declare,467
2013,Број,DOBOJ,M,does_not_declare,198
2013,Број,DOBOJ,Ж,does_not_declare,269
2013,Број,DONJI ZABAR,Оба пола,does_not_declare,5
2013,Број,DONJI ZABAR,M,does_not_declare,2
2013,Број,DONJI ZABAR,Ж,does_not_declare,3
2013,Број,ZVORNIK,Оба пола,does_not_declare,70
2013,Број,ZVORNIK,M,does_not_declare,31
2013,Број,ZVORNIK,Ж,does_not_declare,39
2013,Број,ISTOCNA ILIDZA,Оба пола,does_not_declare,96
2013,Број,ISTOCNA ILIDZA,M,does_not_declare,38
2013,Број,ISTOCNA ILIDZA,Ж,does_not_declare,58
2013,Број,ISTOCNI STARI GRAD,Оба пола,does_not_declare,2
2013,Број,ISTOCNI STARI GRAD,Ж,does_not_declare,2
2013,Број,ISTOCNO NOVO SARAJEVO,Оба пола,does_not_declare,61
2013,Број,ISTOCNO NOVO SARAJEVO,M,does_not_declare,26
2013,Број,ISTOCNO NOVO SARAJEVO,Ж,does_not_declare,35
2013,Број,JEZERO,Оба пола,does_not_declare,1
2013,Број,JEZERO,Ж,does_not_declare,1
2013,Број,KALINOVIK,Оба пола,does_not_declare,1
2013,Број,KALINOVIK,M,does_not_declare,1
2013,Број,KNEZEVO,Оба пола,does_not_declare,4
2013,Број,KNEZEVO,M,does_not_declare,3
2013,Број,KNEZEVO,Ж,does_not_declare,1
2013,Број,KOZARSKA DUBICA,Оба пола,does_not_declare,162
2013,Број,KOZARSKA DUBICA,M,does_not_declare,63
2013,Број,KOZARSKA DUBICA,Ж,does_not_declare,99
2013,Број,KOSTAJNICA,Оба пола,does_not_declare,66
2013,Број,KOSTAJNICA,M,does_not_declare,28
2013,Број,KOSTAJNICA,Ж,does_not_declare,38
2013,Број,KOTOR VAROS,Оба пола,does_not_declare,115
2013,Број,KOTOR VAROS,M,does_not_declare,42
2013,Број,KOTOR VAROS,Ж,does_not_declare,73
2013,Број,KUPRES,Оба пола,does_not_declare,1
2013,Број,KUPRES,M,does_not_declare,1
2013,Број,LAKTASI,Оба пола,does_not_declare,237
2013,Број,LAKTASI,M,does_not_declare,103
2013,Број,LAKTASI,Ж,does_not_declare,134
2013,Број,LOPARE,Оба пола,does_not_declare,23
2013,Број,LOPARE,M,does_not_declare,5
2013,Број,LOPARE,Ж,does_not_declare,18
2013,Број,LJUBINJE,Оба пола,does_not_declare,5
2013,Број,LJUBINJE,M,does_not_declare,2
2013,Број,LJUBINJE,Ж,does_not_declare,3
2013,Број,MILICI,Оба пола,does_not_declare,7
2013,Број,MILICI,M,does_not_declare,3
2013,Број,MILICI,Ж,does_not_declare,4
2013,Број,MODRICA,Оба пола,does_not_declare,156
2013,Број,MODRICA,M,does_not_declare,63
2013,Број,MODRICA,Ж,does_not_declare,93
2013,Број,MRKONJIC GRAD,Оба пола,does_not_declare,35
2013,Број,MRKONJIC GRAD,M,does_not_declare,19
2013,Број,MRKONJIC GRAD,Ж,does_not_declare,16
2013,Број,NEVESINJE,Оба пола,does_not_declare,18
2013,Број,NEVESINJE,M,does_not_declare,8
2013,Број,NEVESINJE,Ж,does_not_declare,10
2013,Број,NOVI GRAD,Оба пола,does_not_declare,137
2013,Број,NOVI GRAD,M,does_not_declare,56
2013,Број,NOVI GRAD,Ж,does_not_declare,81
2013,Број,NOVO GORAZDE,Оба пола,does_not_declare,6
2013,Број,NOVO GORAZDE,M,does_not_declare,3
2013,Број,NOVO GORAZDE,Ж,does_not_declare,3
2013,Број,OSMACI,Оба пола,does_not_declare,5
2013,Број,OSMACI,M,does_not_declare,3
2013,Број,OSMACI,Ж,does_not_declare,2
2013,Број,OSTRA LUKA,Оба пола,does_not_declare,12
2013,Број,OSTRA LUKA,M,does_not_declare,4
2013,Број,OSTRA LUKA,Ж,does_not_declare,8
2013,Број,PALE,Оба пола,does_not_declare,53
2013,Број,PALE,M,does_not_declare,20
2013,Број,PALE,Ж,does_not_declare,33
2013,Број,PELAGICEVO,Оба пола,does_not_declare,3
2013,Број,PELAGICEVO,M,does_not_declare,1
2013,Број,PELAGICEVO,Ж,does_not_declare,2
2013,Број,PETROVO,Оба пола,does_not_declare,21
2013,Број,PETROVO,M,does_not_declare,10
2013,Број,PETROVO,Ж,does_not_declare,11
2013,Број,PRIJEDOR,Оба пола,does_not_declare,718
2013,Број,PRIJEDOR,M,does_not_declare,267
2013,Број,PRIJEDOR,Ж,does_not_declare,451
2013,Број,PRNJAVOR,Оба пола,does_not_declare,225
2013,Број,PRNJAVOR,M,does_not_declare,96
2013,Број,PRNJAVOR,Ж,does_not_declare,129
2013,Број,RIBNIK,Оба пола,does_not_declare,2
2013,Број,RIBNIK,Ж,does_not_declare,2
2013,Број,ROGATICA,Оба пола,does_not_declare,12
2013,Број,ROGATICA,M,does_not_declare,7
2013,Број,ROGATICA,Ж,does_not_declare,5
2013,Број,RUDO,Оба пола,does_not_declare,5
2013,Број,RUDO,M,does_not_declare,3
2013,Број,RUDO,Ж,does_not_declare,2
2013,Број,SOKOLAC,Оба пола,does_not_declare,13
2013,Број,SOKOLAC,M,does_not_declare,5
2013,Број,SOKOLAC,Ж,does_not_declare,8
2013,Број,SRBAC,Оба пола,does_not_declare,89
2013,Број,SRBAC,M,does_not_declare,45
2013,Број,SRBAC,Ж,does_not_declare,44
2013,Број,SREBRENICA,Оба пола,does_not_declare,22
2013,Број,SREBRENICA,M,does_not_declare,10
2013,Број,SREBRENICA,Ж,does_not_declare,12
2013,Број,TESLIC,Оба пола,does_not_declare,339
2013,Број,TESLIC,M,does_not_declare,136
2013,Број,TESLIC,Ж,does_not_declare,203
2013,Број,TREBINJE,Оба пола,does_not_declare,180
2013,Број,TREBINJE,M,does_not_declare,77
2013,Број,TREBINJE,Ж,does_not_declare,103
2013,Број,TRNOVO,Оба пола,does_not_declare,9
2013,Број,TRNOVO,M,does_not_declare,4
2013,Број,TRNOVO,Ж,does_not_declare,5
2013,Број,UGLJEVIK,Оба пола,does_not_declare,21
2013,Број,UGLJEVIK,M,does_not_declare,10
2013,Број,UGLJEVIK,Ж,does_not_declare,11
2013,Број,FOCA,Оба пола,does_not_declare,30
2013,Број,FOCA,M,does_not_declare,10
2013,Број,FOCA,Ж,does_not_declare,20
2013,Број,HAN PIJESAK,Оба пола,does_not_declare,3
2013,Број,HAN PIJESAK,M,does_not_declare,1
2013,Број,HAN PIJESAK,Ж,does_not_declare,2
2013,Број,CAJNICE,Оба пола,does_not_declare,3
2013,Број,CAJNICE,M,does_not_declare,1
2013,Број,CAJNICE,Ж,does_not_declare,2
2013,Број,CELINAC,Оба пола,does_not_declare,35
2013,Број,CELINAC,M,does_not_declare,16
2013,Број,CELINAC,Ж,does_not_declare,19
2013,Број,SAMAC,Оба пола,does_not_declare,141
2013,Број,SAMAC,M,does_not_declare,57
2013,Број,SAMAC,Ж,does_not_declare,84
2013,Број,SEKOVICI,Оба пола,does_not_declare,5
2013,Број,SEKOVICI,M,does_not_declare,2
2013,Број,SEKOVICI,Ж,does_not_declare,3
2013,Број,SIPOVO,Оба пола,does_not_declare,24
2013,Број,SIPOVO,M,does_not_declare,12
2013,Број,SIPOVO,Ж,does_not_declare,12
2013,Број,REPUBLIKA SRPSKA,Оба пола,Непознато,1997
2013,Број,REPUBLIKA SRPSKA,M,Непознато,916
2013,Број,REPUBLIKA SRPSKA,Ж,Непознато,1081
2013,Број,BANJA LUKA,Оба пола,Непознато,328
2013,Број,BANJA LUKA,M,Непознато,153
2013,Број,BANJA LUKA,Ж,Непознато,175
2013,Број,BERKOVICI,Оба пола,Непознато,1
2013,Број,BERKOVICI,Ж,Непознато,1
2013,Број,BIJELJINA,Оба пола,Непознато,90
2013,Број,BIJELJINA,M,Непознато,37
2013,Број,BIJELJINA,Ж,Непознато,53
2013,Број,BILECA,Оба пола,Непознато,11
2013,Број,BILECA,M,Непознато,4
