Year,UNIT_MEASURE,Oblast obrazovanja,Vrsta obrazovanja,Pol,Value
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,M,0
2020,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,M,0
2020,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,M,0
2020,Broj,Obrazovanje,Specijalističke studije,M,0
2020,Broj,Umjetnost i humanističke nauke,Specijalističke studije,M,0
2020,Broj,Usluge,Specijalističke studije,M,0
2020,Broj,Ukupno,Specijalističke studije,Ž,131
2020,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,Ž,0
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,Ž,0
2020,Broj,Informacione i komunikacione tehnologije,Specijalističke studije,Ž,0
2020,Broj,Zdravstvo i socijalna zaštita,Specijalističke studije,Ž,131
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,Ž,0
2020,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,Ž,0
2020,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,Ž,0
2020,Broj,Obrazovanje,Specijalističke studije,Ž,0
2020,Broj,Umjetnost i humanističke nauke,Specijalističke studije,Ž,0
2020,Broj,Usluge,Specijalističke studije,Ž,0
2021,Broj,Ukupno,Magistarske studije,Ukupno,1
2021,Broj,"Prirodne nauke, matematika i statistika",Magistarske studije,Ukupno,0
2021,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Magistarske studije,Ukupno,1
2021,Broj,Informacione i komunikacione tehnologije,Magistarske studije,Ukupno,0
2021,Broj,Zdravstvo i socijalna zaštita,Magistarske studije,Ukupno,0
2021,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Magistarske studije,Ukupno,0
2021,Broj,"Društvene nauke, novinarstvo i informisanje",Magistarske studije,Ukupno,0
2021,Broj,"Poslovanje, administracija i pravo",Magistarske studije,Ukupno,0
2021,Broj,Obrazovanje,Magistarske studije,Ukupno,0
2021,Broj,Umjetnost i humanističke nauke,Magistarske studije,Ukupno,0
2021,Broj,Usluge,Magistarske studije,Ukupno,0
2021,Broj,Ukupno,Magistarske studije,M,1
2021,Broj,"Prirodne nauke, matematika i statistika",Magistarske studije,M,0
2021,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Magistarske studije,M,1
2021,Broj,Informacione i komunikacione tehnologije,Magistarske studije,M,0
2021,Broj,Zdravstvo i socijalna zaštita,Magistarske studije,M,0
2021,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Magistarske studije,M,0
2021,Broj,"Društvene nauke, novinarstvo i informisanje",Magistarske studije,M,0
2021,Broj,"Poslovanje, administracija i pravo",Magistarske studije,M,0
2021,Broj,Obrazovanje,Magistarske studije,M,0
2021,Broj,Umjetnost i humanističke nauke,Magistarske studije,M,0
2021,Broj,Usluge,Magistarske studije,M,0
2021,Broj,Ukupno,Magistarske studije,Ž,0
2021,Broj,"Prirodne nauke, matematika i statistika",Magistarske studije,Ž,0
2021,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Magistarske studije,Ž,0
2021,Broj,Informacione i komunikacione tehnologije,Magistarske studije,Ž,0
2021,Broj,Zdravstvo i socijalna zaštita,Magistarske studije,Ž,0
2021,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Magistarske studije,Ž,0
2021,Broj,"Društvene nauke, novinarstvo i informisanje",Magistarske studije,Ž,0
2021,Broj,"Poslovanje, administracija i pravo",Magistarske studije,Ž,0
2021,Broj,Obrazovanje,Magistarske studije,Ž,0
2021,Broj,Umjetnost i humanističke nauke,Magistarske studije,Ž,0
2021,Broj,Usluge,Magistarske studije,Ž,0
2021,Broj,Ukupno,Master studije,Ukupno,2334
2021,Broj,"Prirodne nauke, matematika i statistika",Master studije,Ukupno,93
2021,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Master studije,Ukupno,461
2021,Broj,Informacione i komunikacione tehnologije,Master studije,Ukupno,86
2021,Broj,Zdravstvo i socijalna zaštita,Master studije,Ukupno,69
2021,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Master studije,Ukupno,200
2021,Broj,"Društvene nauke, novinarstvo i informisanje",Master studije,Ukupno,546
2021,Broj,"Poslovanje, administracija i pravo",Master studije,Ukupno,200
2021,Broj,Obrazovanje,Master studije,Ukupno,367
2021,Broj,Umjetnost i humanističke nauke,Master studije,Ukupno,307
2021,Broj,Usluge,Master studije,Ukupno,5
2021,Broj,Ukupno,Master studije,M,915
2021,Broj,"Prirodne nauke, matematika i statistika",Master studije,M,24
2021,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Master studije,M,249
2021,Broj,Informacione i komunikacione tehnologije,Master studije,M,60
2021,Broj,Zdravstvo i socijalna zaštita,Master studije,M,14
2021,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Master studije,M,101
2021,Broj,"Društvene nauke, novinarstvo i informisanje",Master studije,M,177
2021,Broj,"Poslovanje, administracija i pravo",Master studije,M,60
2021,Broj,Obrazovanje,Master studije,M,100
2021,Broj,Umjetnost i humanističke nauke,Master studije,M,130
2021,Broj,Usluge,Master studije,M,0
2021,Broj,Ukupno,Master studije,Ž,1419
2021,Broj,"Prirodne nauke, matematika i statistika",Master studije,Ž,69
2021,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Master studije,Ž,212
2021,Broj,Informacione i komunikacione tehnologije,Master studije,Ž,26
2021,Broj,Zdravstvo i socijalna zaštita,Master studije,Ž,55
2021,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Master studije,Ž,99
2021,Broj,"Društvene nauke, novinarstvo i informisanje",Master studije,Ž,369
2021,Broj,"Poslovanje, administracija i pravo",Master studije,Ž,140
2021,Broj,Obrazovanje,Master studije,Ž,267
2021,Broj,Umjetnost i humanističke nauke,Master studije,Ž,177
2021,Broj,Usluge,Master studije,Ž,5
2021,Broj,Ukupno,Specijalističke studije,Ukupno,156
2021,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,Ukupno,0
2021,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,Ukupno,0
2021,Broj,Informacione i komunikacione tehnologije,Specijalističke studije,Ukupno,1
2021,Broj,Zdravstvo i socijalna zaštita,Specijalističke studije,Ukupno,155
2021,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,Ukupno,0
2021,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,Ukupno,0
2021,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,Ukupno,0
2021,Broj,Obrazovanje,Specijalističke studije,Ukupno,0
2021,Broj,Umjetnost i humanističke nauke,Specijalističke studije,Ukupno,0
2021,Broj,Usluge,Specijalističke studije,Ukupno,0
2021,Broj,Ukupno,Specijalističke studije,M,44
2021,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,M,0
2021,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,M,0
2021,Broj,Informacione i komunikacione tehnologije,Specijalističke studije,M,0
2021,Broj,Zdravstvo i socijalna zaštita,Specijalističke studije,M,44
2021,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,M,0
2021,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,M,0
2021,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,M,0
2021,Broj,Obrazovanje,Specijalističke studije,M,0
2021,Broj,Umjetnost i humanističke nauke,Specijalističke studije,M,0
2021,Broj,Usluge,Specijalističke studije,M,0
2021,Broj,Ukupno,Specijalističke studije,Ž,112
2021,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,Ž,0
2021,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,Ž,0
2021,Broj,Informacione i komunikacione tehnologije,Specijalističke studije,Ž,1
2021,Broj,Zdravstvo i socijalna zaštita,Specijalističke studije,Ž,111
2021,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,Ž,0
2021,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,Ž,0
2021,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,Ž,0
2021,Broj,Obrazovanje,Specijalističke studije,Ž,0
2021,Broj,Umjetnost i humanističke nauke,Specijalističke studije,Ž,0
2021,Broj,Usluge,Specijalističke studije,Ž,0
2022,Broj,Ukupno,Master studije,Ukupno,2201
2022,Broj,"Prirodne nauke, matematika i statistika",Master studije,Ukupno,90
2022,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Master studije,Ukupno,397
2022,Broj,Informacione i komunikacione tehnologije,Master studije,Ukupno,71
2022,Broj,Zdravstvo i socijalna zaštita,Master studije,Ukupno,78
2022,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Master studije,Ukupno,154
2022,Broj,"Društvene nauke, novinarstvo i informisanje",Master studije,Ukupno,319
2022,Broj,"Poslovanje, administracija i pravo",Master studije,Ukupno,398
2022,Broj,Obrazovanje,Master studije,Ukupno,400
2022,Broj,Umjetnost i humanističke nauke,Master studije,Ukupno,281
2022,Broj,Usluge,Master studije,Ukupno,13
2022,Broj,Ukupno,Master studije,M,876
2022,Broj,"Prirodne nauke, matematika i statistika",Master studije,M,32
2022,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Master studije,M,227
2022,Broj,Informacione i komunikacione tehnologije,Master studije,M,55
2022,Broj,Zdravstvo i socijalna zaštita,Master studije,M,17
2022,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Master studije,M,75
2022,Broj,"Društvene nauke, novinarstvo i informisanje",Master studije,M,93
2022,Broj,"Poslovanje, administracija i pravo",Master studije,M,138
2022,Broj,Obrazovanje,Master studije,M,121
2022,Broj,Umjetnost i humanističke nauke,Master studije,M,114
2022,Broj,Usluge,Master studije,M,4
2022,Broj,Ukupno,Master studije,Ž,1325
2022,Broj,"Prirodne nauke, matematika i statistika",Master studije,Ž,58
2022,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Master studije,Ž,170
2022,Broj,Informacione i komunikacione tehnologije,Master studije,Ž,16
2022,Broj,Zdravstvo i socijalna zaštita,Master studije,Ž,61
2022,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Master studije,Ž,79
2022,Broj,"Društvene nauke, novinarstvo i informisanje",Master studije,Ž,226
2022,Broj,"Poslovanje, administracija i pravo",Master studije,Ž,260
2022,Broj,Obrazovanje,Master studije,Ž,279
2022,Broj,Umjetnost i humanističke nauke,Master studije,Ž,167
2022,Broj,Usluge,Master studije,Ž,9
2022,Broj,Ukupno,Specijalističke studije,Ukupno,71
2022,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,Ukupno,0
2022,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,Ukupno,0
2022,Broj,Informacione i komunikacione tehnologije,Specijalističke studije,Ukupno,0
2022,Broj,Zdravstvo i socijalna zaštita,Specijalističke studije,Ukupno,71
2022,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,Ukupno,0
2022,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,Ukupno,0
2022,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,Ukupno,0
2022,Broj,Obrazovanje,Specijalističke studije,Ukupno,0
2022,Broj,Umjetnost i humanističke nauke,Specijalističke studije,Ukupno,0
2022,Broj,Usluge,Specijalističke studije,Ukupno,0
2022,Broj,Ukupno,Specijalističke studije,M,27
2022,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,M,0
2022,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,M,0
2022,Broj,Informacione i komunikacione tehnologije,Specijalističke studije,M,0
2022,Broj,Zdravstvo i socijalna zaštita,Specijalističke studije,M,27
2022,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,M,0
2022,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,M,0
2022,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,M,0
2022,Broj,Obrazovanje,Specijalističke studije,M,0
2022,Broj,Umjetnost i humanističke nauke,Specijalističke studije,M,0
2022,Broj,Usluge,Specijalističke studije,M,0
2022,Broj,Ukupno,Specijalističke studije,Ž,44
2022,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,Ž,0
2022,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,Ž,0
2022,Broj,Informacione i komunikacione tehnologije,Specijalističke studije,Ž,0
2022,Broj,Zdravstvo i socijalna zaštita,Specijalističke studije,Ž,44
2022,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,Ž,0
2022,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,Ž,0
2022,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,Ž,0
2022,Broj,Obrazovanje,Specijalističke studije,Ž,0
2022,Broj,Umjetnost i humanističke nauke,Specijalističke studije,Ž,0
2022,Broj,Usluge,Specijalističke studije,Ž,0
2023,Broj,Ukupno,Master studije,Ukupno,2162
2023,Broj,"Prirodne nauke, matematika i statistika",Master studije,Ukupno,107
2023,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Master studije,Ukupno,369
2023,Broj,Informacione i komunikacione tehnologije,Master studije,Ukupno,78
2023,Broj,Zdravstvo i socijalna zaštita,Master studije,Ukupno,65
2023,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Master studije,Ukupno,162
2023,Broj,"Društvene nauke, novinarstvo i informisanje",Master studije,Ukupno,440
2023,Broj,"Poslovanje, administracija i pravo",Master studije,Ukupno,307
2023,Broj,Obrazovanje,Master studije,Ukupno,357
2023,Broj,Umjetnost i humanističke nauke,Master studije,Ukupno,251
2023,Broj,Usluge,Master studije,Ukupno,26
2023,Broj,Ukupno,Master studije,M,799
2023,Broj,"Prirodne nauke, matematika i statistika",Master studije,M,29
2023,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Master studije,M,199
2023,Broj,Informacione i komunikacione tehnologije,Master studije,M,51
2023,Broj,Zdravstvo i socijalna zaštita,Master studije,M,10
2023,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Master studije,M,78
2023,Broj,"Društvene nauke, novinarstvo i informisanje",Master studije,M,120
2023,Broj,"Poslovanje, administracija i pravo",Master studije,M,111
2023,Broj,Obrazovanje,Master studije,M,92
2023,Broj,Umjetnost i humanističke nauke,Master studije,M,101
2023,Broj,Usluge,Master studije,M,8
2023,Broj,Ukupno,Master studije,Ž,1363
2023,Broj,"Prirodne nauke, matematika i statistika",Master studije,Ž,78
2023,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Master studije,Ž,170
2023,Broj,Informacione i komunikacione tehnologije,Master studije,Ž,27
2023,Broj,Zdravstvo i socijalna zaštita,Master studije,Ž,55
2023,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Master studije,Ž,84
2023,Broj,"Društvene nauke, novinarstvo i informisanje",Master studije,Ž,320
2023,Broj,"Poslovanje, administracija i pravo",Master studije,Ž,196
2023,Broj,Obrazovanje,Master studije,Ž,265
2023,Broj,Umjetnost i humanističke nauke,Master studije,Ž,150
2023,Broj,Usluge,Master studije,Ž,18
2023,Broj,Ukupno,Specijalističke studije,Ukupno,203
2023,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,Ukupno,0
2023,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,Ukupno,0
2023,Broj,Informacione i komunikacione tehnologije,Specijalističke studije,Ukupno,0
2023,Broj,Zdravstvo i socijalna zaštita,Specijalističke studije,Ukupno,203
2023,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,Ukupno,0
2023,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,Ukupno,0
2023,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,Ukupno,0
2023,Broj,Obrazovanje,Specijalističke studije,Ukupno,0
2023,Broj,Umjetnost i humanističke nauke,Specijalističke studije,Ukupno,0
2023,Broj,Usluge,Specijalističke studije,Ukupno,0
2023,Broj,Ukupno,Specijalističke studije,M,61
2023,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,M,0
2023,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,M,0
2023,Broj,Informacione i komunikacione tehnologije,Specijalističke studije,M,0
2023,Broj,Zdravstvo i socijalna zaštita,Specijalističke studije,M,61
2023,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,M,0
2023,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,M,0
2023,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,M,0
2023,Broj,Obrazovanje,Specijalističke studije,M,0
2023,Broj,Umjetnost i humanističke nauke,Specijalističke studije,M,0
2023,Broj,Usluge,Specijalističke studije,M,0
2023,Broj,Ukupno,Specijalističke studije,Ž,142
2023,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,Ž,0
2023,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,Ž,0
2023,Broj,Informacione i komunikacione tehnologije,Specijalističke studije,Ž,0
2023,Broj,Zdravstvo i socijalna zaštita,Specijalističke studije,Ž,142
2023,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,Ž,0
2023,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,Ž,0
2023,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,Ž,0
2023,Broj,Obrazovanje,Specijalističke studije,Ž,0
2023,Broj,Umjetnost i humanističke nauke,Specijalističke studije,Ž,0
2023,Broj,Usluge,Specijalističke studije,Ž,0
2024,Broj,Ukupno,Master studije,Ukupno,2272
2024,Broj,"Prirodne nauke, matematika i statistika",Master studije,Ukupno,82
2024,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Master studije,Ukupno,444
2024,Broj,Informacione i komunikacione tehnologije,Master studije,Ukupno,74
2024,Broj,Zdravstvo i socijalna zaštita,Master studije,Ukupno,29
2024,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Master studije,Ukupno,169
2024,Broj,"Društvene nauke, novinarstvo i informisanje",Master studije,Ukupno,427
2024,Broj,"Poslovanje, administracija i pravo",Master studije,Ukupno,199
2024,Broj,Obrazovanje,Master studije,Ukupno,522
2024,Broj,Umjetnost i humanističke nauke,Master studije,Ukupno,266
2024,Broj,Usluge,Master studije,Ukupno,60
2024,Broj,Ukupno,Master studije,M,854
2024,Broj,"Prirodne nauke, matematika i statistika",Master studije,M,22
2024,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Master studije,M,224
2024,Broj,Informacione i komunikacione tehnologije,Master studije,M,51
2024,Broj,Zdravstvo i socijalna zaštita,Master studije,M,2
2024,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Master studije,M,87
2024,Broj,"Društvene nauke, novinarstvo i informisanje",Master studije,M,113
2024,Broj,"Poslovanje, administracija i pravo",Master studije,M,76
2024,Broj,Obrazovanje,Master studije,M,127
2024,Broj,Umjetnost i humanističke nauke,Master studije,M,117
2024,Broj,Usluge,Master studije,M,35
2024,Broj,Ukupno,Master studije,Ž,1418
2024,Broj,"Prirodne nauke, matematika i statistika",Master studije,Ž,60
2024,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Master studije,Ž,220
2024,Broj,Informacione i komunikacione tehnologije,Master studije,Ž,23
2024,Broj,Zdravstvo i socijalna zaštita,Master studije,Ž,27
2024,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Master studije,Ž,82
2024,Broj,"Društvene nauke, novinarstvo i informisanje",Master studije,Ž,314
2024,Broj,"Poslovanje, administracija i pravo",Master studije,Ž,123
2024,Broj,Obrazovanje,Master studije,Ž,395
2024,Broj,Umjetnost i humanističke nauke,Master studije,Ž,149
2024,Broj,Usluge,Master studije,Ž,25
2024,Broj,Ukupno,Specijalističke studije,Ukupno,221
2024,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,Ukupno,0
2024,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,Ukupno,0
2024,Broj,Informacione i komunikacione tehnologije,Specijalističke studije,Ukupno,0
2024,Broj,Zdravstvo i socijalna zaštita,Specijalističke studije,Ukupno,221
2024,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,Ukupno,0
2024,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,Ukupno,0
2024,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,Ukupno,0
2024,Broj,Obrazovanje,Specijalističke studije,Ukupno,0
2024,Broj,Umjetnost i humanističke nauke,Specijalističke studije,Ukupno,0
2024,Broj,Usluge,Specijalističke studije,Ukupno,0
2024,Broj,Ukupno,Specijalističke studije,M,55
2024,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,M,0
2024,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,M,0
2024,Broj,Informacione i komunikacione tehnologije,Specijalističke studije,M,0
2024,Broj,Zdravstvo i socijalna zaštita,Specijalističke studije,M,55
2024,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,M,0
2024,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,M,0
2024,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,M,0
2024,Broj,Obrazovanje,Specijalističke studije,M,0
2024,Broj,Umjetnost i humanističke nauke,Specijalističke studije,M,0
2024,Broj,Usluge,Specijalističke studije,M,0
2024,Broj,Ukupno,Specijalističke studije,Ž,166
2024,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,Ž,0
2024,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,Ž,0
2024,Broj,Informacione i komunikacione tehnologije,Specijalističke studije,Ž,0
2024,Broj,Zdravstvo i socijalna zaštita,Specijalističke studije,Ž,166
2024,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,Ž,0
2024,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,Ž,0
2024,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,Ž,0
2024,Broj,Obrazovanje,Specijalističke studije,Ž,0
2024,Broj,Umjetnost i humanističke nauke,Specijalističke studije,Ž,0
2024,Broj,Usluge,Specijalističke studije,Ž,0
