Year,UNIT_MEASURE,Pol,Uzrok smrti (prema šiframa bolesti po MKB-10),Value
2011,Broj,Ukupno,(P00-P96) Određena stanja nastala u perinatalnom periodu,36
2012,Broj,Ukupno,(P00-P96) Određena stanja nastala u perinatalnom periodu,29
2013,Broj,Ukupno,(P00-P96) Određena stanja nastala u perinatalnom periodu,21
2014,Broj,Ukupno,(P00-P96) Određena stanja nastala u perinatalnom periodu,16
2015,Broj,Ukupno,(P00-P96) Određena stanja nastala u perinatalnom periodu,10
2016,Broj,Ukupno,(P00-P96) Određena stanja nastala u perinatalnom periodu,18
2017,Broj,Ukupno,(P00-P96) Određena stanja nastala u perinatalnom periodu,17
2018,Broj,Ukupno,(P00-P96) Određena stanja nastala u perinatalnom periodu,10
2019,Broj,Ukupno,(P00-P96) Određena stanja nastala u perinatalnom periodu,11
2020,Broj,Ukupno,(P00-P96) Određena stanja nastala u perinatalnom periodu,34
2021,Broj,Ukupno,(P00-P96) Određena stanja nastala u perinatalnom periodu,9
2022,Broj,Ukupno,(P00-P96) Određena stanja nastala u perinatalnom periodu,19
2023,Broj,Ukupno,(P00-P96) Određena stanja nastala u perinatalnom periodu,14
2003,Broj,Ukupno,"(Q00-Q99) Kongenitalne anomalije, deformacije i hromozomske nenormalnosti",10
2004,Broj,Ukupno,"(Q00-Q99) Kongenitalne anomalije, deformacije i hromozomske nenormalnosti",11
2005,Broj,Ukupno,"(Q00-Q99) Kongenitalne anomalije, deformacije i hromozomske nenormalnosti",14
2006,Broj,Ukupno,"(Q00-Q99) Kongenitalne anomalije, deformacije i hromozomske nenormalnosti",14
2007,Broj,Ukupno,"(Q00-Q99) Kongenitalne anomalije, deformacije i hromozomske nenormalnosti",14
2008,Broj,Ukupno,"(Q00-Q99) Kongenitalne anomalije, deformacije i hromozomske nenormalnosti",15
2009,Broj,Ukupno,"(Q00-Q99) Kongenitalne anomalije, deformacije i hromozomske nenormalnosti",20
2010,Broj,Ukupno,"(Q00-Q99) Kongenitalne anomalije, deformacije i hromozomske nenormalnosti",17
2011,Broj,Ukupno,"(Q00-Q99) Kongenitalne anomalije, deformacije i hromozomske nenormalnosti",9
2012,Broj,Ukupno,"(Q00-Q99) Kongenitalne anomalije, deformacije i hromozomske nenormalnosti",6
2013,Broj,Ukupno,"(Q00-Q99) Kongenitalne anomalije, deformacije i hromozomske nenormalnosti",10
2014,Broj,Ukupno,"(Q00-Q99) Kongenitalne anomalije, deformacije i hromozomske nenormalnosti",10
2015,Broj,Ukupno,"(Q00-Q99) Kongenitalne anomalije, deformacije i hromozomske nenormalnosti",7
2016,Broj,Ukupno,"(Q00-Q99) Kongenitalne anomalije, deformacije i hromozomske nenormalnosti",5
2017,Broj,Ukupno,"(Q00-Q99) Kongenitalne anomalije, deformacije i hromozomske nenormalnosti",5
2018,Broj,Ukupno,"(Q00-Q99) Kongenitalne anomalije, deformacije i hromozomske nenormalnosti",5
2019,Broj,Ukupno,"(Q00-Q99) Kongenitalne anomalije, deformacije i hromozomske nenormalnosti",4
2020,Broj,Ukupno,"(Q00-Q99) Kongenitalne anomalije, deformacije i hromozomske nenormalnosti",6
2021,Broj,Ukupno,"(Q00-Q99) Kongenitalne anomalije, deformacije i hromozomske nenormalnosti",5
2022,Broj,Ukupno,"(Q00-Q99) Kongenitalne anomalije, deformacije i hromozomske nenormalnosti",13
2023,Broj,Ukupno,"(Q00-Q99) Kongenitalne anomalije, deformacije i hromozomske nenormalnosti",7
2003,Broj,Ukupno,"(R00-R99) Simptomi, znakovi i nenormalni klinički i laboratorijski nalazi, neklasifikovani na drugom mjestu",1612
2004,Broj,Ukupno,"(R00-R99) Simptomi, znakovi i nenormalni klinički i laboratorijski nalazi, neklasifikovani na drugom mjestu",1462
2005,Broj,Ukupno,"(R00-R99) Simptomi, znakovi i nenormalni klinički i laboratorijski nalazi, neklasifikovani na drugom mjestu",1249
2006,Broj,Ukupno,"(R00-R99) Simptomi, znakovi i nenormalni klinički i laboratorijski nalazi, neklasifikovani na drugom mjestu",1200
2007,Broj,Ukupno,"(R00-R99) Simptomi, znakovi i nenormalni klinički i laboratorijski nalazi, neklasifikovani na drugom mjestu",1288
2008,Broj,Ukupno,"(R00-R99) Simptomi, znakovi i nenormalni klinički i laboratorijski nalazi, neklasifikovani na drugom mjestu",945
2009,Broj,Ukupno,"(R00-R99) Simptomi, znakovi i nenormalni klinički i laboratorijski nalazi, neklasifikovani na drugom mjestu",953
2010,Broj,Ukupno,"(R00-R99) Simptomi, znakovi i nenormalni klinički i laboratorijski nalazi, neklasifikovani na drugom mjestu",877
2011,Broj,Ukupno,"(R00-R99) Simptomi, znakovi i nenormalni klinički i laboratorijski nalazi, neklasifikovani na drugom mjestu",681
2012,Broj,Ukupno,"(R00-R99) Simptomi, znakovi i nenormalni klinički i laboratorijski nalazi, neklasifikovani na drugom mjestu",612
2013,Broj,Ukupno,"(R00-R99) Simptomi, znakovi i nenormalni klinički i laboratorijski nalazi, neklasifikovani na drugom mjestu",1231
2014,Broj,Ukupno,"(R00-R99) Simptomi, znakovi i nenormalni klinički i laboratorijski nalazi, neklasifikovani na drugom mjestu",1445
2015,Broj,Ukupno,"(R00-R99) Simptomi, znakovi i nenormalni klinički i laboratorijski nalazi, neklasifikovani na drugom mjestu",1556
2016,Broj,Ukupno,"(R00-R99) Simptomi, znakovi i nenormalni klinički i laboratorijski nalazi, neklasifikovani na drugom mjestu",1198
2017,Broj,Ukupno,"(R00-R99) Simptomi, znakovi i nenormalni klinički i laboratorijski nalazi, neklasifikovani na drugom mjestu",1435
2018,Broj,Ukupno,"(R00-R99) Simptomi, znakovi i nenormalni klinički i laboratorijski nalazi, neklasifikovani na drugom mjestu",1650
2019,Broj,Ukupno,"(R00-R99) Simptomi, znakovi i nenormalni klinički i laboratorijski nalazi, neklasifikovani na drugom mjestu",1961
2020,Broj,Ukupno,"(R00-R99) Simptomi, znakovi i nenormalni klinički i laboratorijski nalazi, neklasifikovani na drugom mjestu",1599
2021,Broj,Ukupno,"(R00-R99) Simptomi, znakovi i nenormalni klinički i laboratorijski nalazi, neklasifikovani na drugom mjestu",2213
2022,Broj,Ukupno,"(R00-R99) Simptomi, znakovi i nenormalni klinički i laboratorijski nalazi, neklasifikovani na drugom mjestu",2158
2023,Broj,Ukupno,"(R00-R99) Simptomi, znakovi i nenormalni klinički i laboratorijski nalazi, neklasifikovani na drugom mjestu",1431
2003,Broj,Ukupno,"(S00-T98) Povrede, trovanja i posljedice djelovanja spoljnih faktora",580
2004,Broj,Ukupno,"(S00-T98) Povrede, trovanja i posljedice djelovanja spoljnih faktora",552
2005,Broj,Ukupno,"(S00-T98) Povrede, trovanja i posljedice djelovanja spoljnih faktora",618
2006,Broj,Ukupno,"(S00-T98) Povrede, trovanja i posljedice djelovanja spoljnih faktora",615
2007,Broj,Ukupno,"(S00-T98) Povrede, trovanja i posljedice djelovanja spoljnih faktora",634
2008,Broj,Ukupno,"(S00-T98) Povrede, trovanja i posljedice djelovanja spoljnih faktora",584
2009,Broj,Ukupno,"(S00-T98) Povrede, trovanja i posljedice djelovanja spoljnih faktora",581
2010,Broj,Ukupno,"(S00-T98) Povrede, trovanja i posljedice djelovanja spoljnih faktora",511
2011,Broj,Ukupno,"(S00-T98) Povrede, trovanja i posljedice djelovanja spoljnih faktora",600
2012,Broj,Ukupno,"(S00-T98) Povrede, trovanja i posljedice djelovanja spoljnih faktora",538
2013,Broj,Ukupno,"(S00-T98) Povrede, trovanja i posljedice djelovanja spoljnih faktora",504
2014,Broj,Ukupno,"(S00-T98) Povrede, trovanja i posljedice djelovanja spoljnih faktora",532
2015,Broj,Ukupno,"(S00-T98) Povrede, trovanja i posljedice djelovanja spoljnih faktora",559
2016,Broj,Ukupno,"(S00-T98) Povrede, trovanja i posljedice djelovanja spoljnih faktora",491
2017,Broj,Ukupno,"(S00-T98) Povrede, trovanja i posljedice djelovanja spoljnih faktora",474
2018,Broj,Ukupno,"(S00-T98) Povrede, trovanja i posljedice djelovanja spoljnih faktora",482
2019,Broj,Ukupno,"(S00-T98) Povrede, trovanja i posljedice djelovanja spoljnih faktora",430
2020,Broj,Ukupno,"(S00-T98) Povrede, trovanja i posljedice djelovanja spoljnih faktora",405
2021,Broj,Ukupno,"(S00-T98) Povrede, trovanja i posljedice djelovanja spoljnih faktora",448
2022,Broj,Ukupno,"(S00-T98) Povrede, trovanja i posljedice djelovanja spoljnih faktora",465
2023,Broj,Ukupno,"(S00-T98) Povrede, trovanja i posljedice djelovanja spoljnih faktora",434
2003,Broj,Ukupno,(U00-U85) Šifre za posebne namjene,0
2004,Broj,Ukupno,(U00-U85) Šifre za posebne namjene,0
2005,Broj,Ukupno,(U00-U85) Šifre za posebne namjene,0
2006,Broj,Ukupno,(U00-U85) Šifre za posebne namjene,0
2007,Broj,Ukupno,(U00-U85) Šifre za posebne namjene,0
2008,Broj,Ukupno,(U00-U85) Šifre za posebne namjene,0
2009,Broj,Ukupno,(U00-U85) Šifre za posebne namjene,0
2010,Broj,Ukupno,(U00-U85) Šifre za posebne namjene,0
2011,Broj,Ukupno,(U00-U85) Šifre za posebne namjene,0
2012,Broj,Ukupno,(U00-U85) Šifre za posebne namjene,0
2013,Broj,Ukupno,(U00-U85) Šifre za posebne namjene,0
2014,Broj,Ukupno,(U00-U85) Šifre za posebne namjene,0
2015,Broj,Ukupno,(U00-U85) Šifre za posebne namjene,0
2016,Broj,Ukupno,(U00-U85) Šifre za posebne namjene,0
2017,Broj,Ukupno,(U00-U85) Šifre za posebne namjene,0
2018,Broj,Ukupno,(U00-U85) Šifre za posebne namjene,0
2019,Broj,Ukupno,(U00-U85) Šifre za posebne namjene,0
2020,Broj,Ukupno,(U00-U85) Šifre za posebne namjene,1592
2021,Broj,Ukupno,(U00-U85) Šifre za posebne namjene,3846
2022,Broj,Ukupno,(U00-U85) Šifre za posebne namjene,1312
2023,Broj,Ukupno,(U00-U85) Šifre za posebne namjene,162
2003,Broj,M,Ukupno,6804
2004,Broj,M,Ukupno,6735
2005,Broj,M,Ukupno,7239
2006,Broj,M,Ukupno,6904
2007,Broj,M,Ukupno,7302
2008,Broj,M,Ukupno,7058
2009,Broj,M,Ukupno,7099
2010,Broj,M,Ukupno,6935
2011,Broj,M,Ukupno,7001
2012,Broj,M,Ukupno,7064
2013,Broj,M,Ukupno,7237
2014,Broj,M,Ukupno,7386
2015,Broj,M,Ukupno,7640
2016,Broj,M,Ukupno,7198
2017,Broj,M,Ukupno,7363
2018,Broj,M,Ukupno,7449
2019,Broj,M,Ukupno,7753
2020,Broj,M,Ukupno,8613
2021,Broj,M,Ukupno,9943
2022,Broj,M,Ukupno,8469
2023,Broj,M,Ukupno,6978
2003,Broj,M,(A00-B99) Infektivne i parazitske bolesti,59
2004,Broj,M,(A00-B99) Infektivne i parazitske bolesti,75
2005,Broj,M,(A00-B99) Infektivne i parazitske bolesti,78
2006,Broj,M,(A00-B99) Infektivne i parazitske bolesti,73
2007,Broj,M,(A00-B99) Infektivne i parazitske bolesti,70
2008,Broj,M,(A00-B99) Infektivne i parazitske bolesti,72
2009,Broj,M,(A00-B99) Infektivne i parazitske bolesti,75
2010,Broj,M,(A00-B99) Infektivne i parazitske bolesti,72
2011,Broj,M,(A00-B99) Infektivne i parazitske bolesti,79
2012,Broj,M,(A00-B99) Infektivne i parazitske bolesti,69
2013,Broj,M,(A00-B99) Infektivne i parazitske bolesti,73
2014,Broj,M,(A00-B99) Infektivne i parazitske bolesti,80
2015,Broj,M,(A00-B99) Infektivne i parazitske bolesti,92
2016,Broj,M,(A00-B99) Infektivne i parazitske bolesti,104
2017,Broj,M,(A00-B99) Infektivne i parazitske bolesti,85
2018,Broj,M,(A00-B99) Infektivne i parazitske bolesti,109
2019,Broj,M,(A00-B99) Infektivne i parazitske bolesti,119
2020,Broj,M,(A00-B99) Infektivne i parazitske bolesti,87
2021,Broj,M,(A00-B99) Infektivne i parazitske bolesti,86
2022,Broj,M,(A00-B99) Infektivne i parazitske bolesti,115
2023,Broj,M,(A00-B99) Infektivne i parazitske bolesti,105
2003,Broj,M,"(C00-C97,D00-D48) Neoplazme",1461
2004,Broj,M,"(C00-C97,D00-D48) Neoplazme",1402
2005,Broj,M,"(C00-C97,D00-D48) Neoplazme",1581
2006,Broj,M,"(C00-C97,D00-D48) Neoplazme",1536
2007,Broj,M,"(C00-C97,D00-D48) Neoplazme",1624
2008,Broj,M,"(C00-C97,D00-D48) Neoplazme",1658
2009,Broj,M,"(C00-C97,D00-D48) Neoplazme",1661
2010,Broj,M,"(C00-C97,D00-D48) Neoplazme",1595
2011,Broj,M,"(C00-C97,D00-D48) Neoplazme",1684
2012,Broj,M,"(C00-C97,D00-D48) Neoplazme",1754
2013,Broj,M,"(C00-C97,D00-D48) Neoplazme",1859
2014,Broj,M,"(C00-C97,D00-D48) Neoplazme",1801
2015,Broj,M,"(C00-C97,D00-D48) Neoplazme",1783
2016,Broj,M,"(C00-C97,D00-D48) Neoplazme",1739
2017,Broj,M,"(C00-C97,D00-D48) Neoplazme",1759
2018,Broj,M,"(C00-C97,D00-D48) Neoplazme",1729
2019,Broj,M,"(C00-C97,D00-D48) Neoplazme",1705
2020,Broj,M,"(C00-C97,D00-D48) Neoplazme",1622
2021,Broj,M,"(C00-C97,D00-D48) Neoplazme",1558
2022,Broj,M,"(C00-C97,D00-D48) Neoplazme",1519
2023,Broj,M,"(C00-C97,D00-D48) Neoplazme",1542
2003,Broj,M,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,6
2004,Broj,M,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,2
2005,Broj,M,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,5
2006,Broj,M,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,2
2007,Broj,M,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,6
2008,Broj,M,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,3
2009,Broj,M,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,4
2010,Broj,M,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,5
2011,Broj,M,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,7
2012,Broj,M,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,9
2013,Broj,M,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,8
2014,Broj,M,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,2
2015,Broj,M,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,9
2016,Broj,M,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,9
2017,Broj,M,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,3
2018,Broj,M,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,18
2019,Broj,M,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,8
2020,Broj,M,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,12
2021,Broj,M,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,7
2022,Broj,M,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,9
2023,Broj,M,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,10
2003,Broj,M,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",71
2004,Broj,M,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",68
2005,Broj,M,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",286
2006,Broj,M,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",306
2007,Broj,M,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",349
2008,Broj,M,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",310
2009,Broj,M,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",361
2010,Broj,M,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",289
2011,Broj,M,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",257
2012,Broj,M,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",211
2013,Broj,M,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",341
2014,Broj,M,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",411
2015,Broj,M,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",362
2016,Broj,M,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",313
2017,Broj,M,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",373
2018,Broj,M,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",386
2019,Broj,M,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",261
2020,Broj,M,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",340
2021,Broj,M,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",387
2022,Broj,M,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",435
2023,Broj,M,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",407
2003,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,24
2004,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,46
2005,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,64
2006,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,67
2007,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,87
2008,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,82
2009,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,92
2010,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,73
2011,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,58
2012,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,46
2013,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,64
2014,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,63
2015,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,44
2016,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,72
2017,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,70
2018,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,55
2019,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,50
2020,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,43
2021,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,63
2022,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,94
2023,Broj,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,64
2003,Broj,M,(G00-G99) Bolesti nervnog sistema,39
2004,Broj,M,(G00-G99) Bolesti nervnog sistema,53
2005,Broj,M,(G00-G99) Bolesti nervnog sistema,86
2006,Broj,M,(G00-G99) Bolesti nervnog sistema,111
2007,Broj,M,(G00-G99) Bolesti nervnog sistema,85
2008,Broj,M,(G00-G99) Bolesti nervnog sistema,91
2009,Broj,M,(G00-G99) Bolesti nervnog sistema,78
2010,Broj,M,(G00-G99) Bolesti nervnog sistema,76
2011,Broj,M,(G00-G99) Bolesti nervnog sistema,112
2012,Broj,M,(G00-G99) Bolesti nervnog sistema,105
2013,Broj,M,(G00-G99) Bolesti nervnog sistema,98
2014,Broj,M,(G00-G99) Bolesti nervnog sistema,97
2015,Broj,M,(G00-G99) Bolesti nervnog sistema,106
2016,Broj,M,(G00-G99) Bolesti nervnog sistema,96
2017,Broj,M,(G00-G99) Bolesti nervnog sistema,102
2018,Broj,M,(G00-G99) Bolesti nervnog sistema,82
2019,Broj,M,(G00-G99) Bolesti nervnog sistema,84
2020,Broj,M,(G00-G99) Bolesti nervnog sistema,91
2021,Broj,M,(G00-G99) Bolesti nervnog sistema,100
2022,Broj,M,(G00-G99) Bolesti nervnog sistema,90
2023,Broj,M,(G00-G99) Bolesti nervnog sistema,78
2003,Broj,M,(H00-H59) Bolesti oka i pripojka oka,0
2004,Broj,M,(H00-H59) Bolesti oka i pripojka oka,0
2005,Broj,M,(H00-H59) Bolesti oka i pripojka oka,0
2006,Broj,M,(H00-H59) Bolesti oka i pripojka oka,0
2007,Broj,M,(H00-H59) Bolesti oka i pripojka oka,0
2008,Broj,M,(H00-H59) Bolesti oka i pripojka oka,0
2009,Broj,M,(H00-H59) Bolesti oka i pripojka oka,0
2010,Broj,M,(H00-H59) Bolesti oka i pripojka oka,0
2011,Broj,M,(H00-H59) Bolesti oka i pripojka oka,0
2012,Broj,M,(H00-H59) Bolesti oka i pripojka oka,0
2013,Broj,M,(H00-H59) Bolesti oka i pripojka oka,0
2014,Broj,M,(H00-H59) Bolesti oka i pripojka oka,0
2015,Broj,M,(H00-H59) Bolesti oka i pripojka oka,0
2016,Broj,M,(H00-H59) Bolesti oka i pripojka oka,0
2017,Broj,M,(H00-H59) Bolesti oka i pripojka oka,0
2018,Broj,M,(H00-H59) Bolesti oka i pripojka oka,0
2019,Broj,M,(H00-H59) Bolesti oka i pripojka oka,0
2020,Broj,M,(H00-H59) Bolesti oka i pripojka oka,0
2021,Broj,M,(H00-H59) Bolesti oka i pripojka oka,0
2022,Broj,M,(H00-H59) Bolesti oka i pripojka oka,0
2023,Broj,M,(H00-H59) Bolesti oka i pripojka oka,0
2003,Broj,M,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2004,Broj,M,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2005,Broj,M,(H60-H93) Bolesti uva i mastoidnog nastavka,1
2006,Broj,M,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2007,Broj,M,(H60-H93) Bolesti uva i mastoidnog nastavka,1
2008,Broj,M,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2009,Broj,M,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2010,Broj,M,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2011,Broj,M,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2012,Broj,M,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2013,Broj,M,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2014,Broj,M,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2015,Broj,M,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2016,Broj,M,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2017,Broj,M,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2018,Broj,M,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2019,Broj,M,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2020,Broj,M,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2021,Broj,M,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2022,Broj,M,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2023,Broj,M,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2003,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3323
2004,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3383
2005,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3325
2006,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3005
2007,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3233
2008,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3209
2009,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3271
2010,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3285
2011,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3330
2012,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3516
2013,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3062
2014,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3142
2015,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3311
2016,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3177
2017,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3220
2018,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3084
2019,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3440
2020,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3452
2021,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3261
2022,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,3175
2023,Broj,M,(I00-I99) Bolesti cirkulatornog sistema,2785
2003,Broj,M,(J00-J99) Bolesti respiratornog sistema,184
2004,Broj,M,(J00-J99) Bolesti respiratornog sistema,211
2005,Broj,M,(J00-J99) Bolesti respiratornog sistema,284
2006,Broj,M,(J00-J99) Bolesti respiratornog sistema,292
2007,Broj,M,(J00-J99) Bolesti respiratornog sistema,282
2008,Broj,M,(J00-J99) Bolesti respiratornog sistema,276
2009,Broj,M,(J00-J99) Bolesti respiratornog sistema,254
2010,Broj,M,(J00-J99) Bolesti respiratornog sistema,277
2011,Broj,M,(J00-J99) Bolesti respiratornog sistema,303
2012,Broj,M,(J00-J99) Bolesti respiratornog sistema,263
2013,Broj,M,(J00-J99) Bolesti respiratornog sistema,334
2014,Broj,M,(J00-J99) Bolesti respiratornog sistema,315
2015,Broj,M,(J00-J99) Bolesti respiratornog sistema,370
2016,Broj,M,(J00-J99) Bolesti respiratornog sistema,306
2017,Broj,M,(J00-J99) Bolesti respiratornog sistema,333
2018,Broj,M,(J00-J99) Bolesti respiratornog sistema,344
2019,Broj,M,(J00-J99) Bolesti respiratornog sistema,338
2020,Broj,M,(J00-J99) Bolesti respiratornog sistema,377
2021,Broj,M,(J00-J99) Bolesti respiratornog sistema,369
2022,Broj,M,(J00-J99) Bolesti respiratornog sistema,311
2023,Broj,M,(J00-J99) Bolesti respiratornog sistema,337
2003,Broj,M,(K00-K93) Bolesti digestivnog sistema,216
2004,Broj,M,(K00-K93) Bolesti digestivnog sistema,206
2005,Broj,M,(K00-K93) Bolesti digestivnog sistema,219
2006,Broj,M,(K00-K93) Bolesti digestivnog sistema,233
2007,Broj,M,(K00-K93) Bolesti digestivnog sistema,249
2008,Broj,M,(K00-K93) Bolesti digestivnog sistema,235
2009,Broj,M,(K00-K93) Bolesti digestivnog sistema,223
2010,Broj,M,(K00-K93) Bolesti digestivnog sistema,242
2011,Broj,M,(K00-K93) Bolesti digestivnog sistema,255
2012,Broj,M,(K00-K93) Bolesti digestivnog sistema,248
2013,Broj,M,(K00-K93) Bolesti digestivnog sistema,219
2014,Broj,M,(K00-K93) Bolesti digestivnog sistema,241
2015,Broj,M,(K00-K93) Bolesti digestivnog sistema,249
2016,Broj,M,(K00-K93) Bolesti digestivnog sistema,265
2017,Broj,M,(K00-K93) Bolesti digestivnog sistema,229
2018,Broj,M,(K00-K93) Bolesti digestivnog sistema,290
2019,Broj,M,(K00-K93) Bolesti digestivnog sistema,239
2020,Broj,M,(K00-K93) Bolesti digestivnog sistema,269
2021,Broj,M,(K00-K93) Bolesti digestivnog sistema,244
2022,Broj,M,(K00-K93) Bolesti digestivnog sistema,286
