Year,UNIT_MEASURE,Sex,Cause of death (as per ICD-10 codes),Value
2019,Number,F,Diseases of the respiratory system,258
2020,Number,F,Diseases of the respiratory system,254
2003,Number,F,Diseases of the digestive system,136
2004,Number,F,Diseases of the digestive system,141
2005,Number,F,Diseases of the digestive system,124
2006,Number,F,Diseases of the digestive system,146
2007,Number,F,Diseases of the digestive system,147
2008,Number,F,Diseases of the digestive system,131
2009,Number,F,Diseases of the digestive system,148
2010,Number,F,Diseases of the digestive system,156
2011,Number,F,Diseases of the digestive system,136
2012,Number,F,Diseases of the digestive system,145
2013,Number,F,Diseases of the digestive system,183
2014,Number,F,Diseases of the digestive system,188
2015,Number,F,Diseases of the digestive system,191
2016,Number,F,Diseases of the digestive system,185
2017,Number,F,Diseases of the digestive system,184
2018,Number,F,Diseases of the digestive system,191
2019,Number,F,Diseases of the digestive system,180
2020,Number,F,Diseases of the digestive system,169
2003,Number,F,Skin and subcutaneous tissue disorders,0
2004,Number,F,Skin and subcutaneous tissue disorders,3
2005,Number,F,Skin and subcutaneous tissue disorders,0
2006,Number,F,Skin and subcutaneous tissue disorders,1
2007,Number,F,Skin and subcutaneous tissue disorders,2
2008,Number,F,Skin and subcutaneous tissue disorders,2
2009,Number,F,Skin and subcutaneous tissue disorders,2
2010,Number,F,Skin and subcutaneous tissue disorders,2
2011,Number,F,Skin and subcutaneous tissue disorders,1
2012,Number,F,Skin and subcutaneous tissue disorders,1
2013,Number,F,Skin and subcutaneous tissue disorders,11
2014,Number,F,Skin and subcutaneous tissue disorders,9
2015,Number,F,Skin and subcutaneous tissue disorders,15
2016,Number,F,Skin and subcutaneous tissue disorders,14
2017,Number,F,Skin and subcutaneous tissue disorders,19
2018,Number,F,Skin and subcutaneous tissue disorders,10
2019,Number,F,Skin and subcutaneous tissue disorders,16
2020,Number,F,Skin and subcutaneous tissue disorders,17
2003,Number,F,Diseases of the musculoskeletal system and connective tissue,3
2004,Number,F,Diseases of the musculoskeletal system and connective tissue,2
2005,Number,F,Diseases of the musculoskeletal system and connective tissue,7
2006,Number,F,Diseases of the musculoskeletal system and connective tissue,9
2007,Number,F,Diseases of the musculoskeletal system and connective tissue,9
2008,Number,F,Diseases of the musculoskeletal system and connective tissue,14
2009,Number,F,Diseases of the musculoskeletal system and connective tissue,11
2010,Number,F,Diseases of the musculoskeletal system and connective tissue,8
2011,Number,F,Diseases of the musculoskeletal system and connective tissue,14
2012,Number,F,Diseases of the musculoskeletal system and connective tissue,12
2013,Number,F,Diseases of the musculoskeletal system and connective tissue,19
2014,Number,F,Diseases of the musculoskeletal system and connective tissue,14
2015,Number,F,Diseases of the musculoskeletal system and connective tissue,18
2016,Number,F,Diseases of the musculoskeletal system and connective tissue,13
2017,Number,F,Diseases of the musculoskeletal system and connective tissue,9
2018,Number,F,Diseases of the musculoskeletal system and connective tissue,17
2019,Number,F,Diseases of the musculoskeletal system and connective tissue,9
2020,Number,F,Diseases of the musculoskeletal system and connective tissue,21
2003,Number,F,Diseases_of_the_genitourinary_system,99
2004,Number,F,Diseases_of_the_genitourinary_system,92
2005,Number,F,Diseases_of_the_genitourinary_system,97
2006,Number,F,Diseases_of_the_genitourinary_system,114
2007,Number,F,Diseases_of_the_genitourinary_system,112
2008,Number,F,Diseases_of_the_genitourinary_system,113
2009,Number,F,Diseases_of_the_genitourinary_system,118
2010,Number,F,Diseases_of_the_genitourinary_system,115
2011,Number,F,Diseases_of_the_genitourinary_system,74
2012,Number,F,Diseases_of_the_genitourinary_system,120
2013,Number,F,Diseases_of_the_genitourinary_system,92
2014,Number,F,Diseases_of_the_genitourinary_system,77
2015,Number,F,Diseases_of_the_genitourinary_system,86
2016,Number,F,Diseases_of_the_genitourinary_system,101
2017,Number,F,Diseases_of_the_genitourinary_system,97
2018,Number,F,Diseases_of_the_genitourinary_system,103
2019,Number,F,Diseases_of_the_genitourinary_system,91
2020,Number,F,Diseases_of_the_genitourinary_system,108
2003,Number,F,Pregnancy childbirth and puerperium,1
2004,Number,F,Pregnancy childbirth and puerperium,0
2005,Number,F,Pregnancy childbirth and puerperium,2
2006,Number,F,Pregnancy childbirth and puerperium,2
2007,Number,F,Pregnancy childbirth and puerperium,1
2008,Number,F,Pregnancy childbirth and puerperium,1
2009,Number,F,Pregnancy childbirth and puerperium,0
2010,Number,F,Pregnancy childbirth and puerperium,1
2011,Number,F,Pregnancy childbirth and puerperium,1
2012,Number,F,Pregnancy childbirth and puerperium,0
2013,Number,F,Pregnancy childbirth and puerperium,0
2014,Number,F,Pregnancy childbirth and puerperium,0
2015,Number,F,Pregnancy childbirth and puerperium,1
2016,Number,F,Pregnancy childbirth and puerperium,1
2017,Number,F,Pregnancy childbirth and puerperium,0
2018,Number,F,Pregnancy childbirth and puerperium,1
2019,Number,F,Pregnancy childbirth and puerperium,0
2020,Number,F,Pregnancy childbirth and puerperium,3
2003,Number,F,Certain conditions occurred in the perinatal period,21
2004,Number,F,Certain conditions occurred in the perinatal period,10
2005,Number,F,Certain conditions occurred in the perinatal period,10
2006,Number,F,Certain conditions occurred in the perinatal period,12
2007,Number,F,Certain conditions occurred in the perinatal period,12
2008,Number,F,Certain conditions occurred in the perinatal period,8
2009,Number,F,Certain conditions occurred in the perinatal period,12
2010,Number,F,Certain conditions occurred in the perinatal period,16
2011,Number,F,Certain conditions occurred in the perinatal period,16
2012,Number,F,Certain conditions occurred in the perinatal period,11
2013,Number,F,Certain conditions occurred in the perinatal period,8
2014,Number,F,Certain conditions occurred in the perinatal period,9
2015,Number,F,Certain conditions occurred in the perinatal period,8
2016,Number,F,Certain conditions occurred in the perinatal period,5
2017,Number,F,Certain conditions occurred in the perinatal period,10
2018,Number,F,Certain conditions occurred in the perinatal period,7
2019,Number,F,Certain conditions occurred in the perinatal period,5
2020,Number,F,Certain conditions occurred in the perinatal period,18
2003,Number,F,"Congenital anomalies, deformities and chromosomal abnormalities",3
2004,Number,F,"Congenital anomalies, deformities and chromosomal abnormalities",1
2005,Number,F,"Congenital anomalies, deformities and chromosomal abnormalities",8
2006,Number,F,"Congenital anomalies, deformities and chromosomal abnormalities",7
2007,Number,F,"Congenital anomalies, deformities and chromosomal abnormalities",6
2008,Number,F,"Congenital anomalies, deformities and chromosomal abnormalities",10
2009,Number,F,"Congenital anomalies, deformities and chromosomal abnormalities",13
2010,Number,F,"Congenital anomalies, deformities and chromosomal abnormalities",7
2011,Number,F,"Congenital anomalies, deformities and chromosomal abnormalities",2
2012,Number,F,"Congenital anomalies, deformities and chromosomal abnormalities",1
2013,Number,F,"Congenital anomalies, deformities and chromosomal abnormalities",3
2014,Number,F,"Congenital anomalies, deformities and chromosomal abnormalities",7
2015,Number,F,"Congenital anomalies, deformities and chromosomal abnormalities",4
2016,Number,F,"Congenital anomalies, deformities and chromosomal abnormalities",2
2017,Number,F,"Congenital anomalies, deformities and chromosomal abnormalities",1
2018,Number,F,"Congenital anomalies, deformities and chromosomal abnormalities",3
2019,Number,F,"Congenital anomalies, deformities and chromosomal abnormalities",4
2020,Number,F,"Congenital anomalies, deformities and chromosomal abnormalities",3
2003,Number,F,Symptoms signs and abnormal clinical and laboratory findings,791
2004,Number,F,Symptoms signs and abnormal clinical and laboratory findings,736
2005,Number,F,Symptoms signs and abnormal clinical and laboratory findings,590
2006,Number,F,Symptoms signs and abnormal clinical and laboratory findings,573
2007,Number,F,Symptoms signs and abnormal clinical and laboratory findings,650
2008,Number,F,Symptoms signs and abnormal clinical and laboratory findings,449
2009,Number,F,Symptoms signs and abnormal clinical and laboratory findings,468
2010,Number,F,Symptoms signs and abnormal clinical and laboratory findings,431
2011,Number,F,Symptoms signs and abnormal clinical and laboratory findings,379
2012,Number,F,Symptoms signs and abnormal clinical and laboratory findings,335
2013,Number,F,Symptoms signs and abnormal clinical and laboratory findings,588
2014,Number,F,Symptoms signs and abnormal clinical and laboratory findings,727
2015,Number,F,Symptoms signs and abnormal clinical and laboratory findings,776
2016,Number,F,Symptoms signs and abnormal clinical and laboratory findings,600
2017,Number,F,Symptoms signs and abnormal clinical and laboratory findings,715
2018,Number,F,Symptoms signs and abnormal clinical and laboratory findings,806
2019,Number,F,Symptoms signs and abnormal clinical and laboratory findings,913
2020,Number,F,Symptoms signs and abnormal clinical and laboratory findings,765
2003,Number,F,Injuries poisonings and consequences of external factors,136
2004,Number,F,Injuries poisonings and consequences of external factors,141
2005,Number,F,Injuries poisonings and consequences of external factors,155
2006,Number,F,Injuries poisonings and consequences of external factors,149
2007,Number,F,Injuries poisonings and consequences of external factors,146
2008,Number,F,Injuries poisonings and consequences of external factors,133
2009,Number,F,Injuries poisonings and consequences of external factors,157
2010,Number,F,Injuries poisonings and consequences of external factors,106
2011,Number,F,Injuries poisonings and consequences of external factors,118
2012,Number,F,Injuries poisonings and consequences of external factors,118
2013,Number,F,Injuries poisonings and consequences of external factors,127
2014,Number,F,Injuries poisonings and consequences of external factors,120
2015,Number,F,Injuries poisonings and consequences of external factors,142
2016,Number,F,Injuries poisonings and consequences of external factors,118
2017,Number,F,Injuries poisonings and consequences of external factors,125
2018,Number,F,Injuries poisonings and consequences of external factors,112
2019,Number,F,Injuries poisonings and consequences of external factors,90
2020,Number,F,Injuries poisonings and consequences of external factors,101
2003,Number,F,special_purpose_codes,0
2004,Number,F,special_purpose_codes,0
2005,Number,F,special_purpose_codes,0
2006,Number,F,special_purpose_codes,0
2007,Number,F,special_purpose_codes,0
2008,Number,F,special_purpose_codes,0
2009,Number,F,special_purpose_codes,0
2010,Number,F,special_purpose_codes,0
2011,Number,F,special_purpose_codes,0
2012,Number,F,special_purpose_codes,0
2013,Number,F,special_purpose_codes,0
2014,Number,F,special_purpose_codes,0
2015,Number,F,special_purpose_codes,0
2016,Number,F,special_purpose_codes,0
2017,Number,F,special_purpose_codes,0
2018,Number,F,special_purpose_codes,0
2019,Number,F,special_purpose_codes,0
2020,Number,F,special_purpose_codes,562
