Year,UNIT_MEASURE,scientific_field,TYPE_OF_EDUCATION,Spol,Value
2019,Broj,,enrolled_in_master's_studies,M,1
2019,Broj,TOTAL,enrolled_in_master_studies,Oba spola,298
2019,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_specialist_studies,Ž,104
2019,Broj,"engineering,_production_and_construction",enrolled_in_specialist_studies,M,194
2019,Broj,information_and_communication_technologies,enrolled_in_specialist_studies,Oba spola,0
2019,Broj,health_and_social_protection,enrolled_in_specialist_studies,Ž,0
2019,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,M,0
2019,Broj,"social_sciences,_journalism_and_information",doctoral_students,Oba spola,8
2019,Broj,"business,_administration_and_law",doctoral_students,Ž,5
2019,Broj,education,doctoral_students,M,3
2019,Broj,services,enrolled_in_master's_studies,Oba spola,1
2019,Broj,,enrolled_in_master's_studies,Ž,1
2019,Broj,TOTAL,enrolled_in_master's_studies,M,0
2019,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_master_studies,Oba spola,291
2019,Broj,"engineering,_production_and_construction",enrolled_in_specialist_studies,Ž,142
2019,Broj,information_and_communication_technologies,enrolled_in_specialist_studies,M,149
2019,Broj,health_and_social_protection,enrolled_in_specialist_studies,Oba spola,0
2019,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,Ž,0
2019,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,M,0
2019,Broj,"business,_administration_and_law",doctoral_students,Oba spola,10
2019,Broj,education,doctoral_students,Ž,5
2019,Broj,services,doctoral_students,M,5
2019,Broj,education,enrolled_in_master's_studies,Oba spola,0
2019,Broj,services,enrolled_in_master's_studies,Ž,0
2019,Broj,TOTAL,enrolled_in_master's_studies,M,0
2019,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_master_studies,Oba spola,6
2019,Broj,"engineering,_production_and_construction",enrolled_in_specialist_studies,Ž,3
2019,Broj,information_and_communication_technologies,enrolled_in_specialist_studies,M,3
2019,Broj,health_and_social_protection,enrolled_in_specialist_studies,Oba spola,0
2019,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,Ž,0
2019,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,M,0
2019,Broj,"business,_administration_and_law",doctoral_students,Oba spola,0
2019,Broj,education,doctoral_students,Ž,0
2019,Broj,services,doctoral_students,M,0
2020,Broj,TOTAL,enrolled_in_master's_studies,Oba spola,4
2020,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_master's_studies,Ž,3
2020,Broj,"engineering,_production_and_construction",enrolled_in_master's_studies,M,1
2020,Broj,information_and_communication_technologies,enrolled_in_master_studies,Oba spola,2 430
2020,Broj,health_and_social_protection,enrolled_in_specialist_studies,Ž,1 036
2020,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,M,1 394
2020,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,Oba spola,170
2020,Broj,"business,_administration_and_law",enrolled_in_specialist_studies,Ž,39
2020,Broj,education,enrolled_in_specialist_studies,M,131
2020,Broj,services,doctoral_students,Oba spola,184
2020,Broj,TOTAL,doctoral_students,Ž,79
2020,Broj,"natural_sciences,_mathematics_and_statistics",doctoral_students,M,105
2020,Broj,"engineering,_production_and_construction",enrolled_in_master's_studies,Oba spola,0
2020,Broj,information_and_communication_technologies,enrolled_in_master's_studies,Ž,0
2020,Broj,health_and_social_protection,enrolled_in_master's_studies,M,0
2020,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master_studies,Oba spola,93
2020,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,Ž,26
2020,Broj,"business,_administration_and_law",enrolled_in_specialist_studies,M,67
2020,Broj,education,enrolled_in_specialist_studies,Oba spola,0
2020,Broj,services,enrolled_in_specialist_studies,Ž,0
2020,Broj,TOTAL,enrolled_in_specialist_studies,M,0
2020,Broj,"natural_sciences,_mathematics_and_statistics",doctoral_students,Oba spola,12
2020,Broj,"engineering,_production_and_construction",doctoral_students,Ž,8
2020,Broj,information_and_communication_technologies,doctoral_students,M,4
2020,Broj,health_and_social_protection,enrolled_in_master's_studies,Oba spola,0
2020,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master's_studies,Ž,0
2020,Broj,"social_sciences,_journalism_and_information",enrolled_in_master's_studies,M,0
2020,Broj,"business,_administration_and_law",enrolled_in_master_studies,Oba spola,399
2020,Broj,education,enrolled_in_specialist_studies,Ž,252
2020,Broj,services,enrolled_in_specialist_studies,M,147
2020,Broj,TOTAL,enrolled_in_specialist_studies,Oba spola,0
2020,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_specialist_studies,Ž,0
2020,Broj,"engineering,_production_and_construction",enrolled_in_specialist_studies,M,0
2020,Broj,information_and_communication_technologies,doctoral_students,Oba spola,2
2020,Broj,health_and_social_protection,doctoral_students,Ž,1
2020,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",doctoral_students,M,1
2020,Broj,"social_sciences,_journalism_and_information",enrolled_in_master's_studies,Oba spola,0
2020,Broj,"business,_administration_and_law",enrolled_in_master's_studies,Ž,0
2020,Broj,education,enrolled_in_master's_studies,M,0
2020,Broj,services,enrolled_in_master_studies,Oba spola,117
2020,Broj,TOTAL,enrolled_in_specialist_studies,Ž,82
2020,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_specialist_studies,M,35
2020,Broj,"engineering,_production_and_construction",enrolled_in_specialist_studies,Oba spola,0
2020,Broj,information_and_communication_technologies,enrolled_in_specialist_studies,Ž,0
2020,Broj,health_and_social_protection,enrolled_in_specialist_studies,M,0
2020,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",doctoral_students,Oba spola,5
2020,Broj,"social_sciences,_journalism_and_information",doctoral_students,Ž,3
2020,Broj,"business,_administration_and_law",doctoral_students,M,2
2020,Broj,education,enrolled_in_master's_studies,Oba spola,0
2020,Broj,services,enrolled_in_master's_studies,Ž,0
2020,Broj,TOTAL,enrolled_in_master's_studies,M,0
2020,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_master_studies,Oba spola,52
2020,Broj,"engineering,_production_and_construction",enrolled_in_specialist_studies,Ž,10
2020,Broj,information_and_communication_technologies,enrolled_in_specialist_studies,M,42
2020,Broj,health_and_social_protection,enrolled_in_specialist_studies,Oba spola,170
2020,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,Ž,39
2020,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,M,131
2020,Broj,"business,_administration_and_law",doctoral_students,Oba spola,96
2020,Broj,education,doctoral_students,Ž,35
2020,Broj,services,doctoral_students,M,61
2020,Broj,TOTAL,enrolled_in_master's_studies,Oba spola,0
2020,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_master's_studies,Ž,0
2020,Broj,"engineering,_production_and_construction",enrolled_in_master's_studies,M,0
2020,Broj,information_and_communication_technologies,enrolled_in_master_studies,Oba spola,216
2020,Broj,health_and_social_protection,enrolled_in_specialist_studies,Ž,119
2020,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,M,97
2020,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,Oba spola,0
2020,Broj,"business,_administration_and_law",enrolled_in_specialist_studies,Ž,0
2020,Broj,education,enrolled_in_specialist_studies,M,0
2020,Broj,services,doctoral_students,Oba spola,14
2020,Broj,TOTAL,doctoral_students,Ž,9
2020,Broj,"natural_sciences,_mathematics_and_statistics",doctoral_students,M,5
2020,Broj,"engineering,_production_and_construction",enrolled_in_master's_studies,Oba spola,0
2020,Broj,information_and_communication_technologies,enrolled_in_master's_studies,Ž,0
2020,Broj,health_and_social_protection,enrolled_in_master's_studies,M,0
2020,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master_studies,Oba spola,619
2020,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,Ž,194
2020,Broj,"business,_administration_and_law",enrolled_in_specialist_studies,M,425
2020,Broj,education,enrolled_in_specialist_studies,Oba spola,0
2020,Broj,services,enrolled_in_specialist_studies,Ž,0
2020,Broj,TOTAL,enrolled_in_specialist_studies,M,0
2020,Broj,"natural_sciences,_mathematics_and_statistics",doctoral_students,Oba spola,22
2020,Broj,"engineering,_production_and_construction",doctoral_students,Ž,12
2020,Broj,information_and_communication_technologies,doctoral_students,M,10
2020,Broj,health_and_social_protection,enrolled_in_master's_studies,Oba spola,2
2020,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master's_studies,Ž,1
2020,Broj,"social_sciences,_journalism_and_information",enrolled_in_master's_studies,M,1
2020,Broj,"business,_administration_and_law",enrolled_in_master_studies,Oba spola,216
2020,Broj,education,enrolled_in_specialist_studies,Ž,79
2020,Broj,services,enrolled_in_specialist_studies,M,137
2020,Broj,TOTAL,enrolled_in_specialist_studies,Oba spola,0
2020,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_specialist_studies,Ž,0
2020,Broj,"engineering,_production_and_construction",enrolled_in_specialist_studies,M,0
2020,Broj,information_and_communication_technologies,doctoral_students,Oba spola,1
2020,Broj,health_and_social_protection,doctoral_students,Ž,0
2020,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",doctoral_students,M,1
2020,Broj,"social_sciences,_journalism_and_information",enrolled_in_master's_studies,Oba spola,2
2020,Broj,"business,_administration_and_law",enrolled_in_master's_studies,Ž,2
2020,Broj,education,enrolled_in_master's_studies,M,0
2020,Broj,services,enrolled_in_master_studies,Oba spola,381
2020,Broj,TOTAL,enrolled_in_specialist_studies,Ž,129
2020,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_specialist_studies,M,252
2020,Broj,"engineering,_production_and_construction",enrolled_in_specialist_studies,Oba spola,0
2020,Broj,information_and_communication_technologies,enrolled_in_specialist_studies,Ž,0
2020,Broj,health_and_social_protection,enrolled_in_specialist_studies,M,0
2020,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",doctoral_students,Oba spola,8
2020,Broj,"social_sciences,_journalism_and_information",doctoral_students,Ž,8
2020,Broj,"business,_administration_and_law",doctoral_students,M,0
2020,Broj,education,enrolled_in_master's_studies,Oba spola,0
2020,Broj,services,enrolled_in_master's_studies,Ž,0
2020,Broj,TOTAL,enrolled_in_master's_studies,M,0
2020,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_master_studies,Oba spola,328
2020,Broj,"engineering,_production_and_construction",enrolled_in_specialist_studies,Ž,142
2020,Broj,information_and_communication_technologies,enrolled_in_specialist_studies,M,186
2020,Broj,health_and_social_protection,enrolled_in_specialist_studies,Oba spola,0
2020,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,Ž,0
2020,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,M,0
2020,Broj,"business,_administration_and_law",doctoral_students,Oba spola,24
2020,Broj,education,doctoral_students,Ž,3
2020,Broj,services,doctoral_students,M,21
2020,Broj,TOTAL,enrolled_in_master's_studies,Oba spola,0
2020,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_master's_studies,Ž,0
2020,Broj,"engineering,_production_and_construction",enrolled_in_master's_studies,M,0
2020,Broj,information_and_communication_technologies,enrolled_in_master_studies,Oba spola,9
2020,Broj,health_and_social_protection,enrolled_in_specialist_studies,Ž,3
2020,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,M,6
2020,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,Oba spola,0
2020,Broj,"business,_administration_and_law",enrolled_in_specialist_studies,Ž,0
2020,Broj,education,enrolled_in_specialist_studies,M,0
