Year,UNIT_MEASURE,SEX,CAUSE_OF_DEATH,Value
2003,NUMBER,M,endocrine_metabolic_and_nutritional,71
2004,NUMBER,M,endocrine_metabolic_and_nutritional,68
2005,NUMBER,M,endocrine_metabolic_and_nutritional,286
2006,NUMBER,M,endocrine_metabolic_and_nutritional,306
2007,NUMBER,M,endocrine_metabolic_and_nutritional,349
2008,NUMBER,M,endocrine_metabolic_and_nutritional,310
2009,NUMBER,M,endocrine_metabolic_and_nutritional,361
2010,NUMBER,M,endocrine_metabolic_and_nutritional,289
2011,NUMBER,M,endocrine_metabolic_and_nutritional,257
2012,NUMBER,M,endocrine_metabolic_and_nutritional,211
2013,NUMBER,M,endocrine_metabolic_and_nutritional,341
2014,NUMBER,M,endocrine_metabolic_and_nutritional,411
2015,NUMBER,M,endocrine_metabolic_and_nutritional,362
2016,NUMBER,M,endocrine_metabolic_and_nutritional,313
2017,NUMBER,M,endocrine_metabolic_and_nutritional,373
2018,NUMBER,M,endocrine_metabolic_and_nutritional,386
2019,NUMBER,M,endocrine_metabolic_and_nutritional,261
2020,NUMBER,M,endocrine_metabolic_and_nutritional,340
2021,NUMBER,M,endocrine_metabolic_and_nutritional,387
2022,NUMBER,M,endocrine_metabolic_and_nutritional,435
2023,NUMBER,M,endocrine_metabolic_and_nutritional,407
2024,NUMBER,M,endocrine_metabolic_and_nutritional,428
2003,NUMBER,M,mental_and_behavioural_disorders,24
2004,NUMBER,M,mental_and_behavioural_disorders,46
2005,NUMBER,M,mental_and_behavioural_disorders,64
2006,NUMBER,M,mental_and_behavioural_disorders,67
2007,NUMBER,M,mental_and_behavioural_disorders,87
2008,NUMBER,M,mental_and_behavioural_disorders,82
2009,NUMBER,M,mental_and_behavioural_disorders,92
2010,NUMBER,M,mental_and_behavioural_disorders,73
2011,NUMBER,M,mental_and_behavioural_disorders,58
2012,NUMBER,M,mental_and_behavioural_disorders,46
2013,NUMBER,M,mental_and_behavioural_disorders,64
2014,NUMBER,M,mental_and_behavioural_disorders,63
2015,NUMBER,M,mental_and_behavioural_disorders,44
2016,NUMBER,M,mental_and_behavioural_disorders,72
2017,NUMBER,M,mental_and_behavioural_disorders,70
2018,NUMBER,M,mental_and_behavioural_disorders,55
2019,NUMBER,M,mental_and_behavioural_disorders,50
2020,NUMBER,M,mental_and_behavioural_disorders,43
2021,NUMBER,M,mental_and_behavioural_disorders,63
2022,NUMBER,M,mental_and_behavioural_disorders,94
2023,NUMBER,M,mental_and_behavioural_disorders,64
2024,NUMBER,M,mental_and_behavioural_disorders,63
2003,NUMBER,M,diseases_of_the_nervous,39
2004,NUMBER,M,diseases_of_the_nervous,53
2005,NUMBER,M,diseases_of_the_nervous,86
2006,NUMBER,M,diseases_of_the_nervous,111
2007,NUMBER,M,diseases_of_the_nervous,85
2008,NUMBER,M,diseases_of_the_nervous,91
2009,NUMBER,M,diseases_of_the_nervous,78
2010,NUMBER,M,diseases_of_the_nervous,76
2011,NUMBER,M,diseases_of_the_nervous,112
2012,NUMBER,M,diseases_of_the_nervous,105
2013,NUMBER,M,diseases_of_the_nervous,98
2014,NUMBER,M,diseases_of_the_nervous,97
2015,NUMBER,M,diseases_of_the_nervous,106
2016,NUMBER,M,diseases_of_the_nervous,96
2017,NUMBER,M,diseases_of_the_nervous,102
2018,NUMBER,M,diseases_of_the_nervous,82
2019,NUMBER,M,diseases_of_the_nervous,84
2020,NUMBER,M,diseases_of_the_nervous,91
2021,NUMBER,M,diseases_of_the_nervous,100
2022,NUMBER,M,diseases_of_the_nervous,90
2023,NUMBER,M,diseases_of_the_nervous,78
2024,NUMBER,M,diseases_of_the_nervous,100
2003,NUMBER,M,diseases_of_the_eye,0
2004,NUMBER,M,diseases_of_the_eye,0
2005,NUMBER,M,diseases_of_the_eye,0
2006,NUMBER,M,diseases_of_the_eye,0
2007,NUMBER,M,diseases_of_the_eye,0
2008,NUMBER,M,diseases_of_the_eye,0
2009,NUMBER,M,diseases_of_the_eye,0
2010,NUMBER,M,diseases_of_the_eye,0
2011,NUMBER,M,diseases_of_the_eye,0
2012,NUMBER,M,diseases_of_the_eye,0
2013,NUMBER,M,diseases_of_the_eye,0
2014,NUMBER,M,diseases_of_the_eye,0
2015,NUMBER,M,diseases_of_the_eye,0
2016,NUMBER,M,diseases_of_the_eye,0
2017,NUMBER,M,diseases_of_the_eye,0
2018,NUMBER,M,diseases_of_the_eye,0
2019,NUMBER,M,diseases_of_the_eye,0
2020,NUMBER,M,diseases_of_the_eye,0
2021,NUMBER,M,diseases_of_the_eye,0
2022,NUMBER,M,diseases_of_the_eye,0
2023,NUMBER,M,diseases_of_the_eye,0
2024,NUMBER,M,diseases_of_the_eye,0
2003,NUMBER,M,diseases_of_the_ear,0
2004,NUMBER,M,diseases_of_the_ear,0
2005,NUMBER,M,diseases_of_the_ear,1
2006,NUMBER,M,diseases_of_the_ear,0
2007,NUMBER,M,diseases_of_the_ear,1
2008,NUMBER,M,diseases_of_the_ear,0
2009,NUMBER,M,diseases_of_the_ear,0
2010,NUMBER,M,diseases_of_the_ear,0
2011,NUMBER,M,diseases_of_the_ear,0
2012,NUMBER,M,diseases_of_the_ear,0
2013,NUMBER,M,diseases_of_the_ear,0
2014,NUMBER,M,diseases_of_the_ear,0
2015,NUMBER,M,diseases_of_the_ear,0
2016,NUMBER,M,diseases_of_the_ear,0
2017,NUMBER,M,diseases_of_the_ear,0
2018,NUMBER,M,diseases_of_the_ear,0
2019,NUMBER,M,diseases_of_the_ear,0
2020,NUMBER,M,diseases_of_the_ear,0
2021,NUMBER,M,diseases_of_the_ear,0
2022,NUMBER,M,diseases_of_the_ear,0
2023,NUMBER,M,diseases_of_the_ear,0
2024,NUMBER,M,diseases_of_the_ear,0
2003,NUMBER,M,diseases_of_the_circulatory,3323
2004,NUMBER,M,diseases_of_the_circulatory,3383
2005,NUMBER,M,diseases_of_the_circulatory,3325
2006,NUMBER,M,diseases_of_the_circulatory,3005
2007,NUMBER,M,diseases_of_the_circulatory,3233
2008,NUMBER,M,diseases_of_the_circulatory,3209
2009,NUMBER,M,diseases_of_the_circulatory,3271
2010,NUMBER,M,diseases_of_the_circulatory,3285
2011,NUMBER,M,diseases_of_the_circulatory,3330
2012,NUMBER,M,diseases_of_the_circulatory,3516
2013,NUMBER,M,diseases_of_the_circulatory,3062
2014,NUMBER,M,diseases_of_the_circulatory,3142
2015,NUMBER,M,diseases_of_the_circulatory,3311
2016,NUMBER,M,diseases_of_the_circulatory,3177
2017,NUMBER,M,diseases_of_the_circulatory,3220
2018,NUMBER,M,diseases_of_the_circulatory,3084
2019,NUMBER,M,diseases_of_the_circulatory,3440
2020,NUMBER,M,diseases_of_the_circulatory,3452
2021,NUMBER,M,diseases_of_the_circulatory,3261
2022,NUMBER,M,diseases_of_the_circulatory,3175
2023,NUMBER,M,diseases_of_the_circulatory,2785
2024,NUMBER,M,diseases_of_the_circulatory,2885
2003,NUMBER,M,diseases_of_the_respiratory,184
2004,NUMBER,M,diseases_of_the_respiratory,211
2005,NUMBER,M,diseases_of_the_respiratory,284
2006,NUMBER,M,diseases_of_the_respiratory,292
2007,NUMBER,M,diseases_of_the_respiratory,282
2008,NUMBER,M,diseases_of_the_respiratory,276
2009,NUMBER,M,diseases_of_the_respiratory,254
2010,NUMBER,M,diseases_of_the_respiratory,277
2011,NUMBER,M,diseases_of_the_respiratory,303
2012,NUMBER,M,diseases_of_the_respiratory,263
2013,NUMBER,M,diseases_of_the_respiratory,334
2014,NUMBER,M,diseases_of_the_respiratory,315
2015,NUMBER,M,diseases_of_the_respiratory,370
2016,NUMBER,M,diseases_of_the_respiratory,306
2017,NUMBER,M,diseases_of_the_respiratory,333
2018,NUMBER,M,diseases_of_the_respiratory,344
2019,NUMBER,M,diseases_of_the_respiratory,338
2020,NUMBER,M,diseases_of_the_respiratory,377
2021,NUMBER,M,diseases_of_the_respiratory,369
2022,NUMBER,M,diseases_of_the_respiratory,311
2023,NUMBER,M,diseases_of_the_respiratory,337
2024,NUMBER,M,diseases_of_the_respiratory,400
2003,NUMBER,M,diseases_of_the_digestive,216
2004,NUMBER,M,diseases_of_the_digestive,206
2005,NUMBER,M,diseases_of_the_digestive,219
2006,NUMBER,M,diseases_of_the_digestive,233
2007,NUMBER,M,diseases_of_the_digestive,249
2008,NUMBER,M,diseases_of_the_digestive,235
2009,NUMBER,M,diseases_of_the_digestive,223
2010,NUMBER,M,diseases_of_the_digestive,242
2011,NUMBER,M,diseases_of_the_digestive,255
2012,NUMBER,M,diseases_of_the_digestive,248
2013,NUMBER,M,diseases_of_the_digestive,219
2014,NUMBER,M,diseases_of_the_digestive,241
2015,NUMBER,M,diseases_of_the_digestive,249
2016,NUMBER,M,diseases_of_the_digestive,265
2017,NUMBER,M,diseases_of_the_digestive,229
2018,NUMBER,M,diseases_of_the_digestive,290
2019,NUMBER,M,diseases_of_the_digestive,239
2020,NUMBER,M,diseases_of_the_digestive,269
2021,NUMBER,M,diseases_of_the_digestive,244
2022,NUMBER,M,diseases_of_the_digestive,286
2023,NUMBER,M,diseases_of_the_digestive,267
2024,NUMBER,M,diseases_of_the_digestive,248
2003,NUMBER,M,diseases_of_the_skin,0
2004,NUMBER,M,diseases_of_the_skin,0
2005,NUMBER,M,diseases_of_the_skin,0
2006,NUMBER,M,diseases_of_the_skin,0
2007,NUMBER,M,diseases_of_the_skin,0
2008,NUMBER,M,diseases_of_the_skin,0
2009,NUMBER,M,diseases_of_the_skin,1
2010,NUMBER,M,diseases_of_the_skin,4
2011,NUMBER,M,diseases_of_the_skin,0
2012,NUMBER,M,diseases_of_the_skin,3
2013,NUMBER,M,diseases_of_the_skin,9
2014,NUMBER,M,diseases_of_the_skin,13
2015,NUMBER,M,diseases_of_the_skin,7
2016,NUMBER,M,diseases_of_the_skin,7
2017,NUMBER,M,diseases_of_the_skin,5
2018,NUMBER,M,diseases_of_the_skin,12
2019,NUMBER,M,diseases_of_the_skin,7
2020,NUMBER,M,diseases_of_the_skin,13
2021,NUMBER,M,diseases_of_the_skin,12
2022,NUMBER,M,diseases_of_the_skin,13
2023,NUMBER,M,diseases_of_the_skin,18
2024,NUMBER,M,diseases_of_the_skin,20
2003,NUMBER,M,diseases_of_the_musculoskeletal,3
2004,NUMBER,M,diseases_of_the_musculoskeletal,1
2005,NUMBER,M,diseases_of_the_musculoskeletal,5
2006,NUMBER,M,diseases_of_the_musculoskeletal,1
2007,NUMBER,M,diseases_of_the_musculoskeletal,4
2008,NUMBER,M,diseases_of_the_musculoskeletal,3
2009,NUMBER,M,diseases_of_the_musculoskeletal,2
2010,NUMBER,M,diseases_of_the_musculoskeletal,3
2011,NUMBER,M,diseases_of_the_musculoskeletal,4
2012,NUMBER,M,diseases_of_the_musculoskeletal,4
2013,NUMBER,M,diseases_of_the_musculoskeletal,9
2014,NUMBER,M,diseases_of_the_musculoskeletal,8
2015,NUMBER,M,diseases_of_the_musculoskeletal,12
2016,NUMBER,M,diseases_of_the_musculoskeletal,6
2017,NUMBER,M,diseases_of_the_musculoskeletal,8
2018,NUMBER,M,diseases_of_the_musculoskeletal,4
2019,NUMBER,M,diseases_of_the_musculoskeletal,4
2020,NUMBER,M,diseases_of_the_musculoskeletal,7
2021,NUMBER,M,diseases_of_the_musculoskeletal,5
2022,NUMBER,M,diseases_of_the_musculoskeletal,11
2023,NUMBER,M,diseases_of_the_musculoskeletal,4
2024,NUMBER,M,diseases_of_the_musculoskeletal,9
2003,NUMBER,M,diseases_of_the_genitourinary,123
2004,NUMBER,M,diseases_of_the_genitourinary,113
2005,NUMBER,M,diseases_of_the_genitourinary,160
2006,NUMBER,M,diseases_of_the_genitourinary,152
2007,NUMBER,M,diseases_of_the_genitourinary,163
2008,NUMBER,M,diseases_of_the_genitourinary,155
2009,NUMBER,M,diseases_of_the_genitourinary,139
2010,NUMBER,M,diseases_of_the_genitourinary,140
2011,NUMBER,M,diseases_of_the_genitourinary,101
2012,NUMBER,M,diseases_of_the_genitourinary,116
2013,NUMBER,M,diseases_of_the_genitourinary,121
2014,NUMBER,M,diseases_of_the_genitourinary,73
2015,NUMBER,M,diseases_of_the_genitourinary,93
2016,NUMBER,M,diseases_of_the_genitourinary,117
2017,NUMBER,M,diseases_of_the_genitourinary,96
2018,NUMBER,M,diseases_of_the_genitourinary,117
2019,NUMBER,M,diseases_of_the_genitourinary,104
2020,NUMBER,M,diseases_of_the_genitourinary,113
2021,NUMBER,M,diseases_of_the_genitourinary,107
2022,NUMBER,M,diseases_of_the_genitourinary,129
2023,NUMBER,M,diseases_of_the_genitourinary,157
2024,NUMBER,M,diseases_of_the_genitourinary,176
2003,NUMBER,M,certain_conditions_originating,23
2004,NUMBER,M,certain_conditions_originating,28
2005,NUMBER,M,certain_conditions_originating,17
2006,NUMBER,M,certain_conditions_originating,26
2007,NUMBER,M,certain_conditions_originating,15
2008,NUMBER,M,certain_conditions_originating,12
2009,NUMBER,M,certain_conditions_originating,22
2010,NUMBER,M,certain_conditions_originating,13
2011,NUMBER,M,certain_conditions_originating,20
2012,NUMBER,M,certain_conditions_originating,18
2013,NUMBER,M,certain_conditions_originating,13
2014,NUMBER,M,certain_conditions_originating,7
2015,NUMBER,M,certain_conditions_originating,2
2016,NUMBER,M,certain_conditions_originating,13
2017,NUMBER,M,certain_conditions_originating,7
2018,NUMBER,M,certain_conditions_originating,3
2019,NUMBER,M,certain_conditions_originating,6
2020,NUMBER,M,certain_conditions_originating,16
2021,NUMBER,M,certain_conditions_originating,5
2022,NUMBER,M,certain_conditions_originating,12
2023,NUMBER,M,certain_conditions_originating,9
2024,NUMBER,M,certain_conditions_originating,11
2003,NUMBER,M,congenital_malformations_deformations,7
2004,NUMBER,M,congenital_malformations_deformations,10
2005,NUMBER,M,congenital_malformations_deformations,6
2006,NUMBER,M,congenital_malformations_deformations,7
2007,NUMBER,M,congenital_malformations_deformations,8
2008,NUMBER,M,congenital_malformations_deformations,5
2009,NUMBER,M,congenital_malformations_deformations,7
2010,NUMBER,M,congenital_malformations_deformations,10
2011,NUMBER,M,congenital_malformations_deformations,7
2012,NUMBER,M,congenital_malformations_deformations,5
2013,NUMBER,M,congenital_malformations_deformations,7
2014,NUMBER,M,congenital_malformations_deformations,3
2015,NUMBER,M,congenital_malformations_deformations,3
2016,NUMBER,M,congenital_malformations_deformations,3
2017,NUMBER,M,congenital_malformations_deformations,4
2018,NUMBER,M,congenital_malformations_deformations,2
2019,NUMBER,M,congenital_malformations_deformations,0
2020,NUMBER,M,congenital_malformations_deformations,3
2021,NUMBER,M,congenital_malformations_deformations,5
2022,NUMBER,M,congenital_malformations_deformations,11
2023,NUMBER,M,congenital_malformations_deformations,5
2024,NUMBER,M,congenital_malformations_deformations,2
2003,NUMBER,M,symptoms_signs_and_abnormal,821
2004,NUMBER,M,symptoms_signs_and_abnormal,726
2005,NUMBER,M,symptoms_signs_and_abnormal,659
2006,NUMBER,M,symptoms_signs_and_abnormal,627
2007,NUMBER,M,symptoms_signs_and_abnormal,638
2008,NUMBER,M,symptoms_signs_and_abnormal,496
2009,NUMBER,M,symptoms_signs_and_abnormal,485
2010,NUMBER,M,symptoms_signs_and_abnormal,446
2011,NUMBER,M,symptoms_signs_and_abnormal,302
2012,NUMBER,M,symptoms_signs_and_abnormal,277
2013,NUMBER,M,symptoms_signs_and_abnormal,643
2014,NUMBER,M,symptoms_signs_and_abnormal,718
2015,NUMBER,M,symptoms_signs_and_abnormal,780
2016,NUMBER,M,symptoms_signs_and_abnormal,598
2017,NUMBER,M,symptoms_signs_and_abnormal,720
2018,NUMBER,M,symptoms_signs_and_abnormal,844
2019,NUMBER,M,symptoms_signs_and_abnormal,1048
2020,NUMBER,M,symptoms_signs_and_abnormal,834
2021,NUMBER,M,symptoms_signs_and_abnormal,1187
2022,NUMBER,M,symptoms_signs_and_abnormal,1167
2023,NUMBER,M,symptoms_signs_and_abnormal,768
2024,NUMBER,M,symptoms_signs_and_abnormal,845
2003,NUMBER,M,injuries_poisoning_and_consequences,444
2004,NUMBER,M,injuries_poisoning_and_consequences,411
2005,NUMBER,M,injuries_poisoning_and_consequences,463
2006,NUMBER,M,injuries_poisoning_and_consequences,466
2007,NUMBER,M,injuries_poisoning_and_consequences,488
2008,NUMBER,M,injuries_poisoning_and_consequences,451
2009,NUMBER,M,injuries_poisoning_and_consequences,424
2010,NUMBER,M,injuries_poisoning_and_consequences,405
2011,NUMBER,M,injuries_poisoning_and_consequences,482
2012,NUMBER,M,injuries_poisoning_and_consequences,420
2013,NUMBER,M,injuries_poisoning_and_consequences,377
2014,NUMBER,M,injuries_poisoning_and_consequences,412
2015,NUMBER,M,injuries_poisoning_and_consequences,417
2016,NUMBER,M,injuries_poisoning_and_consequences,373
2017,NUMBER,M,injuries_poisoning_and_consequences,349
2018,NUMBER,M,injuries_poisoning_and_consequences,370
2019,NUMBER,M,injuries_poisoning_and_consequences,340
2020,NUMBER,M,injuries_poisoning_and_consequences,304
2021,NUMBER,M,injuries_poisoning_and_consequences,334
2022,NUMBER,M,injuries_poisoning_and_consequences,338
2023,NUMBER,M,injuries_poisoning_and_consequences,318
2024,NUMBER,M,injuries_poisoning_and_consequences,302
2003,NUMBER,M,special_purpose_codes,0
2004,NUMBER,M,special_purpose_codes,0
2005,NUMBER,M,special_purpose_codes,0
2006,NUMBER,M,special_purpose_codes,0
2007,NUMBER,M,special_purpose_codes,0
2008,NUMBER,M,special_purpose_codes,0
2009,NUMBER,M,special_purpose_codes,0
2010,NUMBER,M,special_purpose_codes,0
2011,NUMBER,M,special_purpose_codes,0
2012,NUMBER,M,special_purpose_codes,0
2013,NUMBER,M,special_purpose_codes,0
2014,NUMBER,M,special_purpose_codes,0
2015,NUMBER,M,special_purpose_codes,0
2016,NUMBER,M,special_purpose_codes,0
2017,NUMBER,M,special_purpose_codes,0
2018,NUMBER,M,special_purpose_codes,0
2019,NUMBER,M,special_purpose_codes,0
2020,NUMBER,M,special_purpose_codes,1030
2021,NUMBER,M,special_purpose_codes,2213
2022,NUMBER,M,special_purpose_codes,754
2023,NUMBER,M,special_purpose_codes,104
2024,NUMBER,M,special_purpose_codes,34
2003,NUMBER,F,total,6184
2004,NUMBER,F,total,6347
2005,NUMBER,F,total,6563
2006,NUMBER,F,total,6328
2007,NUMBER,F,total,6844
2008,NUMBER,F,total,6443
2009,NUMBER,F,total,6676
2010,NUMBER,F,total,6582
2011,NUMBER,F,total,6657
2012,NUMBER,F,total,6732
2013,NUMBER,F,total,6741
2014,NUMBER,F,total,7023
2015,NUMBER,F,total,7419
2016,NUMBER,F,total,6772
2017,NUMBER,F,total,7300
2018,NUMBER,F,total,7314
2019,NUMBER,F,total,7328
2020,NUMBER,F,total,7969
2021,NUMBER,F,total,9059
2022,NUMBER,F,total,7794
2023,NUMBER,F,total,6530
2024,NUMBER,F,total,6847
2003,NUMBER,F,infectious_and_parasitic,30
2004,NUMBER,F,infectious_and_parasitic,49
2005,NUMBER,F,infectious_and_parasitic,50
2006,NUMBER,F,infectious_and_parasitic,38
2007,NUMBER,F,infectious_and_parasitic,33
2008,NUMBER,F,infectious_and_parasitic,46
2009,NUMBER,F,infectious_and_parasitic,43
2010,NUMBER,F,infectious_and_parasitic,37
2011,NUMBER,F,infectious_and_parasitic,38
2012,NUMBER,F,infectious_and_parasitic,66
2013,NUMBER,F,infectious_and_parasitic,47
2014,NUMBER,F,infectious_and_parasitic,56
2015,NUMBER,F,infectious_and_parasitic,67
2016,NUMBER,F,infectious_and_parasitic,83
2017,NUMBER,F,infectious_and_parasitic,62
2018,NUMBER,F,infectious_and_parasitic,75
2019,NUMBER,F,infectious_and_parasitic,81
2020,NUMBER,F,infectious_and_parasitic,75
2021,NUMBER,F,infectious_and_parasitic,54
2022,NUMBER,F,infectious_and_parasitic,96
2023,NUMBER,F,infectious_and_parasitic,83
2024,NUMBER,F,infectious_and_parasitic,116
2003,NUMBER,F,neoplasms,950
2004,NUMBER,F,neoplasms,928
2005,NUMBER,F,neoplasms,1072
2006,NUMBER,F,neoplasms,1015
2007,NUMBER,F,neoplasms,1109
2008,NUMBER,F,neoplasms,1075
2009,NUMBER,F,neoplasms,1161
2010,NUMBER,F,neoplasms,1105
2011,NUMBER,F,neoplasms,1118
2012,NUMBER,F,neoplasms,1183
2013,NUMBER,F,neoplasms,1231
2014,NUMBER,F,neoplasms,1353
2015,NUMBER,F,neoplasms,1355
2016,NUMBER,F,neoplasms,1209
2017,NUMBER,F,neoplasms,1268
2018,NUMBER,F,neoplasms,1209
2019,NUMBER,F,neoplasms,1186
2020,NUMBER,F,neoplasms,1097
2021,NUMBER,F,neoplasms,1065
2022,NUMBER,F,neoplasms,1116
2023,NUMBER,F,neoplasms,1088
2024,NUMBER,F,neoplasms,1156
2003,NUMBER,F,diseases_of_the_blood,2
2004,NUMBER,F,diseases_of_the_blood,11
2005,NUMBER,F,diseases_of_the_blood,10
2006,NUMBER,F,diseases_of_the_blood,4
2007,NUMBER,F,diseases_of_the_blood,10
2008,NUMBER,F,diseases_of_the_blood,5
2009,NUMBER,F,diseases_of_the_blood,9
2010,NUMBER,F,diseases_of_the_blood,10
2011,NUMBER,F,diseases_of_the_blood,10
2012,NUMBER,F,diseases_of_the_blood,6
2013,NUMBER,F,diseases_of_the_blood,8
2014,NUMBER,F,diseases_of_the_blood,8
2015,NUMBER,F,diseases_of_the_blood,10
2016,NUMBER,F,diseases_of_the_blood,15
2017,NUMBER,F,diseases_of_the_blood,17
2018,NUMBER,F,diseases_of_the_blood,18
2019,NUMBER,F,diseases_of_the_blood,16
2020,NUMBER,F,diseases_of_the_blood,15
2021,NUMBER,F,diseases_of_the_blood,15
2022,NUMBER,F,diseases_of_the_blood,19
2023,NUMBER,F,diseases_of_the_blood,7
2024,NUMBER,F,diseases_of_the_blood,16
2003,NUMBER,F,endocrine_metabolic_and_nutritional,109
2004,NUMBER,F,endocrine_metabolic_and_nutritional,92
2005,NUMBER,F,endocrine_metabolic_and_nutritional,441
2006,NUMBER,F,endocrine_metabolic_and_nutritional,484
2007,NUMBER,F,endocrine_metabolic_and_nutritional,442
2008,NUMBER,F,endocrine_metabolic_and_nutritional,454
2009,NUMBER,F,endocrine_metabolic_and_nutritional,530
2010,NUMBER,F,endocrine_metabolic_and_nutritional,402
2011,NUMBER,F,endocrine_metabolic_and_nutritional,397
2012,NUMBER,F,endocrine_metabolic_and_nutritional,350
2013,NUMBER,F,endocrine_metabolic_and_nutritional,459
2014,NUMBER,F,endocrine_metabolic_and_nutritional,501
2015,NUMBER,F,endocrine_metabolic_and_nutritional,400
2016,NUMBER,F,endocrine_metabolic_and_nutritional,378
2017,NUMBER,F,endocrine_metabolic_and_nutritional,452
2018,NUMBER,F,endocrine_metabolic_and_nutritional,458
2019,NUMBER,F,endocrine_metabolic_and_nutritional,343
2020,NUMBER,F,endocrine_metabolic_and_nutritional,485
2021,NUMBER,F,endocrine_metabolic_and_nutritional,534
2022,NUMBER,F,endocrine_metabolic_and_nutritional,559
2023,NUMBER,F,endocrine_metabolic_and_nutritional,497
2024,NUMBER,F,endocrine_metabolic_and_nutritional,506
2003,NUMBER,F,mental_and_behavioural_disorders,9
2004,NUMBER,F,mental_and_behavioural_disorders,12
2005,NUMBER,F,mental_and_behavioural_disorders,16
2006,NUMBER,F,mental_and_behavioural_disorders,15
2007,NUMBER,F,mental_and_behavioural_disorders,20
2008,NUMBER,F,mental_and_behavioural_disorders,19
2009,NUMBER,F,mental_and_behavioural_disorders,30
2010,NUMBER,F,mental_and_behavioural_disorders,11
2011,NUMBER,F,mental_and_behavioural_disorders,14
2012,NUMBER,F,mental_and_behavioural_disorders,12
2013,NUMBER,F,mental_and_behavioural_disorders,31
2014,NUMBER,F,mental_and_behavioural_disorders,21
2015,NUMBER,F,mental_and_behavioural_disorders,28
2016,NUMBER,F,mental_and_behavioural_disorders,26
2017,NUMBER,F,mental_and_behavioural_disorders,43
2018,NUMBER,F,mental_and_behavioural_disorders,30
2019,NUMBER,F,mental_and_behavioural_disorders,22
2020,NUMBER,F,mental_and_behavioural_disorders,29
2021,NUMBER,F,mental_and_behavioural_disorders,44
2022,NUMBER,F,mental_and_behavioural_disorders,38
2023,NUMBER,F,mental_and_behavioural_disorders,38
2024,NUMBER,F,mental_and_behavioural_disorders,42
2003,NUMBER,F,diseases_of_the_nervous,26
2004,NUMBER,F,diseases_of_the_nervous,38
2005,NUMBER,F,diseases_of_the_nervous,84
2006,NUMBER,F,diseases_of_the_nervous,73
2007,NUMBER,F,diseases_of_the_nervous,70
2008,NUMBER,F,diseases_of_the_nervous,55
2009,NUMBER,F,diseases_of_the_nervous,55
2010,NUMBER,F,diseases_of_the_nervous,76
2011,NUMBER,F,diseases_of_the_nervous,97
2012,NUMBER,F,diseases_of_the_nervous,102
2013,NUMBER,F,diseases_of_the_nervous,87
2014,NUMBER,F,diseases_of_the_nervous,89
2015,NUMBER,F,diseases_of_the_nervous,106
2016,NUMBER,F,diseases_of_the_nervous,75
2017,NUMBER,F,diseases_of_the_nervous,95
2018,NUMBER,F,diseases_of_the_nervous,87
2019,NUMBER,F,diseases_of_the_nervous,81
2020,NUMBER,F,diseases_of_the_nervous,97
2021,NUMBER,F,diseases_of_the_nervous,73
2022,NUMBER,F,diseases_of_the_nervous,78
2023,NUMBER,F,diseases_of_the_nervous,79
2024,NUMBER,F,diseases_of_the_nervous,94
2003,NUMBER,F,diseases_of_the_eye,0
2004,NUMBER,F,diseases_of_the_eye,0
2005,NUMBER,F,diseases_of_the_eye,0
2006,NUMBER,F,diseases_of_the_eye,0
2007,NUMBER,F,diseases_of_the_eye,0
2008,NUMBER,F,diseases_of_the_eye,0
2009,NUMBER,F,diseases_of_the_eye,0
2010,NUMBER,F,diseases_of_the_eye,0
2011,NUMBER,F,diseases_of_the_eye,0
2012,NUMBER,F,diseases_of_the_eye,0
2013,NUMBER,F,diseases_of_the_eye,0
2014,NUMBER,F,diseases_of_the_eye,0
2015,NUMBER,F,diseases_of_the_eye,0
2016,NUMBER,F,diseases_of_the_eye,0
2017,NUMBER,F,diseases_of_the_eye,0
2018,NUMBER,F,diseases_of_the_eye,0
2019,NUMBER,F,diseases_of_the_eye,0
2020,NUMBER,F,diseases_of_the_eye,0
2021,NUMBER,F,diseases_of_the_eye,0
2022,NUMBER,F,diseases_of_the_eye,0
2023,NUMBER,F,diseases_of_the_eye,0
2024,NUMBER,F,diseases_of_the_eye,0
2003,NUMBER,F,diseases_of_the_ear,0
2004,NUMBER,F,diseases_of_the_ear,0
2005,NUMBER,F,diseases_of_the_ear,0
2006,NUMBER,F,diseases_of_the_ear,0
2007,NUMBER,F,diseases_of_the_ear,0
2008,NUMBER,F,diseases_of_the_ear,0
2009,NUMBER,F,diseases_of_the_ear,0
2010,NUMBER,F,diseases_of_the_ear,0
2011,NUMBER,F,diseases_of_the_ear,0
2012,NUMBER,F,diseases_of_the_ear,0
2013,NUMBER,F,diseases_of_the_ear,0
2014,NUMBER,F,diseases_of_the_ear,0
2015,NUMBER,F,diseases_of_the_ear,0
2016,NUMBER,F,diseases_of_the_ear,0
2017,NUMBER,F,diseases_of_the_ear,0
2018,NUMBER,F,diseases_of_the_ear,0
2019,NUMBER,F,diseases_of_the_ear,0
2020,NUMBER,F,diseases_of_the_ear,0
2021,NUMBER,F,diseases_of_the_ear,0
2022,NUMBER,F,diseases_of_the_ear,0
2023,NUMBER,F,diseases_of_the_ear,0
2024,NUMBER,F,diseases_of_the_ear,0
2003,NUMBER,F,diseases_of_the_circulatory,3748
2004,NUMBER,F,diseases_of_the_circulatory,3957
2005,NUMBER,F,diseases_of_the_circulatory,3677
2006,NUMBER,F,diseases_of_the_circulatory,3458
2007,NUMBER,F,diseases_of_the_circulatory,3864
