Year,UNIT_MEASURE,City/minicipality,Sex,Religion,Value
2013,Number,Istočno Novo Sarajevo,M,Orthodox,4796
2013,Number,Istočno Novo Sarajevo,F,Orthodox,5248
2013,Number,Jezero,Total,Orthodox,780
2013,Number,Jezero,M,Orthodox,412
2013,Number,Jezero,F,Orthodox,368
2013,Number,Kalinovik,Total,Orthodox,1905
2013,Number,Kalinovik,M,Orthodox,923
2013,Number,Kalinovik,F,Orthodox,982
2013,Number,Kneževo,Total,Orthodox,8866
2013,Number,Kneževo,M,Orthodox,4408
2013,Number,Kneževo,F,Orthodox,4458
2013,Number,Kozarska Dubica,Total,Orthodox,18103
2013,Number,Kozarska Dubica,M,Orthodox,8909
2013,Number,Kozarska Dubica,F,Orthodox,9194
2013,Number,Kostajnica,Total,Orthodox,4190
2013,Number,Kostajnica,M,Orthodox,2080
2013,Number,Kostajnica,F,Orthodox,2110
2013,Number,Kotor Varoš,Total,Orthodox,12645
2013,Number,Kotor Varoš,M,Orthodox,6263
2013,Number,Kotor Varoš,F,Orthodox,6382
2013,Number,Krupa Na Uni,Total,Orthodox,1554
2013,Number,Krupa Na Uni,M,Orthodox,840
2013,Number,Krupa Na Uni,F,Orthodox,714
2013,Number,Kupres,Total,Orthodox,292
2013,Number,Kupres,M,Orthodox,156
2013,Number,Kupres,F,Orthodox,136
2013,Number,Laktaši,Total,Orthodox,32907
2013,Number,Laktaši,M,Orthodox,16334
2013,Number,Laktaši,F,Orthodox,16573
2013,Number,Lopare,Total,Orthodox,13273
2013,Number,Lopare,M,Orthodox,6700
2013,Number,Lopare,F,Orthodox,6573
2013,Number,Ljubinje,Total,Orthodox,3295
2013,Number,Ljubinje,M,Orthodox,1621
2013,Number,Ljubinje,F,Orthodox,1674
2013,Number,Milići,Total,Orthodox,6835
2013,Number,Milići,M,Orthodox,3469
2013,Number,Milići,F,Orthodox,3366
2013,Number,Modriča,Total,Orthodox,19482
2013,Number,Modriča,M,Orthodox,9579
2013,Number,Modriča,F,Orthodox,9903
2013,Number,Mrkonjić Grad,Total,Orthodox,15334
2013,Number,Mrkonjić Grad,M,Orthodox,7387
2013,Number,Mrkonjić Grad,F,Orthodox,7947
2013,Number,Nevesinje,Total,Orthodox,11973
2013,Number,Nevesinje,M,Orthodox,5955
2013,Number,Nevesinje,F,Orthodox,6018
2013,Number,Novi Grad,Total,Orthodox,19443
2013,Number,Novi Grad,M,Orthodox,9725
2013,Number,Novi Grad,F,Orthodox,9718
2013,Number,Novo Goražde,Total,Orthodox,1563
2013,Number,Novo Goražde,M,Orthodox,822
2013,Number,Novo Goražde,F,Orthodox,741
2013,Number,Osmaci,Total,Orthodox,2848
2013,Number,Osmaci,M,Orthodox,1446
2013,Number,Osmaci,F,Orthodox,1402
2013,Number,Oštra Luka,Total,Orthodox,2503
2013,Number,Oštra Luka,M,Orthodox,1290
2013,Number,Oštra Luka,F,Orthodox,1213
2013,Number,Pale,Total,Orthodox,19901
2013,Number,Pale,M,Orthodox,9546
2013,Number,Pale,F,Orthodox,10355
2013,Number,Pelagićevo,Total,Orthodox,3152
2013,Number,Pelagićevo,M,Orthodox,1566
2013,Number,Pelagićevo,F,Orthodox,1586
2013,Number,Petrovac,Total,Orthodox,352
2013,Number,Petrovac,M,Orthodox,168
2013,Number,Petrovac,F,Orthodox,184
2013,Number,Petrovo,Total,Orthodox,6221
2013,Number,Petrovo,M,Orthodox,3004
2013,Number,Petrovo,F,Orthodox,3217
2013,Number,Grad Prijedor,Total,Orthodox,53842
2013,Number,Grad Prijedor,M,Orthodox,26540
2013,Number,Grad Prijedor,F,Orthodox,27302
2013,Number,Prnjavor,Total,Orthodox,29944
2013,Number,Prnjavor,M,Orthodox,14579
2013,Number,Prnjavor,F,Orthodox,15365
2013,Number,Ribnik,Total,Orthodox,5824
2013,Number,Ribnik,M,Orthodox,2886
2013,Number,Ribnik,F,Orthodox,2938
2013,Number,Rogatica,Total,Orthodox,9199
2013,Number,Rogatica,M,Orthodox,4492
2013,Number,Rogatica,F,Orthodox,4707
2013,Number,Rudo,Total,Orthodox,6968
2013,Number,Rudo,M,Orthodox,3521
2013,Number,Rudo,F,Orthodox,3447
2013,Number,Sokolac,Total,Orthodox,10897
2013,Number,Sokolac,M,Orthodox,5356
2013,Number,Sokolac,F,Orthodox,5541
2013,Number,Srbac,Total,Orthodox,16110
2013,Number,Srbac,M,Orthodox,7932
2013,Number,Srbac,F,Orthodox,8178
2013,Number,Srebrenica,Total,Orthodox,5418
2013,Number,Srebrenica,M,Orthodox,2721
2013,Number,Srebrenica,F,Orthodox,2697
2013,Number,Teslić,Total,Orthodox,28140
2013,Number,Teslić,M,Orthodox,13523
2013,Number,Teslić,F,Orthodox,14617
2013,Number,Grad Trebinje,Total,Orthodox,26669
2013,Number,Grad Trebinje,M,Orthodox,13054
2013,Number,Grad Trebinje,F,Orthodox,13615
2013,Number,Trnovo,Total,Orthodox,1135
2013,Number,Trnovo,M,Orthodox,537
2013,Number,Trnovo,F,Orthodox,598
2013,Number,Ugljevik,Total,Orthodox,13016
2013,Number,Ugljevik,M,Orthodox,6602
2013,Number,Ugljevik,F,Orthodox,6414
2013,Number,Foča,Total,Orthodox,16163
2013,Number,Foča,M,Orthodox,8138
2013,Number,Foča,F,Orthodox,8025
2013,Number,Han Pijesak,Total,Orthodox,2998
2013,Number,Han Pijesak,M,Orthodox,1416
2013,Number,Han Pijesak,F,Orthodox,1582
2013,Number,Čajniče,Total,Orthodox,3812
2013,Number,Čajniče,M,Orthodox,1895
2013,Number,Čajniče,F,Orthodox,1917
2013,Number,Čelinac,Total,Orthodox,14538
2013,Number,Čelinac,M,Orthodox,7205
2013,Number,Čelinac,F,Orthodox,7333
2013,Number,Šamac,Total,Orthodox,12833
2013,Number,Šamac,M,Orthodox,6262
2013,Number,Šamac,F,Orthodox,6571
2013,Number,Šekovići,Total,Orthodox,6188
2013,Number,Šekovići,M,Orthodox,3035
2013,Number,Šekovići,F,Orthodox,3153
2013,Number,Šipovo,Total,Orthodox,9298
2013,Number,Šipovo,M,Orthodox,4709
2013,Number,Šipovo,F,Orthodox,4589
2013,Number,Republika Srpska,Total,Agnostic,1223
2013,Number,Republika Srpska,M,Agnostic,610
2013,Number,Republika Srpska,F,Agnostic,613
2013,Number,Grad Banja Luka,Total,Agnostic,592
2013,Number,Grad Banja Luka,M,Agnostic,285
2013,Number,Grad Banja Luka,F,Agnostic,307
2013,Number,Berkovići,Total,Agnostic,0
2013,Number,Berkovići,M,Agnostic,0
2013,Number,Berkovići,F,Agnostic,0
2013,Number,Grad Bijeljina,Total,Agnostic,60
2013,Number,Grad Bijeljina,M,Agnostic,33
2013,Number,Grad Bijeljina,F,Agnostic,27
2013,Number,Bileća,Total,Agnostic,1
2013,Number,Bileća,M,Agnostic,1
2013,Number,Bileća,F,Agnostic,0
2013,Number,Bratunac,Total,Agnostic,2
2013,Number,Bratunac,M,Agnostic,1
2013,Number,Bratunac,F,Agnostic,1
2013,Number,Brod,Total,Agnostic,15
2013,Number,Brod,M,Agnostic,7
2013,Number,Brod,F,Agnostic,8
2013,Number,Višegrad,Total,Agnostic,2
2013,Number,Višegrad,M,Agnostic,2
2013,Number,Višegrad,F,Agnostic,0
2013,Number,Vlasenica,Total,Agnostic,2
2013,Number,Vlasenica,M,Agnostic,1
2013,Number,Vlasenica,F,Agnostic,1
2013,Number,Vukosavlje,Total,Agnostic,1
2013,Number,Vukosavlje,M,Agnostic,1
2013,Number,Vukosavlje,F,Agnostic,0
2013,Number,Gacko,Total,Agnostic,1
2013,Number,Gacko,M,Agnostic,0
2013,Number,Gacko,F,Agnostic,1
2013,Number,Grad Gradiška,Total,Agnostic,45
2013,Number,Grad Gradiška,M,Agnostic,28
2013,Number,Grad Gradiška,F,Agnostic,17
2013,Number,Grad Derventa,Total,Agnostic,19
2013,Number,Grad Derventa,M,Agnostic,9
2013,Number,Grad Derventa,F,Agnostic,10
2013,Number,Grad Doboj,Total,Agnostic,71
2013,Number,Grad Doboj,M,Agnostic,40
2013,Number,Grad Doboj,F,Agnostic,31
2013,Number,Donji Žabar,Total,Agnostic,1
2013,Number,Donji Žabar,M,Agnostic,0
2013,Number,Donji Žabar,F,Agnostic,1
2013,Number,Grad Zvornik,Total,Agnostic,9
2013,Number,Grad Zvornik,M,Agnostic,5
2013,Number,Grad Zvornik,F,Agnostic,4
2013,Number,Istočna Ilidža,Total,Agnostic,17
2013,Number,Istočna Ilidža,M,Agnostic,8
2013,Number,Istočna Ilidža,F,Agnostic,9
2013,Number,Istočni Drvar,Total,Agnostic,0
2013,Number,Istočni Drvar,M,Agnostic,0
2013,Number,Istočni Drvar,F,Agnostic,0
2013,Number,Istočni Mostar,Total,Agnostic,0
2013,Number,Istočni Mostar,M,Agnostic,0
2013,Number,Istočni Mostar,F,Agnostic,0
2013,Number,Istočni Stari Grad,Total,Agnostic,0
2013,Number,Istočni Stari Grad,M,Agnostic,0
2013,Number,Istočni Stari Grad,F,Agnostic,0
2013,Number,Istočno Novo Sarajevo,Total,Agnostic,23
2013,Number,Istočno Novo Sarajevo,M,Agnostic,8
2013,Number,Istočno Novo Sarajevo,F,Agnostic,15
2013,Number,Jezero,Total,Agnostic,0
2013,Number,Jezero,M,Agnostic,0
2013,Number,Jezero,F,Agnostic,0
2013,Number,Kalinovik,Total,Agnostic,2
2013,Number,Kalinovik,M,Agnostic,0
2013,Number,Kalinovik,F,Agnostic,2
2013,Number,Kneževo,Total,Agnostic,0
2013,Number,Kneževo,M,Agnostic,0
2013,Number,Kneževo,F,Agnostic,0
2013,Number,Kozarska Dubica,Total,Agnostic,17
2013,Number,Kozarska Dubica,M,Agnostic,5
2013,Number,Kozarska Dubica,F,Agnostic,12
2013,Number,Kostajnica,Total,Agnostic,3
2013,Number,Kostajnica,M,Agnostic,3
2013,Number,Kostajnica,F,Agnostic,0
2013,Number,Kotor Varoš,Total,Agnostic,10
2013,Number,Kotor Varoš,M,Agnostic,6
2013,Number,Kotor Varoš,F,Agnostic,4
2013,Number,Krupa Na Uni,Total,Agnostic,0
2013,Number,Krupa Na Uni,M,Agnostic,0
2013,Number,Krupa Na Uni,F,Agnostic,0
2013,Number,Kupres,Total,Agnostic,0
2013,Number,Kupres,M,Agnostic,0
2013,Number,Kupres,F,Agnostic,0
2013,Number,Laktaši,Total,Agnostic,35
2013,Number,Laktaši,M,Agnostic,19
2013,Number,Laktaši,F,Agnostic,16
2013,Number,Lopare,Total,Agnostic,4
2013,Number,Lopare,M,Agnostic,0
2013,Number,Lopare,F,Agnostic,4
2013,Number,Ljubinje,Total,Agnostic,0
2013,Number,Ljubinje,M,Agnostic,0
2013,Number,Ljubinje,F,Agnostic,0
2013,Number,Milići,Total,Agnostic,0
2013,Number,Milići,M,Agnostic,0
2013,Number,Milići,F,Agnostic,0
2013,Number,Modriča,Total,Agnostic,26
2013,Number,Modriča,M,Agnostic,13
2013,Number,Modriča,F,Agnostic,13
2013,Number,Mrkonjić Grad,Total,Agnostic,8
2013,Number,Mrkonjić Grad,M,Agnostic,5
2013,Number,Mrkonjić Grad,F,Agnostic,3
2013,Number,Nevesinje,Total,Agnostic,3
2013,Number,Nevesinje,M,Agnostic,1
2013,Number,Nevesinje,F,Agnostic,2
2013,Number,Novi Grad,Total,Agnostic,9
2013,Number,Novi Grad,M,Agnostic,5
2013,Number,Novi Grad,F,Agnostic,4
2013,Number,Novo Goražde,Total,Agnostic,0
2013,Number,Novo Goražde,M,Agnostic,0
2013,Number,Novo Goražde,F,Agnostic,0
2013,Number,Osmaci,Total,Agnostic,0
2013,Number,Osmaci,M,Agnostic,0
2013,Number,Osmaci,F,Agnostic,0
2013,Number,Oštra Luka,Total,Agnostic,2
2013,Number,Oštra Luka,M,Agnostic,1
2013,Number,Oštra Luka,F,Agnostic,1
2013,Number,Pale,Total,Agnostic,15
2013,Number,Pale,M,Agnostic,9
2013,Number,Pale,F,Agnostic,6
2013,Number,Pelagićevo,Total,Agnostic,0
2013,Number,Pelagićevo,M,Agnostic,0
2013,Number,Pelagićevo,F,Agnostic,0
2013,Number,Petrovac,Total,Agnostic,0
2013,Number,Petrovac,M,Agnostic,0
2013,Number,Petrovac,F,Agnostic,0
2013,Number,Petrovo,Total,Agnostic,1
2013,Number,Petrovo,M,Agnostic,1
2013,Number,Petrovo,F,Agnostic,0
2013,Number,Grad Prijedor,Total,Agnostic,84
2013,Number,Grad Prijedor,M,Agnostic,48
2013,Number,Grad Prijedor,F,Agnostic,36
2013,Number,Prnjavor,Total,Agnostic,25
2013,Number,Prnjavor,M,Agnostic,11
2013,Number,Prnjavor,F,Agnostic,14
2013,Number,Ribnik,Total,Agnostic,0
2013,Number,Ribnik,M,Agnostic,0
2013,Number,Ribnik,F,Agnostic,0
2013,Number,Rogatica,Total,Agnostic,2
2013,Number,Rogatica,M,Agnostic,2
2013,Number,Rogatica,F,Agnostic,0
2013,Number,Rudo,Total,Agnostic,1
2013,Number,Rudo,M,Agnostic,1
2013,Number,Rudo,F,Agnostic,0
2013,Number,Sokolac,Total,Agnostic,2
2013,Number,Sokolac,M,Agnostic,0
2013,Number,Sokolac,F,Agnostic,2
2013,Number,Srbac,Total,Agnostic,7
2013,Number,Srbac,M,Agnostic,5
2013,Number,Srbac,F,Agnostic,2
2013,Number,Srebrenica,Total,Agnostic,1
2013,Number,Srebrenica,M,Agnostic,0
2013,Number,Srebrenica,F,Agnostic,1
2013,Number,Teslić,Total,Agnostic,37
2013,Number,Teslić,M,Agnostic,15
2013,Number,Teslić,F,Agnostic,22
2013,Number,Grad Trebinje,Total,Agnostic,32
2013,Number,Grad Trebinje,M,Agnostic,14
2013,Number,Grad Trebinje,F,Agnostic,18
2013,Number,Trnovo,Total,Agnostic,3
2013,Number,Trnovo,M,Agnostic,2
2013,Number,Trnovo,F,Agnostic,1
2013,Number,Ugljevik,Total,Agnostic,1
2013,Number,Ugljevik,M,Agnostic,1
2013,Number,Ugljevik,F,Agnostic,0
2013,Number,Foča,Total,Agnostic,3
2013,Number,Foča,M,Agnostic,1
2013,Number,Foča,F,Agnostic,2
2013,Number,Han Pijesak,Total,Agnostic,1
2013,Number,Han Pijesak,M,Agnostic,0
2013,Number,Han Pijesak,F,Agnostic,1
2013,Number,Čajniče,Total,Agnostic,1
2013,Number,Čajniče,M,Agnostic,0
2013,Number,Čajniče,F,Agnostic,1
2013,Number,Čelinac,Total,Agnostic,8
2013,Number,Čelinac,M,Agnostic,4
2013,Number,Čelinac,F,Agnostic,4
2013,Number,Šamac,Total,Agnostic,18
2013,Number,Šamac,M,Agnostic,8
2013,Number,Šamac,F,Agnostic,10
2013,Number,Šekovići,Total,Agnostic,1
2013,Number,Šekovići,M,Agnostic,1
2013,Number,Šekovići,F,Agnostic,0
2013,Number,Šipovo,Total,Agnostic,0
2013,Number,Šipovo,M,Agnostic,0
2013,Number,Šipovo,F,Agnostic,0
2013,Number,Republika Srpska,Total,Atheist,5784
2013,Number,Republika Srpska,M,Atheist,3146
2013,Number,Republika Srpska,F,Atheist,2638
2013,Number,Grad Banja Luka,Total,Atheist,2593
2013,Number,Grad Banja Luka,M,Atheist,1342
2013,Number,Grad Banja Luka,F,Atheist,1251
2013,Number,Berkovići,Total,Atheist,2
2013,Number,Berkovići,M,Atheist,1
2013,Number,Berkovići,F,Atheist,1
2013,Number,Grad Bijeljina,Total,Atheist,345
2013,Number,Grad Bijeljina,M,Atheist,218
2013,Number,Grad Bijeljina,F,Atheist,127
2013,Number,Bileća,Total,Atheist,7
2013,Number,Bileća,M,Atheist,5
2013,Number,Bileća,F,Atheist,2
2013,Number,Bratunac,Total,Atheist,8
2013,Number,Bratunac,M,Atheist,5
2013,Number,Bratunac,F,Atheist,3
2013,Number,Brod,Total,Atheist,113
2013,Number,Brod,M,Atheist,59
2013,Number,Brod,F,Atheist,54
2013,Number,Višegrad,Total,Atheist,21
2013,Number,Višegrad,M,Atheist,15
2013,Number,Višegrad,F,Atheist,6
2013,Number,Vlasenica,Total,Atheist,16
2013,Number,Vlasenica,M,Atheist,10
2013,Number,Vlasenica,F,Atheist,6
2013,Number,Vukosavlje,Total,Atheist,9
2013,Number,Vukosavlje,M,Atheist,7
2013,Number,Vukosavlje,F,Atheist,2
2013,Number,Gacko,Total,Atheist,3
2013,Number,Gacko,M,Atheist,1
2013,Number,Gacko,F,Atheist,2
2013,Number,Grad Gradiška,Total,Atheist,223
2013,Number,Grad Gradiška,M,Atheist,126
2013,Number,Grad Gradiška,F,Atheist,97
2013,Number,Grad Derventa,Total,Atheist,100
2013,Number,Grad Derventa,M,Atheist,51
2013,Number,Grad Derventa,F,Atheist,49
2013,Number,Grad Doboj,Total,Atheist,378
2013,Number,Grad Doboj,M,Atheist,200
2013,Number,Grad Doboj,F,Atheist,178
2013,Number,Donji Žabar,Total,Atheist,0
2013,Number,Donji Žabar,M,Atheist,0
2013,Number,Donji Žabar,F,Atheist,0
2013,Number,Grad Zvornik,Total,Atheist,59
2013,Number,Grad Zvornik,M,Atheist,36
2013,Number,Grad Zvornik,F,Atheist,23
2013,Number,Istočna Ilidža,Total,Atheist,60
2013,Number,Istočna Ilidža,M,Atheist,27
2013,Number,Istočna Ilidža,F,Atheist,33
2013,Number,Istočni Drvar,Total,Atheist,0
2013,Number,Istočni Drvar,M,Atheist,0
2013,Number,Istočni Drvar,F,Atheist,0
2013,Number,Istočni Mostar,Total,Atheist,0
2013,Number,Istočni Mostar,M,Atheist,0
2013,Number,Istočni Mostar,F,Atheist,0
2013,Number,Istočni Stari Grad,Total,Atheist,2
2013,Number,Istočni Stari Grad,M,Atheist,1
2013,Number,Istočni Stari Grad,F,Atheist,1
2013,Number,Istočno Novo Sarajevo,Total,Atheist,37
2013,Number,Istočno Novo Sarajevo,M,Atheist,18
2013,Number,Istočno Novo Sarajevo,F,Atheist,19
2013,Number,Jezero,Total,Atheist,3
2013,Number,Jezero,M,Atheist,2
2013,Number,Jezero,F,Atheist,1
2013,Number,Kalinovik,Total,Atheist,0
2013,Number,Kalinovik,M,Atheist,0
2013,Number,Kalinovik,F,Atheist,0
2013,Number,Kneževo,Total,Atheist,5
2013,Number,Kneževo,M,Atheist,3
2013,Number,Kneževo,F,Atheist,2
2013,Number,Kozarska Dubica,Total,Atheist,130
2013,Number,Kozarska Dubica,M,Atheist,68
2013,Number,Kozarska Dubica,F,Atheist,62
2013,Number,Kostajnica,Total,Atheist,16
2013,Number,Kostajnica,M,Atheist,12
2013,Number,Kostajnica,F,Atheist,4
2013,Number,Kotor Varoš,Total,Atheist,56
2013,Number,Kotor Varoš,M,Atheist,34
2013,Number,Kotor Varoš,F,Atheist,22
2013,Number,Krupa Na Uni,Total,Atheist,0
2013,Number,Krupa Na Uni,M,Atheist,0
2013,Number,Krupa Na Uni,F,Atheist,0
2013,Number,Kupres,Total,Atheist,0
2013,Number,Kupres,M,Atheist,0
2013,Number,Kupres,F,Atheist,0
2013,Number,Laktaši,Total,Atheist,96
2013,Number,Laktaši,M,Atheist,57
2013,Number,Laktaši,F,Atheist,39
2013,Number,Lopare,Total,Atheist,21
2013,Number,Lopare,M,Atheist,12
2013,Number,Lopare,F,Atheist,9
2013,Number,Ljubinje,Total,Atheist,1
2013,Number,Ljubinje,M,Atheist,1
2013,Number,Ljubinje,F,Atheist,0
2013,Number,Milići,Total,Atheist,3
2013,Number,Milići,M,Atheist,3
2013,Number,Milići,F,Atheist,0
2013,Number,Modriča,Total,Atheist,98
2013,Number,Modriča,M,Atheist,53
2013,Number,Modriča,F,Atheist,45
2013,Number,Mrkonjić Grad,Total,Atheist,28
2013,Number,Mrkonjić Grad,M,Atheist,13
2013,Number,Mrkonjić Grad,F,Atheist,15
2013,Number,Nevesinje,Total,Atheist,8
2013,Number,Nevesinje,M,Atheist,3
2013,Number,Nevesinje,F,Atheist,5
2013,Number,Novi Grad,Total,Atheist,81
2013,Number,Novi Grad,M,Atheist,36
2013,Number,Novi Grad,F,Atheist,45
2013,Number,Novo Goražde,Total,Atheist,0
2013,Number,Novo Goražde,M,Atheist,0
2013,Number,Novo Goražde,F,Atheist,0
2013,Number,Osmaci,Total,Atheist,1
2013,Number,Osmaci,M,Atheist,1
2013,Number,Osmaci,F,Atheist,0
2013,Number,Oštra Luka,Total,Atheist,4
2013,Number,Oštra Luka,M,Atheist,3
2013,Number,Oštra Luka,F,Atheist,1
2013,Number,Pale,Total,Atheist,47
2013,Number,Pale,M,Atheist,23
2013,Number,Pale,F,Atheist,24
2013,Number,Pelagićevo,Total,Atheist,1
2013,Number,Pelagićevo,M,Atheist,0
2013,Number,Pelagićevo,F,Atheist,1
2013,Number,Petrovac,Total,Atheist,2
2013,Number,Petrovac,M,Atheist,1
2013,Number,Petrovac,F,Atheist,1
2013,Number,Petrovo,Total,Atheist,10
2013,Number,Petrovo,M,Atheist,7
2013,Number,Petrovo,F,Atheist,3
2013,Number,Grad Prijedor,Total,Atheist,511
2013,Number,Grad Prijedor,M,Atheist,277
2013,Number,Grad Prijedor,F,Atheist,234
2013,Number,Prnjavor,Total,Atheist,102
2013,Number,Prnjavor,M,Atheist,65
2013,Number,Prnjavor,F,Atheist,37
2013,Number,Ribnik,Total,Atheist,3
2013,Number,Ribnik,M,Atheist,2
2013,Number,Ribnik,F,Atheist,1
2013,Number,Rogatica,Total,Atheist,20
2013,Number,Rogatica,M,Atheist,13
2013,Number,Rogatica,F,Atheist,7
2013,Number,Rudo,Total,Atheist,11
2013,Number,Rudo,M,Atheist,9
2013,Number,Rudo,F,Atheist,2
2013,Number,Sokolac,Total,Atheist,14
2013,Number,Sokolac,M,Atheist,11
2013,Number,Sokolac,F,Atheist,3
2013,Number,Srbac,Total,Atheist,46
2013,Number,Srbac,M,Atheist,28
2013,Number,Srbac,F,Atheist,18
2013,Number,Srebrenica,Total,Atheist,14
2013,Number,Srebrenica,M,Atheist,10
2013,Number,Srebrenica,F,Atheist,4
2013,Number,Teslić,Total,Atheist,167
2013,Number,Teslić,M,Atheist,89
2013,Number,Teslić,F,Atheist,78
2013,Number,Grad Trebinje,Total,Atheist,118
2013,Number,Grad Trebinje,M,Atheist,62
2013,Number,Grad Trebinje,F,Atheist,56
2013,Number,Trnovo,Total,Atheist,7
2013,Number,Trnovo,M,Atheist,5
2013,Number,Trnovo,F,Atheist,2
2013,Number,Ugljevik,Total,Atheist,22
2013,Number,Ugljevik,M,Atheist,16
2013,Number,Ugljevik,F,Atheist,6
2013,Number,Foča,Total,Atheist,34
2013,Number,Foča,M,Atheist,19
2013,Number,Foča,F,Atheist,15
2013,Number,Han Pijesak,Total,Atheist,1
2013,Number,Han Pijesak,M,Atheist,1
2013,Number,Han Pijesak,F,Atheist,0
2013,Number,Čajniče,Total,Atheist,4
2013,Number,Čajniče,M,Atheist,3
2013,Number,Čajniče,F,Atheist,1
2013,Number,Čelinac,Total,Atheist,23
2013,Number,Čelinac,M,Atheist,12
2013,Number,Čelinac,F,Atheist,11
2013,Number,Šamac,Total,Atheist,81
2013,Number,Šamac,M,Atheist,56
2013,Number,Šamac,F,Atheist,25
2013,Number,Šekovići,Total,Atheist,6
2013,Number,Šekovići,M,Atheist,5
2013,Number,Šekovići,F,Atheist,1
2013,Number,Šipovo,Total,Atheist,13
2013,Number,Šipovo,M,Atheist,9
2013,Number,Šipovo,F,Atheist,4
2013,Number,Republika Srpska,Total,Other,8729
2013,Number,Republika Srpska,M,Other,4319
2013,Number,Republika Srpska,F,Other,4410
2013,Number,Grad Banja Luka,Total,Other,1230
2013,Number,Grad Banja Luka,M,Other,620
2013,Number,Grad Banja Luka,F,Other,610
2013,Number,Berkovići,Total,Other,3
2013,Number,Berkovići,M,Other,2
2013,Number,Berkovići,F,Other,1
2013,Number,Grad Bijeljina,Total,Other,944
2013,Number,Grad Bijeljina,M,Other,471
2013,Number,Grad Bijeljina,F,Other,473
2013,Number,Bileća,Total,Other,26
2013,Number,Bileća,M,Other,15
2013,Number,Bileća,F,Other,11
2013,Number,Bratunac,Total,Other,237
2013,Number,Bratunac,M,Other,121
2013,Number,Bratunac,F,Other,116
2013,Number,Brod,Total,Other,98
2013,Number,Brod,M,Other,52
2013,Number,Brod,F,Other,46
2013,Number,Višegrad,Total,Other,76
2013,Number,Višegrad,M,Other,40
2013,Number,Višegrad,F,Other,36
2013,Number,Vlasenica,Total,Other,115
2013,Number,Vlasenica,M,Other,42
2013,Number,Vlasenica,F,Other,73
2013,Number,Vukosavlje,Total,Other,30
2013,Number,Vukosavlje,M,Other,15
2013,Number,Vukosavlje,F,Other,15
2013,Number,Gacko,Total,Other,16
2013,Number,Gacko,M,Other,9
2013,Number,Gacko,F,Other,7
2013,Number,Grad Gradiška,Total,Other,321
2013,Number,Grad Gradiška,M,Other,168
2013,Number,Grad Gradiška,F,Other,153
2013,Number,Grad Derventa,Total,Other,141
2013,Number,Grad Derventa,M,Other,67
2013,Number,Grad Derventa,F,Other,74
2013,Number,Grad Doboj,Total,Other,845
2013,Number,Grad Doboj,M,Other,412
2013,Number,Grad Doboj,F,Other,433
2013,Number,Donji Žabar,Total,Other,21
2013,Number,Donji Žabar,M,Other,8
2013,Number,Donji Žabar,F,Other,13
2013,Number,Grad Zvornik,Total,Other,186
2013,Number,Grad Zvornik,M,Other,90
2013,Number,Grad Zvornik,F,Other,96
2013,Number,Istočna Ilidža,Total,Other,28
2013,Number,Istočna Ilidža,M,Other,18
2013,Number,Istočna Ilidža,F,Other,10
2013,Number,Istočni Drvar,Total,Other,0
2013,Number,Istočni Drvar,M,Other,0
2013,Number,Istočni Drvar,F,Other,0
2013,Number,Istočni Mostar,Total,Other,1
2013,Number,Istočni Mostar,M,Other,1
2013,Number,Istočni Mostar,F,Other,0
2013,Number,Istočni Stari Grad,Total,Other,5
2013,Number,Istočni Stari Grad,M,Other,2
2013,Number,Istočni Stari Grad,F,Other,3
2013,Number,Istočno Novo Sarajevo,Total,Other,16
2013,Number,Istočno Novo Sarajevo,M,Other,10
2013,Number,Istočno Novo Sarajevo,F,Other,6
2013,Number,Jezero,Total,Other,0
2013,Number,Jezero,M,Other,0
2013,Number,Jezero,F,Other,0
2013,Number,Kalinovik,Total,Other,3
2013,Number,Kalinovik,M,Other,2
2013,Number,Kalinovik,F,Other,1
2013,Number,Kneževo,Total,Other,68
2013,Number,Kneževo,M,Other,29
2013,Number,Kneževo,F,Other,39
2013,Number,Kozarska Dubica,Total,Other,83
2013,Number,Kozarska Dubica,M,Other,37
2013,Number,Kozarska Dubica,F,Other,46
2013,Number,Kostajnica,Total,Other,13
2013,Number,Kostajnica,M,Other,9
2013,Number,Kostajnica,F,Other,4
2013,Number,Kotor Varoš,Total,Other,236
2013,Number,Kotor Varoš,M,Other,120
2013,Number,Kotor Varoš,F,Other,116
2013,Number,Krupa Na Uni,Total,Other,0
2013,Number,Krupa Na Uni,M,Other,0
2013,Number,Krupa Na Uni,F,Other,0
2013,Number,Kupres,Total,Other,0
2013,Number,Kupres,M,Other,0
2013,Number,Kupres,F,Other,0
2013,Number,Laktaši,Total,Other,278
2013,Number,Laktaši,M,Other,147
2013,Number,Laktaši,F,Other,131
2013,Number,Lopare,Total,Other,1
2013,Number,Lopare,M,Other,0
2013,Number,Lopare,F,Other,1
2013,Number,Ljubinje,Total,Other,1
2013,Number,Ljubinje,M,Other,1
2013,Number,Ljubinje,F,Other,0
2013,Number,Milići,Total,Other,34
2013,Number,Milići,M,Other,19
2013,Number,Milići,F,Other,15
2013,Number,Modriča,Total,Other,211
2013,Number,Modriča,M,Other,98
2013,Number,Modriča,F,Other,113
2013,Number,Mrkonjić Grad,Total,Other,9
2013,Number,Mrkonjić Grad,M,Other,6
2013,Number,Mrkonjić Grad,F,Other,3
2013,Number,Nevesinje,Total,Other,8
