Year,UNIT_MEASURE,Област образовања,Врста образовања,Пол,Value
2021,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mагистарске студије,M,0
2021,Број,"Друштвене науке, новинарство и информисање",Mагистарске студије,M,0
2021,Број,"Пословање, администрација и право",Mагистарске студије,M,0
2021,Број,Oбразовање,Mагистарске студије,M,0
2021,Број,Умјетност и хуманистичке науке,Mагистарске студије,M,0
2021,Број,Услуге,Mагистарске студије,M,0
2021,Број,Укупно,Mагистарске студије,Ж,0
2021,Број,"Природне науке, математика и статистика",Mагистарске студије,Ж,0
2021,Број,"Инжeњерство, производња и грађевинарство",Mагистарске студије,Ж,0
2021,Број,Информационе и комуникационе технологије,Mагистарске студије,Ж,0
2021,Број,Здравство и социјална заштита,Mагистарске студије,Ж,0
2021,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mагистарске студије,Ж,0
2021,Број,"Друштвене науке, новинарство и информисање",Mагистарске студије,Ж,0
2021,Број,"Пословање, администрација и право",Mагистарске студије,Ж,0
2021,Број,Oбразовање,Mагистарске студије,Ж,0
2021,Број,Умјетност и хуманистичке науке,Mагистарске студије,Ж,0
2021,Број,Услуге,Mагистарске студије,Ж,0
2021,Број,Укупно,Mастер студије,Укупно,2334
2021,Број,"Природне науке, математика и статистика",Mастер студије,Укупно,93
2021,Број,"Инжeњерство, производња и грађевинарство",Mастер студије,Укупно,461
2021,Број,Информационе и комуникационе технологије,Mастер студије,Укупно,86
2021,Број,Здравство и социјална заштита,Mастер студије,Укупно,69
2021,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mастер студије,Укупно,200
2021,Број,"Друштвене науке, новинарство и информисање",Mастер студије,Укупно,546
2021,Број,"Пословање, администрација и право",Mастер студије,Укупно,200
2021,Број,Oбразовање,Mастер студије,Укупно,367
2021,Број,Умјетност и хуманистичке науке,Mастер студије,Укупно,307
2021,Број,Услуге,Mастер студије,Укупно,5
2021,Број,Укупно,Mастер студије,M,915
2021,Број,"Природне науке, математика и статистика",Mастер студије,M,24
2021,Број,"Инжeњерство, производња и грађевинарство",Mастер студије,M,249
2021,Број,Информационе и комуникационе технологије,Mастер студије,M,60
2021,Број,Здравство и социјална заштита,Mастер студије,M,14
2021,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mастер студије,M,101
2021,Број,"Друштвене науке, новинарство и информисање",Mастер студије,M,177
2021,Број,"Пословање, администрација и право",Mастер студије,M,60
2021,Број,Oбразовање,Mастер студије,M,100
2021,Број,Умјетност и хуманистичке науке,Mастер студије,M,130
2021,Број,Услуге,Mастер студије,M,0
2021,Број,Укупно,Mастер студије,Ж,1419
2021,Број,"Природне науке, математика и статистика",Mастер студије,Ж,69
2021,Број,"Инжeњерство, производња и грађевинарство",Mастер студије,Ж,212
2021,Број,Информационе и комуникационе технологије,Mастер студије,Ж,26
2021,Број,Здравство и социјална заштита,Mастер студије,Ж,55
2021,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mастер студије,Ж,99
2021,Број,"Друштвене науке, новинарство и информисање",Mастер студије,Ж,369
2021,Број,"Пословање, администрација и право",Mастер студије,Ж,140
2021,Број,Oбразовање,Mастер студије,Ж,267
2021,Број,Умјетност и хуманистичке науке,Mастер студије,Ж,177
2021,Број,Услуге,Mастер студије,Ж,5
2021,Број,Укупно,Специјалистичке студије,Укупно,156
2021,Број,"Природне науке, математика и статистика",Специјалистичке студије,Укупно,0
2021,Број,"Инжeњерство, производња и грађевинарство",Специјалистичке студије,Укупно,0
2021,Број,Информационе и комуникационе технологије,Специјалистичке студије,Укупно,1
2021,Број,Здравство и социјална заштита,Специјалистичке студије,Укупно,155
2021,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Специјалистичке студије,Укупно,0
2021,Број,"Друштвене науке, новинарство и информисање",Специјалистичке студије,Укупно,0
2021,Број,"Пословање, администрација и право",Специјалистичке студије,Укупно,0
2021,Број,Oбразовање,Специјалистичке студије,Укупно,0
2021,Број,Умјетност и хуманистичке науке,Специјалистичке студије,Укупно,0
2021,Број,Услуге,Специјалистичке студије,Укупно,0
2021,Број,Укупно,Специјалистичке студије,M,44
2021,Број,"Природне науке, математика и статистика",Специјалистичке студије,M,0
2021,Број,"Инжeњерство, производња и грађевинарство",Специјалистичке студије,M,0
2021,Број,Информационе и комуникационе технологије,Специјалистичке студије,M,0
2021,Број,Здравство и социјална заштита,Специјалистичке студије,M,44
2021,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Специјалистичке студије,M,0
2021,Број,"Друштвене науке, новинарство и информисање",Специјалистичке студије,M,0
2021,Број,"Пословање, администрација и право",Специјалистичке студије,M,0
2021,Број,Oбразовање,Специјалистичке студије,M,0
2021,Број,Умјетност и хуманистичке науке,Специјалистичке студије,M,0
2021,Број,Услуге,Специјалистичке студије,M,0
2021,Број,Укупно,Специјалистичке студије,Ж,112
2021,Број,"Природне науке, математика и статистика",Специјалистичке студије,Ж,0
2021,Број,"Инжeњерство, производња и грађевинарство",Специјалистичке студије,Ж,0
2021,Број,Информационе и комуникационе технологије,Специјалистичке студије,Ж,1
2021,Број,Здравство и социјална заштита,Специјалистичке студије,Ж,111
2021,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Специјалистичке студије,Ж,0
2021,Број,"Друштвене науке, новинарство и информисање",Специјалистичке студије,Ж,0
2021,Број,"Пословање, администрација и право",Специјалистичке студије,Ж,0
2021,Број,Oбразовање,Специјалистичке студије,Ж,0
2021,Број,Умјетност и хуманистичке науке,Специјалистичке студије,Ж,0
2021,Број,Услуге,Специјалистичке студије,Ж,0
2022,Број,Укупно,Mастер студије,Укупно,2201
2022,Број,"Природне науке, математика и статистика",Mастер студије,Укупно,90
2022,Број,"Инжeњерство, производња и грађевинарство",Mастер студије,Укупно,397
2022,Број,Информационе и комуникационе технологије,Mастер студије,Укупно,71
2022,Број,Здравство и социјална заштита,Mастер студије,Укупно,78
2022,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mастер студије,Укупно,154
2022,Број,"Друштвене науке, новинарство и информисање",Mастер студије,Укупно,319
2022,Број,"Пословање, администрација и право",Mастер студије,Укупно,398
2022,Број,Oбразовање,Mастер студије,Укупно,400
2022,Број,Умјетност и хуманистичке науке,Mастер студије,Укупно,281
2022,Број,Услуге,Mастер студије,Укупно,13
2022,Број,Укупно,Mастер студије,M,876
2022,Број,"Природне науке, математика и статистика",Mастер студије,M,32
2022,Број,"Инжeњерство, производња и грађевинарство",Mастер студије,M,227
2022,Број,Информационе и комуникационе технологије,Mастер студије,M,55
2022,Број,Здравство и социјална заштита,Mастер студије,M,17
2022,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mастер студије,M,75
2022,Број,"Друштвене науке, новинарство и информисање",Mастер студије,M,93
2022,Број,"Пословање, администрација и право",Mастер студије,M,138
2022,Број,Oбразовање,Mастер студије,M,121
2022,Број,Умјетност и хуманистичке науке,Mастер студије,M,114
2022,Број,Услуге,Mастер студије,M,4
2022,Број,Укупно,Mастер студије,Ж,1325
2022,Број,"Природне науке, математика и статистика",Mастер студије,Ж,58
2022,Број,"Инжeњерство, производња и грађевинарство",Mастер студије,Ж,170
2022,Број,Информационе и комуникационе технологије,Mастер студије,Ж,16
2022,Број,Здравство и социјална заштита,Mастер студије,Ж,61
2022,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mастер студије,Ж,79
2022,Број,"Друштвене науке, новинарство и информисање",Mастер студије,Ж,226
2022,Број,"Пословање, администрација и право",Mастер студије,Ж,260
2022,Број,Oбразовање,Mастер студије,Ж,279
2022,Број,Умјетност и хуманистичке науке,Mастер студије,Ж,167
2022,Број,Услуге,Mастер студије,Ж,9
2022,Број,Укупно,Специјалистичке студије,Укупно,71
2022,Број,"Природне науке, математика и статистика",Специјалистичке студије,Укупно,0
2022,Број,"Инжeњерство, производња и грађевинарство",Специјалистичке студије,Укупно,0
2022,Број,Информационе и комуникационе технологије,Специјалистичке студије,Укупно,0
2022,Број,Здравство и социјална заштита,Специјалистичке студије,Укупно,71
2022,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Специјалистичке студије,Укупно,0
2022,Број,"Друштвене науке, новинарство и информисање",Специјалистичке студије,Укупно,0
2022,Број,"Пословање, администрација и право",Специјалистичке студије,Укупно,0
2022,Број,Oбразовање,Специјалистичке студије,Укупно,0
2022,Број,Умјетност и хуманистичке науке,Специјалистичке студије,Укупно,0
2022,Број,Услуге,Специјалистичке студије,Укупно,0
2022,Број,Укупно,Специјалистичке студије,M,27
2022,Број,"Природне науке, математика и статистика",Специјалистичке студије,M,0
2022,Број,"Инжeњерство, производња и грађевинарство",Специјалистичке студије,M,0
2022,Број,Информационе и комуникационе технологије,Специјалистичке студије,M,0
2022,Број,Здравство и социјална заштита,Специјалистичке студије,M,27
2022,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Специјалистичке студије,M,0
2022,Број,"Друштвене науке, новинарство и информисање",Специјалистичке студије,M,0
2022,Број,"Пословање, администрација и право",Специјалистичке студије,M,0
2022,Број,Oбразовање,Специјалистичке студије,M,0
2022,Број,Умјетност и хуманистичке науке,Специјалистичке студије,M,0
2022,Број,Услуге,Специјалистичке студије,M,0
2022,Број,Укупно,Специјалистичке студије,Ж,44
2022,Број,"Природне науке, математика и статистика",Специјалистичке студије,Ж,0
2022,Број,"Инжeњерство, производња и грађевинарство",Специјалистичке студије,Ж,0
2022,Број,Информационе и комуникационе технологије,Специјалистичке студије,Ж,0
2022,Број,Здравство и социјална заштита,Специјалистичке студије,Ж,44
2022,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Специјалистичке студије,Ж,0
2022,Број,"Друштвене науке, новинарство и информисање",Специјалистичке студије,Ж,0
2022,Број,"Пословање, администрација и право",Специјалистичке студије,Ж,0
2022,Број,Oбразовање,Специјалистичке студије,Ж,0
2022,Број,Умјетност и хуманистичке науке,Специјалистичке студије,Ж,0
2022,Број,Услуге,Специјалистичке студије,Ж,0
