Year,UNIT_MEASURE,Пол,Узрок смрти (према шифрама болести по МКБ-10),Value
2012,Број,Оба пола,Шифре за посебне намјене (U00-U85),0
2013,Број,Оба пола,Шифре за посебне намјене (U00-U85),0
2014,Број,Оба пола,Шифре за посебне намјене (U00-U85),0
2015,Број,Оба пола,Шифре за посебне намјене (U00-U85),0
2016,Број,Оба пола,Шифре за посебне намјене (U00-U85),0
2017,Број,Оба пола,Шифре за посебне намјене (U00-U85),0
2018,Број,Оба пола,Шифре за посебне намјене (U00-U85),0
2019,Број,Оба пола,Шифре за посебне намјене (U00-U85),0
2020,Број,Оба пола,Шифре за посебне намјене (U00-U85),1592
2003,Број,M,Укупно,6804
2004,Број,M,Укупно,6735
2005,Број,M,Укупно,7239
2006,Број,M,Укупно,6904
2007,Број,M,Укупно,7302
2008,Број,M,Укупно,7058
2009,Број,M,Укупно,7099
2010,Број,M,Укупно,6935
2011,Број,M,Укупно,7001
2012,Број,M,Укупно,7064
2013,Број,M,Укупно,7237
2014,Број,M,Укупно,7386
2015,Број,M,Укупно,7640
2016,Број,M,Укупно,7198
2017,Број,M,Укупно,7363
2018,Број,M,Укупно,7449
2019,Број,M,Укупно,7753
2020,Број,M,Укупно,8613
2003,Број,M,Инфективне и паразитске болести (А00–B99),59
2004,Број,M,Инфективне и паразитске болести (А00–B99),75
2005,Број,M,Инфективне и паразитске болести (А00–B99),78
2006,Број,M,Инфективне и паразитске болести (А00–B99),73
2007,Број,M,Инфективне и паразитске болести (А00–B99),70
2008,Број,M,Инфективне и паразитске болести (А00–B99),72
2009,Број,M,Инфективне и паразитске болести (А00–B99),75
2010,Број,M,Инфективне и паразитске болести (А00–B99),72
2011,Број,M,Инфективне и паразитске болести (А00–B99),79
2012,Број,M,Инфективне и паразитске болести (А00–B99),69
2013,Број,M,Инфективне и паразитске болести (А00–B99),73
2014,Број,M,Инфективне и паразитске болести (А00–B99),80
2015,Број,M,Инфективне и паразитске болести (А00–B99),92
2016,Број,M,Инфективне и паразитске болести (А00–B99),104
2017,Број,M,Инфективне и паразитске болести (А00–B99),85
2018,Број,M,Инфективне и паразитске болести (А00–B99),109
2019,Број,M,Инфективне и паразитске болести (А00–B99),119
2020,Број,M,Инфективне и паразитске болести (А00–B99),87
2003,Број,M,Неоплазме (C00–D48),1461
2004,Број,M,Неоплазме (C00–D48),1402
2005,Број,M,Неоплазме (C00–D48),1581
2006,Број,M,Неоплазме (C00–D48),1536
2007,Број,M,Неоплазме (C00–D48),1624
2008,Број,M,Неоплазме (C00–D48),1658
2009,Број,M,Неоплазме (C00–D48),1661
2010,Број,M,Неоплазме (C00–D48),1595
2011,Број,M,Неоплазме (C00–D48),1684
2012,Број,M,Неоплазме (C00–D48),1754
2013,Број,M,Неоплазме (C00–D48),1859
2014,Број,M,Неоплазме (C00–D48),1801
2015,Број,M,Неоплазме (C00–D48),1783
2016,Број,M,Неоплазме (C00–D48),1739
2017,Број,M,Неоплазме (C00–D48),1759
2018,Број,M,Неоплазме (C00–D48),1729
2019,Број,M,Неоплазме (C00–D48),1705
2020,Број,M,Неоплазме (C00–D48),1622
2003,Број,M,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),6
2004,Број,M,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),2
2005,Број,M,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),5
2006,Број,M,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),2
2007,Број,M,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),6
2008,Број,M,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),3
2009,Број,M,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),4
2010,Број,M,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),5
2011,Број,M,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),7
2012,Број,M,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),9
2013,Број,M,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),8
2014,Број,M,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),2
2015,Број,M,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),9
2016,Број,M,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),9
2017,Број,M,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),3
2018,Број,M,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),18
2019,Број,M,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),8
2020,Број,M,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),12
2003,Број,M,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",71
2004,Број,M,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",68
2005,Број,M,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",286
2006,Број,M,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",306
2007,Број,M,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",349
2008,Број,M,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",310
2009,Број,M,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",361
2010,Број,M,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",289
2011,Број,M,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",257
2012,Број,M,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",211
2013,Број,M,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",341
2014,Број,M,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",411
2015,Број,M,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",362
2016,Број,M,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",313
2017,Број,M,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",373
2018,Број,M,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",386
2019,Број,M,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",261
2020,Број,M,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",340
2003,Број,M,Душевни поремећаји и поремећаји понашања (F00–F99),24
2004,Број,M,Душевни поремећаји и поремећаји понашања (F00–F99),46
2005,Број,M,Душевни поремећаји и поремећаји понашања (F00–F99),64
2006,Број,M,Душевни поремећаји и поремећаји понашања (F00–F99),67
2007,Број,M,Душевни поремећаји и поремећаји понашања (F00–F99),87
2008,Број,M,Душевни поремећаји и поремећаји понашања (F00–F99),82
2009,Број,M,Душевни поремећаји и поремећаји понашања (F00–F99),92
2010,Број,M,Душевни поремећаји и поремећаји понашања (F00–F99),73
2011,Број,M,Душевни поремећаји и поремећаји понашања (F00–F99),58
2012,Број,M,Душевни поремећаји и поремећаји понашања (F00–F99),46
2013,Број,M,Душевни поремећаји и поремећаји понашања (F00–F99),64
2014,Број,M,Душевни поремећаји и поремећаји понашања (F00–F99),63
2015,Број,M,Душевни поремећаји и поремећаји понашања (F00–F99),44
2016,Број,M,Душевни поремећаји и поремећаји понашања (F00–F99),72
2017,Број,M,Душевни поремећаји и поремећаји понашања (F00–F99),70
2018,Број,M,Душевни поремећаји и поремећаји понашања (F00–F99),55
2019,Број,M,Душевни поремећаји и поремећаји понашања (F00–F99),50
2020,Број,M,Душевни поремећаји и поремећаји понашања (F00–F99),43
2003,Број,M,Болести нервног система (G00–G99),39
2004,Број,M,Болести нервног система (G00–G99),53
2005,Број,M,Болести нервног система (G00–G99),86
2006,Број,M,Болести нервног система (G00–G99),111
2007,Број,M,Болести нервног система (G00–G99),85
2008,Број,M,Болести нервног система (G00–G99),91
2009,Број,M,Болести нервног система (G00–G99),78
2010,Број,M,Болести нервног система (G00–G99),76
2011,Број,M,Болести нервног система (G00–G99),112
2012,Број,M,Болести нервног система (G00–G99),105
2013,Број,M,Болести нервног система (G00–G99),98
2014,Број,M,Болести нервног система (G00–G99),97
2015,Број,M,Болести нервног система (G00–G99),106
2016,Број,M,Болести нервног система (G00–G99),96
2017,Број,M,Болести нервног система (G00–G99),102
2018,Број,M,Болести нервног система (G00–G99),82
2019,Број,M,Болести нервног система (G00–G99),84
2020,Број,M,Болести нервног система (G00–G99),91
2003,Број,M,Болести ока и припојка ока (H00–H59),0
2004,Број,M,Болести ока и припојка ока (H00–H59),0
2005,Број,M,Болести ока и припојка ока (H00–H59),0
2006,Број,M,Болести ока и припојка ока (H00–H59),0
2007,Број,M,Болести ока и припојка ока (H00–H59),0
2008,Број,M,Болести ока и припојка ока (H00–H59),0
2009,Број,M,Болести ока и припојка ока (H00–H59),0
2010,Број,M,Болести ока и припојка ока (H00–H59),0
2011,Број,M,Болести ока и припојка ока (H00–H59),0
2012,Број,M,Болести ока и припојка ока (H00–H59),0
2013,Број,M,Болести ока и припојка ока (H00–H59),0
2014,Број,M,Болести ока и припојка ока (H00–H59),0
2015,Број,M,Болести ока и припојка ока (H00–H59),0
2016,Број,M,Болести ока и припојка ока (H00–H59),0
2017,Број,M,Болести ока и припојка ока (H00–H59),0
2018,Број,M,Болести ока и припојка ока (H00–H59),0
2019,Број,M,Болести ока и припојка ока (H00–H59),0
2020,Број,M,Болести ока и припојка ока (H00–H59),0
2003,Број,M,Болести ува и мастоидног наставка (H60–H93),0
2004,Број,M,Болести ува и мастоидног наставка (H60–H93),0
2005,Број,M,Болести ува и мастоидног наставка (H60–H93),1
2006,Број,M,Болести ува и мастоидног наставка (H60–H93),0
2007,Број,M,Болести ува и мастоидног наставка (H60–H93),1
2008,Број,M,Болести ува и мастоидног наставка (H60–H93),0
2009,Број,M,Болести ува и мастоидног наставка (H60–H93),0
2010,Број,M,Болести ува и мастоидног наставка (H60–H93),0
2011,Број,M,Болести ува и мастоидног наставка (H60–H93),0
2012,Број,M,Болести ува и мастоидног наставка (H60–H93),0
2013,Број,M,Болести ува и мастоидног наставка (H60–H93),0
2014,Број,M,Болести ува и мастоидног наставка (H60–H93),0
2015,Број,M,Болести ува и мастоидног наставка (H60–H93),0
2016,Број,M,Болести ува и мастоидног наставка (H60–H93),0
2017,Број,M,Болести ува и мастоидног наставка (H60–H93),0
2018,Број,M,Болести ува и мастоидног наставка (H60–H93),0
2019,Број,M,Болести ува и мастоидног наставка (H60–H93),0
2020,Број,M,Болести ува и мастоидног наставка (H60–H93),0
2003,Број,M,Болести циркулаторног система (I00–I99),3323
2004,Број,M,Болести циркулаторног система (I00–I99),3383
2005,Број,M,Болести циркулаторног система (I00–I99),3325
2006,Број,M,Болести циркулаторног система (I00–I99),3005
2007,Број,M,Болести циркулаторног система (I00–I99),3233
2008,Број,M,Болести циркулаторног система (I00–I99),3209
2009,Број,M,Болести циркулаторног система (I00–I99),3271
2010,Број,M,Болести циркулаторног система (I00–I99),3285
2011,Број,M,Болести циркулаторног система (I00–I99),3330
2012,Број,M,Болести циркулаторног система (I00–I99),3516
2013,Број,M,Болести циркулаторног система (I00–I99),3062
2014,Број,M,Болести циркулаторног система (I00–I99),3142
2015,Број,M,Болести циркулаторног система (I00–I99),3311
2016,Број,M,Болести циркулаторног система (I00–I99),3177
2017,Број,M,Болести циркулаторног система (I00–I99),3220
2018,Број,M,Болести циркулаторног система (I00–I99),3084
2019,Број,M,Болести циркулаторног система (I00–I99),3440
2020,Број,M,Болести циркулаторног система (I00–I99),3452
2003,Број,M,Болести респираторног система (Ј00–Ј99),184
2004,Број,M,Болести респираторног система (Ј00–Ј99),211
2005,Број,M,Болести респираторног система (Ј00–Ј99),284
2006,Број,M,Болести респираторног система (Ј00–Ј99),292
2007,Број,M,Болести респираторног система (Ј00–Ј99),282
2008,Број,M,Болести респираторног система (Ј00–Ј99),276
2009,Број,M,Болести респираторног система (Ј00–Ј99),254
2010,Број,M,Болести респираторног система (Ј00–Ј99),277
2011,Број,M,Болести респираторног система (Ј00–Ј99),303
2012,Број,M,Болести респираторног система (Ј00–Ј99),263
2013,Број,M,Болести респираторног система (Ј00–Ј99),334
2014,Број,M,Болести респираторног система (Ј00–Ј99),315
2015,Број,M,Болести респираторног система (Ј00–Ј99),370
2016,Број,M,Болести респираторног система (Ј00–Ј99),306
2017,Број,M,Болести респираторног система (Ј00–Ј99),333
2018,Број,M,Болести респираторног система (Ј00–Ј99),344
2019,Број,M,Болести респираторног система (Ј00–Ј99),338
2020,Број,M,Болести респираторног система (Ј00–Ј99),377
2003,Број,M,Болести дигестивног система (К00–К92),216
2004,Број,M,Болести дигестивног система (К00–К92),206
2005,Број,M,Болести дигестивног система (К00–К92),219
2006,Број,M,Болести дигестивног система (К00–К92),233
2007,Број,M,Болести дигестивног система (К00–К92),249
2008,Број,M,Болести дигестивног система (К00–К92),235
2009,Број,M,Болести дигестивног система (К00–К92),223
2010,Број,M,Болести дигестивног система (К00–К92),242
2011,Број,M,Болести дигестивног система (К00–К92),255
2012,Број,M,Болести дигестивног система (К00–К92),248
2013,Број,M,Болести дигестивног система (К00–К92),219
2014,Број,M,Болести дигестивног система (К00–К92),241
2015,Број,M,Болести дигестивног система (К00–К92),249
2016,Број,M,Болести дигестивног система (К00–К92),265
2017,Број,M,Болести дигестивног система (К00–К92),229
2018,Број,M,Болести дигестивног система (К00–К92),290
2019,Број,M,Болести дигестивног система (К00–К92),239
2020,Број,M,Болести дигестивног система (К00–К92),269
2003,Број,M,Болести коже и поткожног ткива (L00–L98),0
2004,Број,M,Болести коже и поткожног ткива (L00–L98),0
2005,Број,M,Болести коже и поткожног ткива (L00–L98),0
2006,Број,M,Болести коже и поткожног ткива (L00–L98),0
2007,Број,M,Болести коже и поткожног ткива (L00–L98),0
2008,Број,M,Болести коже и поткожног ткива (L00–L98),0
2009,Број,M,Болести коже и поткожног ткива (L00–L98),1
2010,Број,M,Болести коже и поткожног ткива (L00–L98),4
2011,Број,M,Болести коже и поткожног ткива (L00–L98),0
2012,Број,M,Болести коже и поткожног ткива (L00–L98),3
2013,Број,M,Болести коже и поткожног ткива (L00–L98),9
2014,Број,M,Болести коже и поткожног ткива (L00–L98),13
2015,Број,M,Болести коже и поткожног ткива (L00–L98),7
2016,Број,M,Болести коже и поткожног ткива (L00–L98),7
2017,Број,M,Болести коже и поткожног ткива (L00–L98),5
2018,Број,M,Болести коже и поткожног ткива (L00–L98),12
2019,Број,M,Болести коже и поткожног ткива (L00–L98),7
2020,Број,M,Болести коже и поткожног ткива (L00–L98),13
2003,Број,M,Болести мишићно-коштаног система и везивног ткива (М00–М99),3
2004,Број,M,Болести мишићно-коштаног система и везивног ткива (М00–М99),1
2005,Број,M,Болести мишићно-коштаног система и везивног ткива (М00–М99),5
2006,Број,M,Болести мишићно-коштаног система и везивног ткива (М00–М99),1
2007,Број,M,Болести мишићно-коштаног система и везивног ткива (М00–М99),4
2008,Број,M,Болести мишићно-коштаног система и везивног ткива (М00–М99),3
2009,Број,M,Болести мишићно-коштаног система и везивног ткива (М00–М99),2
2010,Број,M,Болести мишићно-коштаног система и везивног ткива (М00–М99),3
2011,Број,M,Болести мишићно-коштаног система и везивног ткива (М00–М99),4
2012,Број,M,Болести мишићно-коштаног система и везивног ткива (М00–М99),4
2013,Број,M,Болести мишићно-коштаног система и везивног ткива (М00–М99),9
2014,Број,M,Болести мишићно-коштаног система и везивног ткива (М00–М99),8
2015,Број,M,Болести мишићно-коштаног система и везивног ткива (М00–М99),12
2016,Број,M,Болести мишићно-коштаног система и везивног ткива (М00–М99),6
2017,Број,M,Болести мишићно-коштаног система и везивног ткива (М00–М99),8
2018,Број,M,Болести мишићно-коштаног система и везивног ткива (М00–М99),4
2019,Број,M,Болести мишићно-коштаног система и везивног ткива (М00–М99),4
2020,Број,M,Болести мишићно-коштаног система и везивног ткива (М00–М99),7
2003,Број,M,Болести генитоуринарног система (N00–N98),123
2004,Број,M,Болести генитоуринарног система (N00–N98),113
2005,Број,M,Болести генитоуринарног система (N00–N98),160
2006,Број,M,Болести генитоуринарног система (N00–N98),152
2007,Број,M,Болести генитоуринарног система (N00–N98),163
2008,Број,M,Болести генитоуринарног система (N00–N98),155
2009,Број,M,Болести генитоуринарног система (N00–N98),139
2010,Број,M,Болести генитоуринарног система (N00–N98),140
2011,Број,M,Болести генитоуринарног система (N00–N98),101
2012,Број,M,Болести генитоуринарног система (N00–N98),116
2013,Број,M,Болести генитоуринарног система (N00–N98),121
2014,Број,M,Болести генитоуринарног система (N00–N98),73
2015,Број,M,Болести генитоуринарног система (N00–N98),93
2016,Број,M,Болести генитоуринарног система (N00–N98),117
2017,Број,M,Болести генитоуринарног система (N00–N98),96
2018,Број,M,Болести генитоуринарног система (N00–N98),117
2019,Број,M,Болести генитоуринарног система (N00–N98),104
2020,Број,M,Болести генитоуринарног система (N00–N98),113
2003,Број,M,Одређена стања настала у перинаталном периоду (P00–P96),23
2004,Број,M,Одређена стања настала у перинаталном периоду (P00–P96),28
2005,Број,M,Одређена стања настала у перинаталном периоду (P00–P96),17
2006,Број,M,Одређена стања настала у перинаталном периоду (P00–P96),26
2007,Број,M,Одређена стања настала у перинаталном периоду (P00–P96),15
2008,Број,M,Одређена стања настала у перинаталном периоду (P00–P96),12
2009,Број,M,Одређена стања настала у перинаталном периоду (P00–P96),22
2010,Број,M,Одређена стања настала у перинаталном периоду (P00–P96),13
2011,Број,M,Одређена стања настала у перинаталном периоду (P00–P96),20
2012,Број,M,Одређена стања настала у перинаталном периоду (P00–P96),18
2013,Број,M,Одређена стања настала у перинаталном периоду (P00–P96),13
2014,Број,M,Одређена стања настала у перинаталном периоду (P00–P96),7
2015,Број,M,Одређена стања настала у перинаталном периоду (P00–P96),2
2016,Број,M,Одређена стања настала у перинаталном периоду (P00–P96),13
2017,Број,M,Одређена стања настала у перинаталном периоду (P00–P96),7
2018,Број,M,Одређена стања настала у перинаталном периоду (P00–P96),3
2019,Број,M,Одређена стања настала у перинаталном периоду (P00–P96),6
2020,Број,M,Одређена стања настала у перинаталном периоду (P00–P96),16
2003,Број,M,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",7
2004,Број,M,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",10
2005,Број,M,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",6
2006,Број,M,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",7
2007,Број,M,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",8
2008,Број,M,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",5
2009,Број,M,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",7
2010,Број,M,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",10
2011,Број,M,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",7
2012,Број,M,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",5
2013,Број,M,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",7
2014,Број,M,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",3
2015,Број,M,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",3
2016,Број,M,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",3
2017,Број,M,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",4
2018,Број,M,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",2
2019,Број,M,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",0
2020,Број,M,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",3
2003,Број,M,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",821
2004,Број,M,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",726
2005,Број,M,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",659
2006,Број,M,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",627
2007,Број,M,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",638
2008,Број,M,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",496
2009,Број,M,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",485
2010,Број,M,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",446
2011,Број,M,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",302
2012,Број,M,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",277
2013,Број,M,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",643
2014,Број,M,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",718
2015,Број,M,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",780
2016,Број,M,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",598
2017,Број,M,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",720
2018,Број,M,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",844
2019,Број,M,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",1048
2020,Број,M,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",834
2003,Број,M,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",444
2004,Број,M,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",411
2005,Број,M,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",463
2006,Број,M,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",466
2007,Број,M,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",488
2008,Број,M,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",451
2009,Број,M,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",424
2010,Број,M,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",405
2011,Број,M,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",482
2012,Број,M,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",420
2013,Број,M,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",377
2014,Број,M,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",412
2015,Број,M,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",417
2016,Број,M,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",373
2017,Број,M,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",349
2018,Број,M,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",370
2019,Број,M,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",340
2020,Број,M,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",304
2003,Број,M,Шифре за посебне намјене (U00-U85),0
2004,Број,M,Шифре за посебне намјене (U00-U85),0
2005,Број,M,Шифре за посебне намјене (U00-U85),0
2006,Број,M,Шифре за посебне намјене (U00-U85),0
2007,Број,M,Шифре за посебне намјене (U00-U85),0
2008,Број,M,Шифре за посебне намјене (U00-U85),0
2009,Број,M,Шифре за посебне намјене (U00-U85),0
2010,Број,M,Шифре за посебне намјене (U00-U85),0
2011,Број,M,Шифре за посебне намјене (U00-U85),0
2012,Број,M,Шифре за посебне намјене (U00-U85),0
2013,Број,M,Шифре за посебне намјене (U00-U85),0
2014,Број,M,Шифре за посебне намјене (U00-U85),0
2015,Број,M,Шифре за посебне намјене (U00-U85),0
2016,Број,M,Шифре за посебне намјене (U00-U85),0
2017,Број,M,Шифре за посебне намјене (U00-U85),0
2018,Број,M,Шифре за посебне намјене (U00-U85),0
2019,Број,M,Шифре за посебне намјене (U00-U85),0
2020,Број,M,Шифре за посебне намјене (U00-U85),1030
2003,Број,Ж,Укупно,6184
2004,Број,Ж,Укупно,6347
2005,Број,Ж,Укупно,6563
2006,Број,Ж,Укупно,6328
2007,Број,Ж,Укупно,6844
2008,Број,Ж,Укупно,6443
2009,Број,Ж,Укупно,6676
2010,Број,Ж,Укупно,6582
2011,Број,Ж,Укупно,6657
2012,Број,Ж,Укупно,6732
2013,Број,Ж,Укупно,6741
2014,Број,Ж,Укупно,7023
2015,Број,Ж,Укупно,7419
2016,Број,Ж,Укупно,6772
2017,Број,Ж,Укупно,7300
2018,Број,Ж,Укупно,7314
2019,Број,Ж,Укупно,7328
2020,Број,Ж,Укупно,7969
2003,Број,Ж,Инфективне и паразитске болести (А00–B99),30
2004,Број,Ж,Инфективне и паразитске болести (А00–B99),49
2005,Број,Ж,Инфективне и паразитске болести (А00–B99),50
2006,Број,Ж,Инфективне и паразитске болести (А00–B99),38
2007,Број,Ж,Инфективне и паразитске болести (А00–B99),33
2008,Број,Ж,Инфективне и паразитске болести (А00–B99),46
2009,Број,Ж,Инфективне и паразитске болести (А00–B99),43
2010,Број,Ж,Инфективне и паразитске болести (А00–B99),37
2011,Број,Ж,Инфективне и паразитске болести (А00–B99),38
2012,Број,Ж,Инфективне и паразитске болести (А00–B99),66
2013,Број,Ж,Инфективне и паразитске болести (А00–B99),47
2014,Број,Ж,Инфективне и паразитске болести (А00–B99),56
2015,Број,Ж,Инфективне и паразитске болести (А00–B99),67
2016,Број,Ж,Инфективне и паразитске болести (А00–B99),83
2017,Број,Ж,Инфективне и паразитске болести (А00–B99),62
2018,Број,Ж,Инфективне и паразитске болести (А00–B99),75
2019,Број,Ж,Инфективне и паразитске болести (А00–B99),81
2020,Број,Ж,Инфективне и паразитске болести (А00–B99),75
2003,Број,Ж,Неоплазме (C00–D48),950
2004,Број,Ж,Неоплазме (C00–D48),928
2005,Број,Ж,Неоплазме (C00–D48),1072
2006,Број,Ж,Неоплазме (C00–D48),1015
2007,Број,Ж,Неоплазме (C00–D48),1109
2008,Број,Ж,Неоплазме (C00–D48),1075
2009,Број,Ж,Неоплазме (C00–D48),1161
2010,Број,Ж,Неоплазме (C00–D48),1105
2011,Број,Ж,Неоплазме (C00–D48),1118
2012,Број,Ж,Неоплазме (C00–D48),1183
2013,Број,Ж,Неоплазме (C00–D48),1231
2014,Број,Ж,Неоплазме (C00–D48),1353
2015,Број,Ж,Неоплазме (C00–D48),1355
2016,Број,Ж,Неоплазме (C00–D48),1209
2017,Број,Ж,Неоплазме (C00–D48),1268
2018,Број,Ж,Неоплазме (C00–D48),1209
2019,Број,Ж,Неоплазме (C00–D48),1186
2020,Број,Ж,Неоплазме (C00–D48),1097
2003,Број,Ж,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),2
2004,Број,Ж,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),11
2005,Број,Ж,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),10
2006,Број,Ж,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),4
2007,Број,Ж,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),10
2008,Број,Ж,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),5
2009,Број,Ж,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),9
