Year,UNIT_MEASURE,Sex,Cause of death (as per ICD-10 codes),Value
2004,Number,M,Total,6735
2005,Number,M,Total,7239
2006,Number,M,Total,6904
2007,Number,M,Total,7302
2008,Number,M,Total,7058
2009,Number,M,Total,7099
2010,Number,M,Total,6935
2011,Number,M,Total,7001
2012,Number,M,Total,7064
2013,Number,M,Total,7237
2014,Number,M,Total,7386
2015,Number,M,Total,7640
2016,Number,M,Total,7198
2017,Number,M,Total,7363
2018,Number,M,Total,7449
2019,Number,M,Total,7753
2020,Number,M,Total,8613
2003,Number,M,(A00-B99) Infectious and parasitic diseases,59
2004,Number,M,(A00-B99) Infectious and parasitic diseases,75
2005,Number,M,(A00-B99) Infectious and parasitic diseases,78
2006,Number,M,(A00-B99) Infectious and parasitic diseases,73
2007,Number,M,(A00-B99) Infectious and parasitic diseases,70
2008,Number,M,(A00-B99) Infectious and parasitic diseases,72
2009,Number,M,(A00-B99) Infectious and parasitic diseases,75
2010,Number,M,(A00-B99) Infectious and parasitic diseases,72
2011,Number,M,(A00-B99) Infectious and parasitic diseases,79
2012,Number,M,(A00-B99) Infectious and parasitic diseases,69
2013,Number,M,(A00-B99) Infectious and parasitic diseases,73
2014,Number,M,(A00-B99) Infectious and parasitic diseases,80
2015,Number,M,(A00-B99) Infectious and parasitic diseases,92
2016,Number,M,(A00-B99) Infectious and parasitic diseases,104
2017,Number,M,(A00-B99) Infectious and parasitic diseases,85
2018,Number,M,(A00-B99) Infectious and parasitic diseases,109
2019,Number,M,(A00-B99) Infectious and parasitic diseases,119
2020,Number,M,(A00-B99) Infectious and parasitic diseases,87
2003,Number,M,"(C00-C97,D00-D48) Neoplasms",1461
2004,Number,M,"(C00-C97,D00-D48) Neoplasms",1402
2005,Number,M,"(C00-C97,D00-D48) Neoplasms",1581
2006,Number,M,"(C00-C97,D00-D48) Neoplasms",1536
2007,Number,M,"(C00-C97,D00-D48) Neoplasms",1624
2008,Number,M,"(C00-C97,D00-D48) Neoplasms",1658
2009,Number,M,"(C00-C97,D00-D48) Neoplasms",1661
2010,Number,M,"(C00-C97,D00-D48) Neoplasms",1595
2011,Number,M,"(C00-C97,D00-D48) Neoplasms",1684
2012,Number,M,"(C00-C97,D00-D48) Neoplasms",1754
2013,Number,M,"(C00-C97,D00-D48) Neoplasms",1859
2014,Number,M,"(C00-C97,D00-D48) Neoplasms",1801
2015,Number,M,"(C00-C97,D00-D48) Neoplasms",1783
2016,Number,M,"(C00-C97,D00-D48) Neoplasms",1739
2017,Number,M,"(C00-C97,D00-D48) Neoplasms",1759
2018,Number,M,"(C00-C97,D00-D48) Neoplasms",1729
2019,Number,M,"(C00-C97,D00-D48) Neoplasms",1705
2020,Number,M,"(C00-C97,D00-D48) Neoplasms",1622
2003,Number,M,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",6
2004,Number,M,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",2
2005,Number,M,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",5
2006,Number,M,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",2
2007,Number,M,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",6
2008,Number,M,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",3
2009,Number,M,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",4
2010,Number,M,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",5
2011,Number,M,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",7
2012,Number,M,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",9
2013,Number,M,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",8
2014,Number,M,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",2
2015,Number,M,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",9
2016,Number,M,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",9
2017,Number,M,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",3
2018,Number,M,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",18
2019,Number,M,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",8
2020,Number,M,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",12
2003,Number,M,(E00-E90) Endocrine metabolic and nutritional diseases,71
2004,Number,M,(E00-E90) Endocrine metabolic and nutritional diseases,68
2005,Number,M,(E00-E90) Endocrine metabolic and nutritional diseases,286
2006,Number,M,(E00-E90) Endocrine metabolic and nutritional diseases,306
2007,Number,M,(E00-E90) Endocrine metabolic and nutritional diseases,349
2008,Number,M,(E00-E90) Endocrine metabolic and nutritional diseases,310
2009,Number,M,(E00-E90) Endocrine metabolic and nutritional diseases,361
2010,Number,M,(E00-E90) Endocrine metabolic and nutritional diseases,289
2011,Number,M,(E00-E90) Endocrine metabolic and nutritional diseases,257
2012,Number,M,(E00-E90) Endocrine metabolic and nutritional diseases,211
2013,Number,M,(E00-E90) Endocrine metabolic and nutritional diseases,341
2014,Number,M,(E00-E90) Endocrine metabolic and nutritional diseases,411
2015,Number,M,(E00-E90) Endocrine metabolic and nutritional diseases,362
2016,Number,M,(E00-E90) Endocrine metabolic and nutritional diseases,313
2017,Number,M,(E00-E90) Endocrine metabolic and nutritional diseases,373
2018,Number,M,(E00-E90) Endocrine metabolic and nutritional diseases,386
2019,Number,M,(E00-E90) Endocrine metabolic and nutritional diseases,261
2020,Number,M,(E00-E90) Endocrine metabolic and nutritional diseases,340
2003,Number,M,(F00-F99) Mental and behavioural disorders,24
2004,Number,M,(F00-F99) Mental and behavioural disorders,46
2005,Number,M,(F00-F99) Mental and behavioural disorders,64
2006,Number,M,(F00-F99) Mental and behavioural disorders,67
2007,Number,M,(F00-F99) Mental and behavioural disorders,87
2008,Number,M,(F00-F99) Mental and behavioural disorders,82
2009,Number,M,(F00-F99) Mental and behavioural disorders,92
2010,Number,M,(F00-F99) Mental and behavioural disorders,73
2011,Number,M,(F00-F99) Mental and behavioural disorders,58
2012,Number,M,(F00-F99) Mental and behavioural disorders,46
2013,Number,M,(F00-F99) Mental and behavioural disorders,64
2014,Number,M,(F00-F99) Mental and behavioural disorders,63
2015,Number,M,(F00-F99) Mental and behavioural disorders,44
2016,Number,M,(F00-F99) Mental and behavioural disorders,72
2017,Number,M,(F00-F99) Mental and behavioural disorders,70
2018,Number,M,(F00-F99) Mental and behavioural disorders,55
2019,Number,M,(F00-F99) Mental and behavioural disorders,50
2020,Number,M,(F00-F99) Mental and behavioural disorders,43
2003,Number,M,(G00-G99) Diseases of the nervous system,39
2004,Number,M,(G00-G99) Diseases of the nervous system,53
2005,Number,M,(G00-G99) Diseases of the nervous system,86
2006,Number,M,(G00-G99) Diseases of the nervous system,111
2007,Number,M,(G00-G99) Diseases of the nervous system,85
2008,Number,M,(G00-G99) Diseases of the nervous system,91
2009,Number,M,(G00-G99) Diseases of the nervous system,78
2010,Number,M,(G00-G99) Diseases of the nervous system,76
2011,Number,M,(G00-G99) Diseases of the nervous system,112
2012,Number,M,(G00-G99) Diseases of the nervous system,105
2013,Number,M,(G00-G99) Diseases of the nervous system,98
2014,Number,M,(G00-G99) Diseases of the nervous system,97
2015,Number,M,(G00-G99) Diseases of the nervous system,106
2016,Number,M,(G00-G99) Diseases of the nervous system,96
2017,Number,M,(G00-G99) Diseases of the nervous system,102
2018,Number,M,(G00-G99) Diseases of the nervous system,82
2019,Number,M,(G00-G99) Diseases of the nervous system,84
2020,Number,M,(G00-G99) Diseases of the nervous system,91
2003,Number,M,(H00-H59) Diseases of the eye,0
2004,Number,M,(H00-H59) Diseases of the eye,0
2005,Number,M,(H00-H59) Diseases of the eye,0
2006,Number,M,(H00-H59) Diseases of the eye,0
2007,Number,M,(H00-H59) Diseases of the eye,0
2008,Number,M,(H00-H59) Diseases of the eye,0
2009,Number,M,(H00-H59) Diseases of the eye,0
2010,Number,M,(H00-H59) Diseases of the eye,0
2011,Number,M,(H00-H59) Diseases of the eye,0
2012,Number,M,(H00-H59) Diseases of the eye,0
2013,Number,M,(H00-H59) Diseases of the eye,0
2014,Number,M,(H00-H59) Diseases of the eye,0
2015,Number,M,(H00-H59) Diseases of the eye,0
2016,Number,M,(H00-H59) Diseases of the eye,0
2017,Number,M,(H00-H59) Diseases of the eye,0
2018,Number,M,(H00-H59) Diseases of the eye,0
2019,Number,M,(H00-H59) Diseases of the eye,0
2020,Number,M,(H00-H59) Diseases of the eye,0
2003,Number,M,(H60–H93) Diseases of the ear and adnexa,0
2004,Number,M,(H60–H93) Diseases of the ear and adnexa,0
2005,Number,M,(H60–H93) Diseases of the ear and adnexa,1
2006,Number,M,(H60–H93) Diseases of the ear and adnexa,0
2007,Number,M,(H60–H93) Diseases of the ear and adnexa,1
2008,Number,M,(H60–H93) Diseases of the ear and adnexa,0
2009,Number,M,(H60–H93) Diseases of the ear and adnexa,0
2010,Number,M,(H60–H93) Diseases of the ear and adnexa,0
2011,Number,M,(H60–H93) Diseases of the ear and adnexa,0
2012,Number,M,(H60–H93) Diseases of the ear and adnexa,0
2013,Number,M,(H60–H93) Diseases of the ear and adnexa,0
2014,Number,M,(H60–H93) Diseases of the ear and adnexa,0
2015,Number,M,(H60–H93) Diseases of the ear and adnexa,0
2016,Number,M,(H60–H93) Diseases of the ear and adnexa,0
2017,Number,M,(H60–H93) Diseases of the ear and adnexa,0
2018,Number,M,(H60–H93) Diseases of the ear and adnexa,0
2019,Number,M,(H60–H93) Diseases of the ear and adnexa,0
2020,Number,M,(H60–H93) Diseases of the ear and adnexa,0
2003,Number,M,(I00-I99) Diseases of the circulatory system,3323
2004,Number,M,(I00-I99) Diseases of the circulatory system,3383
2005,Number,M,(I00-I99) Diseases of the circulatory system,3325
2006,Number,M,(I00-I99) Diseases of the circulatory system,3005
2007,Number,M,(I00-I99) Diseases of the circulatory system,3233
2008,Number,M,(I00-I99) Diseases of the circulatory system,3209
2009,Number,M,(I00-I99) Diseases of the circulatory system,3271
2010,Number,M,(I00-I99) Diseases of the circulatory system,3285
2011,Number,M,(I00-I99) Diseases of the circulatory system,3330
2012,Number,M,(I00-I99) Diseases of the circulatory system,3516
2013,Number,M,(I00-I99) Diseases of the circulatory system,3062
2014,Number,M,(I00-I99) Diseases of the circulatory system,3142
2015,Number,M,(I00-I99) Diseases of the circulatory system,3311
2016,Number,M,(I00-I99) Diseases of the circulatory system,3177
2017,Number,M,(I00-I99) Diseases of the circulatory system,3220
2018,Number,M,(I00-I99) Diseases of the circulatory system,3084
2019,Number,M,(I00-I99) Diseases of the circulatory system,3440
2020,Number,M,(I00-I99) Diseases of the circulatory system,3452
2003,Number,M,(J00-J99) Diseases of the respiratory system,184
2004,Number,M,(J00-J99) Diseases of the respiratory system,211
2005,Number,M,(J00-J99) Diseases of the respiratory system,284
2006,Number,M,(J00-J99) Diseases of the respiratory system,292
2007,Number,M,(J00-J99) Diseases of the respiratory system,282
2008,Number,M,(J00-J99) Diseases of the respiratory system,276
2009,Number,M,(J00-J99) Diseases of the respiratory system,254
2010,Number,M,(J00-J99) Diseases of the respiratory system,277
2011,Number,M,(J00-J99) Diseases of the respiratory system,303
2012,Number,M,(J00-J99) Diseases of the respiratory system,263
2013,Number,M,(J00-J99) Diseases of the respiratory system,334
2014,Number,M,(J00-J99) Diseases of the respiratory system,315
2015,Number,M,(J00-J99) Diseases of the respiratory system,370
2016,Number,M,(J00-J99) Diseases of the respiratory system,306
2017,Number,M,(J00-J99) Diseases of the respiratory system,333
2018,Number,M,(J00-J99) Diseases of the respiratory system,344
2019,Number,M,(J00-J99) Diseases of the respiratory system,338
2020,Number,M,(J00-J99) Diseases of the respiratory system,377
2003,Number,M,(K00-K93) Diseases of the digestive system,216
2004,Number,M,(K00-K93) Diseases of the digestive system,206
2005,Number,M,(K00-K93) Diseases of the digestive system,219
2006,Number,M,(K00-K93) Diseases of the digestive system,233
2007,Number,M,(K00-K93) Diseases of the digestive system,249
2008,Number,M,(K00-K93) Diseases of the digestive system,235
2009,Number,M,(K00-K93) Diseases of the digestive system,223
2010,Number,M,(K00-K93) Diseases of the digestive system,242
2011,Number,M,(K00-K93) Diseases of the digestive system,255
2012,Number,M,(K00-K93) Diseases of the digestive system,248
2013,Number,M,(K00-K93) Diseases of the digestive system,219
2014,Number,M,(K00-K93) Diseases of the digestive system,241
2015,Number,M,(K00-K93) Diseases of the digestive system,249
2016,Number,M,(K00-K93) Diseases of the digestive system,265
2017,Number,M,(K00-K93) Diseases of the digestive system,229
2018,Number,M,(K00-K93) Diseases of the digestive system,290
2019,Number,M,(K00-K93) Diseases of the digestive system,239
2020,Number,M,(K00-K93) Diseases of the digestive system,269
2003,Number,M,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2004,Number,M,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2005,Number,M,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2006,Number,M,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2007,Number,M,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2008,Number,M,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2009,Number,M,(L00-L99) Diseases of the skin and subcutaneous tissue,1
2010,Number,M,(L00-L99) Diseases of the skin and subcutaneous tissue,4
2011,Number,M,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2012,Number,M,(L00-L99) Diseases of the skin and subcutaneous tissue,3
2013,Number,M,(L00-L99) Diseases of the skin and subcutaneous tissue,9
2014,Number,M,(L00-L99) Diseases of the skin and subcutaneous tissue,13
2015,Number,M,(L00-L99) Diseases of the skin and subcutaneous tissue,7
2016,Number,M,(L00-L99) Diseases of the skin and subcutaneous tissue,7
2017,Number,M,(L00-L99) Diseases of the skin and subcutaneous tissue,5
2018,Number,M,(L00-L99) Diseases of the skin and subcutaneous tissue,12
2019,Number,M,(L00-L99) Diseases of the skin and subcutaneous tissue,7
2020,Number,M,(L00-L99) Diseases of the skin and subcutaneous tissue,13
2003,Number,M,(M00-M99) Diseases of the musculoskeletal system and connective tissue,3
2004,Number,M,(M00-M99) Diseases of the musculoskeletal system and connective tissue,1
2005,Number,M,(M00-M99) Diseases of the musculoskeletal system and connective tissue,5
2006,Number,M,(M00-M99) Diseases of the musculoskeletal system and connective tissue,1
2007,Number,M,(M00-M99) Diseases of the musculoskeletal system and connective tissue,4
2008,Number,M,(M00-M99) Diseases of the musculoskeletal system and connective tissue,3
2009,Number,M,(M00-M99) Diseases of the musculoskeletal system and connective tissue,2
2010,Number,M,(M00-M99) Diseases of the musculoskeletal system and connective tissue,3
2011,Number,M,(M00-M99) Diseases of the musculoskeletal system and connective tissue,4
2012,Number,M,(M00-M99) Diseases of the musculoskeletal system and connective tissue,4
2013,Number,M,(M00-M99) Diseases of the musculoskeletal system and connective tissue,9
2014,Number,M,(M00-M99) Diseases of the musculoskeletal system and connective tissue,8
2015,Number,M,(M00-M99) Diseases of the musculoskeletal system and connective tissue,12
2016,Number,M,(M00-M99) Diseases of the musculoskeletal system and connective tissue,6
2017,Number,M,(M00-M99) Diseases of the musculoskeletal system and connective tissue,8
2018,Number,M,(M00-M99) Diseases of the musculoskeletal system and connective tissue,4
2019,Number,M,(M00-M99) Diseases of the musculoskeletal system and connective tissue,4
2020,Number,M,(M00-M99) Diseases of the musculoskeletal system and connective tissue,7
2003,Number,M,(N00-N99) Diseases of the genitourinary system,123
2004,Number,M,(N00-N99) Diseases of the genitourinary system,113
2005,Number,M,(N00-N99) Diseases of the genitourinary system,160
2006,Number,M,(N00-N99) Diseases of the genitourinary system,152
2007,Number,M,(N00-N99) Diseases of the genitourinary system,163
2008,Number,M,(N00-N99) Diseases of the genitourinary system,155
2009,Number,M,(N00-N99) Diseases of the genitourinary system,139
2010,Number,M,(N00-N99) Diseases of the genitourinary system,140
2011,Number,M,(N00-N99) Diseases of the genitourinary system,101
2012,Number,M,(N00-N99) Diseases of the genitourinary system,116
2013,Number,M,(N00-N99) Diseases of the genitourinary system,121
2014,Number,M,(N00-N99) Diseases of the genitourinary system,73
2015,Number,M,(N00-N99) Diseases of the genitourinary system,93
2016,Number,M,(N00-N99) Diseases of the genitourinary system,117
2017,Number,M,(N00-N99) Diseases of the genitourinary system,96
2018,Number,M,(N00-N99) Diseases of the genitourinary system,117
2019,Number,M,(N00-N99) Diseases of the genitourinary system,104
2020,Number,M,(N00-N99) Diseases of the genitourinary system,113
2003,Number,M,(P00-P96) Certain conditions originating in the perinatal period,23
2004,Number,M,(P00-P96) Certain conditions originating in the perinatal period,28
2005,Number,M,(P00-P96) Certain conditions originating in the perinatal period,17
2006,Number,M,(P00-P96) Certain conditions originating in the perinatal period,26
2007,Number,M,(P00-P96) Certain conditions originating in the perinatal period,15
2008,Number,M,(P00-P96) Certain conditions originating in the perinatal period,12
2009,Number,M,(P00-P96) Certain conditions originating in the perinatal period,22
2010,Number,M,(P00-P96) Certain conditions originating in the perinatal period,13
2011,Number,M,(P00-P96) Certain conditions originating in the perinatal period,20
2012,Number,M,(P00-P96) Certain conditions originating in the perinatal period,18
2013,Number,M,(P00-P96) Certain conditions originating in the perinatal period,13
2014,Number,M,(P00-P96) Certain conditions originating in the perinatal period,7
2015,Number,M,(P00-P96) Certain conditions originating in the perinatal period,2
2016,Number,M,(P00-P96) Certain conditions originating in the perinatal period,13
2017,Number,M,(P00-P96) Certain conditions originating in the perinatal period,7
2018,Number,M,(P00-P96) Certain conditions originating in the perinatal period,3
2019,Number,M,(P00-P96) Certain conditions originating in the perinatal period,6
2020,Number,M,(P00-P96) Certain conditions originating in the perinatal period,16
2003,Number,M,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",7
2004,Number,M,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",10
2005,Number,M,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",6
2006,Number,M,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",7
2007,Number,M,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",8
2008,Number,M,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",5
2009,Number,M,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",7
2010,Number,M,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",10
2011,Number,M,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",7
2012,Number,M,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",5
2013,Number,M,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",7
2014,Number,M,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",3
2015,Number,M,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",3
2016,Number,M,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",3
2017,Number,M,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",4
2018,Number,M,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",2
2019,Number,M,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",0
2020,Number,M,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",3
2003,Number,M,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",821
2004,Number,M,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",726
2005,Number,M,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",659
2006,Number,M,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",627
2007,Number,M,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",638
2008,Number,M,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",496
2009,Number,M,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",485
2010,Number,M,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",446
2011,Number,M,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",302
2012,Number,M,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",277
2013,Number,M,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",643
2014,Number,M,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",718
2015,Number,M,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",780
2016,Number,M,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",598
2017,Number,M,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",720
2018,Number,M,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",844
2019,Number,M,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",1048
2020,Number,M,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",834
2003,Number,M,"(S00-T98) Injuries, poisoning and consequences of external causes",444
2004,Number,M,"(S00-T98) Injuries, poisoning and consequences of external causes",411
2005,Number,M,"(S00-T98) Injuries, poisoning and consequences of external causes",463
2006,Number,M,"(S00-T98) Injuries, poisoning and consequences of external causes",466
2007,Number,M,"(S00-T98) Injuries, poisoning and consequences of external causes",488
2008,Number,M,"(S00-T98) Injuries, poisoning and consequences of external causes",451
2009,Number,M,"(S00-T98) Injuries, poisoning and consequences of external causes",424
2010,Number,M,"(S00-T98) Injuries, poisoning and consequences of external causes",405
2011,Number,M,"(S00-T98) Injuries, poisoning and consequences of external causes",482
2012,Number,M,"(S00-T98) Injuries, poisoning and consequences of external causes",420
2013,Number,M,"(S00-T98) Injuries, poisoning and consequences of external causes",377
2014,Number,M,"(S00-T98) Injuries, poisoning and consequences of external causes",412
2015,Number,M,"(S00-T98) Injuries, poisoning and consequences of external causes",417
2016,Number,M,"(S00-T98) Injuries, poisoning and consequences of external causes",373
2017,Number,M,"(S00-T98) Injuries, poisoning and consequences of external causes",349
2018,Number,M,"(S00-T98) Injuries, poisoning and consequences of external causes",370
2019,Number,M,"(S00-T98) Injuries, poisoning and consequences of external causes",340
2020,Number,M,"(S00-T98) Injuries, poisoning and consequences of external causes",304
2003,Number,M,(U00-U85) Special purpose codes,0
2004,Number,M,(U00-U85) Special purpose codes,0
2005,Number,M,(U00-U85) Special purpose codes,0
2006,Number,M,(U00-U85) Special purpose codes,0
2007,Number,M,(U00-U85) Special purpose codes,0
2008,Number,M,(U00-U85) Special purpose codes,0
2009,Number,M,(U00-U85) Special purpose codes,0
2010,Number,M,(U00-U85) Special purpose codes,0
2011,Number,M,(U00-U85) Special purpose codes,0
2012,Number,M,(U00-U85) Special purpose codes,0
2013,Number,M,(U00-U85) Special purpose codes,0
2014,Number,M,(U00-U85) Special purpose codes,0
2015,Number,M,(U00-U85) Special purpose codes,0
2016,Number,M,(U00-U85) Special purpose codes,0
2017,Number,M,(U00-U85) Special purpose codes,0
2018,Number,M,(U00-U85) Special purpose codes,0
2019,Number,M,(U00-U85) Special purpose codes,0
2020,Number,M,(U00-U85) Special purpose codes,1030
2003,Number,F,Total,6184
2004,Number,F,Total,6347
2005,Number,F,Total,6563
2006,Number,F,Total,6328
2007,Number,F,Total,6844
2008,Number,F,Total,6443
2009,Number,F,Total,6676
2010,Number,F,Total,6582
2011,Number,F,Total,6657
2012,Number,F,Total,6732
2013,Number,F,Total,6741
2014,Number,F,Total,7023
2015,Number,F,Total,7419
2016,Number,F,Total,6772
2017,Number,F,Total,7300
2018,Number,F,Total,7314
2019,Number,F,Total,7328
2020,Number,F,Total,7969
2003,Number,F,(A00-B99) Infectious and parasitic diseases,30
2004,Number,F,(A00-B99) Infectious and parasitic diseases,49
2005,Number,F,(A00-B99) Infectious and parasitic diseases,50
2006,Number,F,(A00-B99) Infectious and parasitic diseases,38
2007,Number,F,(A00-B99) Infectious and parasitic diseases,33
2008,Number,F,(A00-B99) Infectious and parasitic diseases,46
2009,Number,F,(A00-B99) Infectious and parasitic diseases,43
2010,Number,F,(A00-B99) Infectious and parasitic diseases,37
2011,Number,F,(A00-B99) Infectious and parasitic diseases,38
2012,Number,F,(A00-B99) Infectious and parasitic diseases,66
2013,Number,F,(A00-B99) Infectious and parasitic diseases,47
2014,Number,F,(A00-B99) Infectious and parasitic diseases,56
2015,Number,F,(A00-B99) Infectious and parasitic diseases,67
2016,Number,F,(A00-B99) Infectious and parasitic diseases,83
2017,Number,F,(A00-B99) Infectious and parasitic diseases,62
2018,Number,F,(A00-B99) Infectious and parasitic diseases,75
2019,Number,F,(A00-B99) Infectious and parasitic diseases,81
2020,Number,F,(A00-B99) Infectious and parasitic diseases,75
2003,Number,F,"(C00-C97,D00-D48) Neoplasms",950
2004,Number,F,"(C00-C97,D00-D48) Neoplasms",928
2005,Number,F,"(C00-C97,D00-D48) Neoplasms",1072
2006,Number,F,"(C00-C97,D00-D48) Neoplasms",1015
2007,Number,F,"(C00-C97,D00-D48) Neoplasms",1109
2008,Number,F,"(C00-C97,D00-D48) Neoplasms",1075
2009,Number,F,"(C00-C97,D00-D48) Neoplasms",1161
2010,Number,F,"(C00-C97,D00-D48) Neoplasms",1105
2011,Number,F,"(C00-C97,D00-D48) Neoplasms",1118
2012,Number,F,"(C00-C97,D00-D48) Neoplasms",1183
2013,Number,F,"(C00-C97,D00-D48) Neoplasms",1231
2014,Number,F,"(C00-C97,D00-D48) Neoplasms",1353
2015,Number,F,"(C00-C97,D00-D48) Neoplasms",1355
2016,Number,F,"(C00-C97,D00-D48) Neoplasms",1209
2017,Number,F,"(C00-C97,D00-D48) Neoplasms",1268
2018,Number,F,"(C00-C97,D00-D48) Neoplasms",1209
2019,Number,F,"(C00-C97,D00-D48) Neoplasms",1186
2020,Number,F,"(C00-C97,D00-D48) Neoplasms",1097
2003,Number,F,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",2
2004,Number,F,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",11
2005,Number,F,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",10
2006,Number,F,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",4
2007,Number,F,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",10
2008,Number,F,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",5
2009,Number,F,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",9
2010,Number,F,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",10
2011,Number,F,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",10
2012,Number,F,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",6
2013,Number,F,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",8
2014,Number,F,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",8
2015,Number,F,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",10
2016,Number,F,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",15
2017,Number,F,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",17
2018,Number,F,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",18
2019,Number,F,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",16
2020,Number,F,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",15
